follows, missy: 0.343572179469
incidental, justiciable: 2.7130254937
administered, wondrous: 0.10478780787
victorious, yes: 0.947101221989
intentional, permissible: 3.0858576597
sleeping, terrorized: 2.23896343659
beloved, decided: 0.835304109866
ambitious, grievous: 0.963439582163
objective, over-optimistic: 0.0
broader-based, permanent: 0.0
left, unprejudiced: 0.132541585634
first, italian: -0.12777723046
shocked, world-wide: 0.0
cold-rolled, devastating: 0.0
shaun, smart: 0.169793237375
several, simply: 0.422816834506
ever-changing, graduate: 0.0
steep, technically: 1.24303901193
clarified, deposited: 1.59889759861
defensible, net: 0.041722370013
flicka, protected: 0.0
fully, induced: 0.35377062193
hairy, mainstream: 0.296250948722
monthly, shaking: -0.049101677096
cardinal, rusty: 0.970147898691
energy-efficient, pro-active: 0
adverse, high-ranking: 0.0
eleven, ma: 0.806949294421
cooperative, unspeakable: -0.394368127522
identified, world-wide: 0.0
creditable, resolved: -0.250429426307
now, warmer: 0.477100148129
qualified, tiresome: 0.002204763147
conceivable, fundamental: 1.82310429774
also, someday: 0.942793404687
by, palatable: 0.188821983851
shitless, short-term: 0.0
fifteen, implemented: 0.649398523155
adjusted, technology-neutral: 0.0
friends, soon: 1.08932811404
based, countless: -0.1162767947
perverse, suspicious: 0.935765828775
imminent, sorry: 0.790475407321
material, stiff: 0.167762536043
less-favoured, macabre: 0.0
bravest, first: 1.18956420074
gonna, updating: 0.397193353548
abreast, supplemental: 0.543022360194
nifty, safe: 0.584705971576
gotta, strange: 1.20510930392
irreconcilable, low-skilled: 0.0
unwholesome, updated: 0.023592266306
justifiable, security: 1.16684086762
awesome, supra: 1.16712404954
homesick, respectable: 0.575256899357
short-lived, straightforward: 0.0
anxious, phony: 0.676379624877
functioning, significant: 0.752474476909
fucked-up, skinny: 0.0
cancelled, pissed: 0.0
brain-dead, first-rate: 0
tangible, well-organised: 0.0
girlie, unfortunate: 1.11845936701
glad, short-lived: 0.0
informal, uh-huh: 0.0
pleasant, self-governing: 0.0
cultural, slightly: -0.264498159293
cost-effectively, secret: 0.0
fully, repeated: 0.457569352934
mistreated, over-ambitious: 0.0
commendable, emotional: 1.11767378283
cognizant, overdue: 0.491460695827
hinky, stylish: 0.632350115631
annoying, calculated: 0.048093411839
advantageous, polished: 1.173459794
readable, serious: 1.06253082565
horrendous, losin: 1.37909929993
confident, suspicious: 1.12632408354
enforceable, latest: -0.466119165965
dickish, gratuitous: 2.75629407862
dearer, illustrative: 0.561167622172
authorized, contaminated: 2.02193715854
mideast, resistant: 0.445997831476
negative, victorious: 0.373002875481
blameless, high-quality: 0.0
systemic, top: 0.158739929589
distracting, sell: 0.252542464973
excited, humid: 1.16065136465
marvellous, tiny: 0.0
responsive, supplied: 1.00942323501
exhausting, unjust: 1.82506036276
medium-sized, realizing: 0.0
candid, mainstream: 1.07155743983
improvement, wide-open: 0.0
naughty, stillborn: 0.79027775751
focused, well-informed: 0.0
do-able, sappy: 0.0
modest, top: 0.588948888758
all, largely: 0.913418744179
delusional, dynamic: 0.496572784879
exceptional, obscene: 1.67149550619
hereto, labour-intensive: 0.0
invaluable, luckier: 0.8995946587
agreement, divine: 0.058477472648
palatable, slender: 0.348235263046
away, deeper: 1.62872552696
acquainted, in-flight: 0.0
frankenstein, so-called: 0.0
expanded, intrusive: 1.07630984408
-ready, succinct: 0.0
milder, princess: 0.863796539393
get, grateful: 1.20430172085
meagre, worthwhile: 0.0
dumber, narrower: 3.26991551615
dying, past: 0.237792128462
interesting, snotty: 1.14555112276
naive, paradoxical: 2.38394494027
recently, receptive: 1.10731552259
on-going, speedy: 0.0
especially, well-placed: 0.0
-surprised, huh: 0.0
bizarre, ill-defined: 0.0
accuracy, exceptionally: 1.05641904141
nonexistent, unambiguous: 0.477548066475
neat, systemic: -0.054910009333
co-dependent, official: 0.0
generally, vocational: -0.165831338375
desperate, polite: 1.05641592312
grieved, parched: 0.790786181902
anyway, primordial: 0.457987323967
flagrant, frightening: 2.00112672388
curious, graceful: 1.68179939783
armed, complicit: 0.524662727899
all-embracing, blow: 0.0
fascinating, neighbours: 0.0
disputable, spoilt: 0.0
far, talkative: 1.04806949643
respendable, terrific: 0.0
technological, vicious: -0.129767459179
repulsive, visibility: -0.631859304675
completely, respect: 0.148798951325
based, illustrative: 1.33106295075
discernible, self-sustaining: 0.0
cohesive, exhaustive: 1.29848340535
certainly, painful: 1.07056270366
good-natured, politically: 0.0
able, large-scale: 0.0
modest, protected: 0.155694456548
bygones, reason: 0.548923557792
healthy, sharper: 1.46886318548
agreed-upon, unattainable: 0.0
healthy, overpriced: 0.784727624288
paradoxical, schizo: 2.42620020553
confidential, devastating: 0.591682057606
born, equivalent: 0.548062290183
nearest, vicious: 0.128592922915
extant, reduced: 0.464279585668
nigh, sunnier: 0.820932794192
2nd, first-hand: 0.0
on, payable: 0.241666329541
inspiring, well-timed: 0.0
hairy, youngest: 0.188016401433
naked, security: 0.289106211968
requests, steadfast: 0.726557350093
articulated, north: -0.271846547924
lovelier, screwy: 1.599276069
religious, wasted: -0.055312378879
comfy, comprehensively: -0.016019109462
amended, twenty: 0.228763413408
already, ill-treated: 0.0
embedded, zero: 1.52133707327
especially, forceful: 0.705383907801
fruitful, pleasant: 3.22749615165
perpetual, sponsored: 1.02201251618
cohesive, equitable: 2.78421908057
mostly, nouveau: 0.731291857213
natural, well-protected: 0.0
physical, tight: 1.37566582754
exempt, prohibited: 5.85638622989
extraordinary, wealthy: 1.29235530878
deepest, just: 0.698015011182
cloudy, outermost: 1.36931589757
overburdened, seamless: 0.811268365094
harmless, kidding: 2.5249140962
overwrought, reduced: 0.539038195801
better-looking, constantly: 0.0
fair-minded, sore: 0.0
attended, present: 1.69012752702
firstly, gonna: 0.433569613513
confusing, executory: 1.3215497827
equivocal, transitory: 1.64146852001
antiquated, technological: 2.30462162192
asian, overkill: 0.286893712684
gonna, off-putting: 0.0
clear, distinct: 1.54493657372
ambiguous, large: 0.51256818818
lye, specialised: 0.0
formidable, thought-provoking: 0.0
impulsive, well-balanced: 0.0
lean, subdued: 1.52031598821
abusive, evident: 0.467143527339
incompatible, stay: 0.360500417308
outermost, wondrous: 1.97342165538
her, stubborn: 0.775184732747
perpetual, restful: 1.46704347919
hey, iucky: 0.0
modest, own: 1.11439263111
a-okay, unthinkable: 0.0
personally, talkative: 0.591685273162
less, one-sided: 0.0
allright, any: 0.559374346276
innovative, professionally: 1.01336568838
normal, obligatory: 1.07251970086
indicated, long-term: 0.0
determinable, non-compensatory: 0.0
warmer, well-written: 0.0
heavy, trivial: 0.844123970739
fullest, unspoiled: 1.82522677255
kinky, parched: 0.576999063059
afresh, undesirable: 0.729075521284
considerable, quality: 0.843604152851
responsable, to: 0.0
better-educated, wide-open: 0
inefficient, processing: 1.56480927308
iegitimate, long-winded: 0
complex, toxic: 1.84791460377
frazzled, happiest: 2.48277445798
ambitious, insignificant: 0.976276541129
bothersome, cruellest: 1.50111299867
freaky, widespread: 0.414740130166
completed, well-planned: 0.0
rather, well-known: 0.0
boy, defunct: 0.212036389392
praiseworthy, sole: 0.681416210638
grass-roots, unquestionable: 0.0
donkey, silly: 2.0606665122
extinct, really: 0.32339465821
amended, eco-friendly: 0.0
aggrieved, insatiable: 0.969097950933
begin, motivation: 0.469147679765
off-the-record, sad: 0.0
reason, recheck: 0.532039353901
arranged, two-pronged: 0.0
objective, unattainable: 1.99087149527
finally, utilized: -0.250866536615
state-funded, tempting: 0.0
common, medium-sized: 0.0
heard, properly: 0.191711940254
affordable, flashing: -0.294182659117
ignored, punchy: 0.506126507467
regulated, trusted: 1.54429849759
harmful, wacky: 1.096078546
environment, reachable: 0.559124190121
brave, well-placed: 0.0
sharp, thrilled: -0.288852251933
concerned, nathan: -0.255686754823
abusive, prepared: 0.481942768737
illegal, sale: 1.29133099166
coordinated, underdeveloped: 0.642654559949
appreciated, pleased: 2.89514494302
drier, equipped: 0.578176122186
foremost, revealing: -0.069056051963
crass, performed: 0.339740423098
shit, treatable: 0.917549611687
being, mistreated: 1.65220956321
executable, lower: 0.825999286726
genius, on-going: 0.0
found, initially: 0.576442899374
blow, relieved: 1.52543480391
emotional, long-standing: 0.0
lead, unlucky: 0.874844572224
affected, even: 0.482851211564
different, try: 1.21961554288
complicated, exceptionally: 0.592200072245
1st, cattled: 0.0
interestedin, thorny: 0.0
adaptable, generalised: 0.0
childish, hour: 0.355563897614
bonnie, snarky: 2.01984007975
corrupt, far-reaching: 0.0
ok, value: -0.198038879547
luke, masterful: 0.698534361992
prohibited, suddenly: -0.021872772755
unconvincing, worldwide: -0.155445602504
blurry, seventh: -0.302160117839
bygones, transparency: 1.0956212153
nice, recommended: 0.821786202235
non-exclusive, single-ranked: 0
devastating, excluded: 0.590643806614
being, worst: 0.540602628178
enhancement, fully: 0.687694956761
ended, mid-: 0.0
south-east, turned: 0.0
astonishing, insufficient: 1.3756346571
galore, obliged: -0.192059052154
evolving, obnoxious: 0.085439699865
dismal, sold: 0.640021113812
greener, intentionally: -0.378299860274
better-educated, though: 0.0
advisable, rational: 2.28669975048
15-year-old, capable: 0.0
cooler, systematic: -0.923136865898
culturally, super: 0.427308340913
frightened, self-governed: 0.0
friendlier, undesirable: 1.57809370024
anti-constitutional, archaic: 0.0
inconclusive, realisable: 0.0
narrower, wealthiest: 0.949483635866
galore, lonely: 0.620468435898
flexible, subtler: 1.47122937026
unforeseen, unhealthy: 0.430037913092
significantly, simple: 0.289058218155
co-operation, french: 0.0
intriguing, topic: 2.26943691535
longitude, surer: -0.441889268553
confident, hour: 0.118071186301
finicky, wrongful: -0.84931422216
decisive, irritable: 0.525827715053
nicer, winning: 0.594418890615
government-owned, sincere: 0.0
differently, non-toxic: 0.0
newest, often: -0.048245835439
insignificant, tighter: 0.2637827411
momentary, resilient: 0.702399262614
cleanest, exemplary: 2.32855468181
derisory, shitty: 2.50896739098
almost, dangerous: 0.552674713652
fullest, unreasonable: 0.746939007191
diligent, well-formed: 0.0
insured, middle: 0.516042959072
fruitful, unattainable: 1.28269727896
closed, idiot: 0.029195618473
multi-disciplinary, repealed: 0.0
co-operative, others: 0.0
bullshit, higher: 0.176749530684
long-range, quickest: 0.0
stranger, usually: 0.938735111581
commonplace, shorter: 1.3227746175
crowded, expanded: 1.30721145648
justified, scattered: -0.038705039827
binding, ecologically: 1.10224896497
commitment, dazzling: 0.340034468409
inviolable, raison: 2.16757352725
ice-cold, laborious: 0.0
developed, fast: 0.660664107871
blended, coast: 0.413005452468
retard, simpler: 0.6045907053
fit, timid: 0.283050215886
subject, worried: 0.539290072372
freaky, smaller: 0.36971447663
scarcer, unfit: 1.91947316509
dirtier, reai: 0.0
indicative, riveting: 0.405251677303
devastating, live: 0.712682976018
creepy, griet: 0.0
distracted, empowered: 1.24752537256
childish, newsworthy: 1.99124017286
cool, vocational: -0.154815912651
irreconcilable, warmer: 0.778347644485
nascent, necessary: 0.932486476677
coast, dopey: 0.106256806343
developed, oral: 1.00447701286
blended, pretend: 0.636910215906
negative, say: 0.830042286709
admitted, miscellaneous: 0.282190553321
horseshit, intolerable: 1.3632215996
allergic, distant: 0.456727864713
iate, objective: 0.0
brightest, killed: 0.186292752636
impulsive, prestigious: -0.667545631067
classy, treasured: 1.95965728146
probably, senior: 0.333256563065
progress, stepped-up: 0.0
american, poorer: 0.505061288692
discussion, lesser: 0.479952030688
fun, imprecise: 0.689145156655
frightening, undemanding: 0.685895179627
evident, perpetual: 1.02579770062
practically, sublime: 1.29446272277
attentive, constantly: 2.40621662024
emblematic, funny: 1.09596351437
battered, desired: 0.142252799353
overridden, unofficial: -0.084105968242
nominal, unconditional: 1.32210663718
accurate, business-friendly: 0.0
underlying, untenable: 1.06265213592
frantic, tailored: 0.256187073521
breathe, unimportant: 1.00346044663
referenced, shitless: 0.079195095253
infected, sweet: -0.180669624625
implausible, unprofitable: 1.88053982441
domestic, goodto: 0.0
cozy, rampant: 0.869581849019
polite, stipulated: 0.256192473085
affirmative, incomprehensible: 0.997959410457
retrievable, sentimental: 1.32208166838
flame-retardant, seductive: 0.0
long-lasting, trashy: 0.0
aligned, contemptible: 0.400380943747
acquired, grim: -0.644135617931
finally, optimistic: 0.805602672384
salient, warranted: 1.42688143226
poorest, thus: 0.791296936314
cost-effective, distinguishable: 0.0
deceased, obnoxious: 0.91266993331
doubtful, well: 0.827063497357
do, operated: 0.448123418789
ill-defined, marginalized: 0.0
sleeping, worldwide: 0.038554294689
murderous, standing: 0.306963254524
fragmented, longer: 1.22480679279
criminal, etc: -0.049792495716
acquainted, than: 0.549332165248
murderous, then: 0.771101077651
finite, well-developed: 0.0
extirpated, supplemental: 0.218095303498
ashamed, futile: 1.84749006219
disrespectful, high-quality: 0.0
transitional, weird: 0.948896354235
brain-dead, well-behaved: 0
mad, under-age: 0.0
occurring, recognised: 0.0
fried, instead: 0.611099272379
condescending, weakest: 1.71582705458
notably, rubbish: -0.249487816798
dense, explicit: 1.40179813019
observed, old-timer: 0.0
childish, fourteen: 0.845528821637
cost-shared, non-specific: 0
case, unpublished: 1.16457280877
commitment, mortal: 0.237102823678
dynamite, expensive: 0.264387666007
repulsive, somewhat: 1.01339022087
calculated, democratically: 1.11546197072
presented, well-suited: 0.0
ju, mutual: 0.450282156562
scheduled, toxic: 0.184411097507
eerie, privileged: 0.704124512218
counter, vice-chair: 0.0
co-financing, meaner: 0.0
inviolable, rather: 0.905840398701
meager, recognised: 0.0
demanding, five: 0.216457059394
below, freest: 0.966127690461
ordinary, watchful: 0.843723545579
rooted, worrying: 0.946301876189
consultation, divergent: 0.466837293053
grim, pushy: 0.913830982791
little, out-dated: 0.0
dependent, extensible: 1.77771718075
central, still: 0.512821625364
livid, non-compliant: 0.0
empty, ever: 0.266359428703
anxious, worried: 4.28711830733
momentous, positively: 1.20944402547
overripe, voluntary: -0.58470021441
compensatory, reaily: 0.0
coordinated, far: 0.508419026497
macabre, tiresome: 2.24746459033
longest, missy: -0.518648415616
elevated, gracious: 0.104179113042
breadth, shorty: -0.322252608166
bigger, lengthy: 0.359082105112
poppycock, targeted: 0.266522416145
built, crazed: 0.040814498513
nearest, sketchy: 0.890834822241
essentially, meagre: 0.0
defenceless, southeast: 0.0
om-mazing, prick: 0.0
bro, treated: 0.210385581829
pricey, proficient: 1.06798059718
matched, similarly: 0.597050107585
efficacious, necessary: 1.87015163183
called, timid: 0.713234932045
conscious, legality: 0.330790897799
impressed, turbulent: 0.371229338924
intentional, topic: 0.380733948436
diseased, kidding: 0.433474040705
meticulous, sentient: 1.10809790789
executed, export: 0.524162620855
built-in, mindful: 0.0
shielded, wicked: 1.12587876526
timely, tonight: 1.12351897198
automated, primary: 1.01327140124
opened, well-received: 0.0
onerous, surprising: 1.39489340897
elevated, stress-related: 0.0
mainly, someplace: 0.112978505593
same, someday: 0.773452428098
ensuring, rash: -0.296921548674
milder, vice-chairman: 0.0
forceful, info: 0.029065840912
deceptive, th-that: 0.0
bored, clear-cut: 0.0
resolute, suspected: 0.104137227313
uniform, worthwhile: 0.608910808005
contemptible, largely: 0.347111648442
all-embracing, freak: 0.0
careless, shitty: 2.03329585065
identified, tough: -0.056148850793
all-encompassing, disparate: 0.0
horrendous, shaun: 0.735630678254
evey, positive: 0.293383003814
beter, white: 0.562095615378
blunt, owned: -0.216330898054
qualified, scandalous: 0.095941180553
unfair, youthful: -0.044672713789
intentionally, louder: 0.173240992632
five, managed: 0.951768989022
cardinal, insured: 0.270940275516
ill-treated, modernized: 0.0
commensurate, easiest: 0.652956765635
indiscreet, integrated: 0.459482721527
likable, unimaginable: 0.843499735488
traded, well-founded: 0.0
facilitated, task-oriented: 0.0
positive, stopped: 0.604387983588
phony, two-: 0.0
elegante, seductive: 0.0
brillant, selective: 0.60632147654
coordinated, mindful: 1.05068854479
shot, two: 0.834971686001
encouraged, inconvenient: 0.869354756941
soothing, wierd: 0.930859560917
incidental, truly: 0.115946462703
eager, handicapped: 0.553628579183
advised, probably: 0.755741005511
immutable, insulting: 1.04441080546
unanimously, unimaginable: 0.931297610419
newest, unpublished: -0.354352354801
negligible, salutary: 2.47640540861
information, protracted: -0.073121090613
hands-on, well-organised: 0
adequate, all-out: 0.0
ashamed, subsidized: 0.998565481426
brave, mighty: 2.17183624978
ensuring, french: -0.067889322946
slightly, worthless: 0.192342324517
checked, scattered: 1.18988478206
brain-dead, tailor-made: 0
sentient, unwholesome: 1.68545100337
discrete, realistic: 1.12536911625
abrasive, imperative: 0.190985378848
opening, thinner: 0.269740766983
economic, elegant: 0.14772313012
flame-retardant, spicy: 0.0
fun, vice-chairman: 0.0
exponential, immeasurable: 3.11348821606
discriminatory, unsuccessful: 1.18543098066
illiquid, longitude: 1.43536920726
identical, unchanged: 3.90967317785
brittle, needy: 1.1150535466
self-evident, triple: 0.0
connected, fortunate: 1.22459013151
expressly, indicative: 1.1863273184
annulled, concrete: 0.494688407774
corresponding, sole: 0.938849654794
self-sufficient, slick: 0.0
baseless, despicable: 4.45252296297
adamant, mistaken: 1.06329337095
nearly, strengthened: 0.296067964533
across-the-board, etcetera: 0.0
firstly, unanimously: 0.302029017539
beautiful, compensable: -0.35649688892
mistreated, wasted: 1.34935895111
insurmountable, representative: 0.13643031879
oldest, quicker: 0.465415170977
elusive, processing: 0.084886978581
constructive, self-sufficiency: 0.0
easy, profitability: 0.125028182231
flourishing, indisputable: 1.89642145553
malignant, sorr: 0.0
illogical, modified: 0.991913320928
happier, traditional: 0.737628608954
audacious, quicker: 0.224278179667
gloomy, gonna: 0.070525816377
arbitrary, strong: -0.07964279938
immaterial, reasonable: 2.7238751732
addition, instrumental: 2.38698137471
fat, rock: 0.482345340637
ecstatic, prohibitive: 1.20727423457
orderable, skinny: 2.15061047269
practicable, unstable: 0.585245143421
crummy, ungrounded: 0.682466100056
smaller, weii: 0.0
dismissed, regular: 0.28478211029
optional, staggering: 0.044218544986
precarious, tonight: 0.330704357694
high-tech, perplexed: 0.0
expedient, problematical: 2.70646563488
copacetic, drunk: 1.26370732678
fools, unprejudiced: 1.89391155853
enduring, smitten: 0.479050733794
equivocal, uneconomical: 0.967154789244
impartial, socio-economically: 0.0
entirely, welcome: 0.530757834517
problematic, wider: 1.28388587355
delightful, needed: 0.282194028644
differently, net: -0.407776682117
insulting, unhurt: 1.27668611531
irrational, welcome: -0.193761283887
automatic, well-received: 0.0
imprecise, leveraged: 1.0878685684
near, pertinent: -0.221392464348
concerned, consideration: 1.2272657951
cosmetic, stipulated: 0.678521000263
developing, managed: 0.246092329386
costeffective, tougher: 0.863169001432
any, others: 0.756934378421
nonsense, weary: 1.19394757001
controversial, numerous: 0.647725823842
accepted, misguided: 1.13624759951
equipped, older: 1.0192565804
better-educated, granted: 0.0
minuscule, overburdened: 1.15837595117
attended, overflowing: 0.953518153158
considerable, wish: 0.361006988368
affixed, wounded: 0.605530813161
complements, forgiving: -0.050646605591
application, specialized: 0.891610998983
abused, sensitive: 1.13877435595
ongoing, reversed: 0.087996022981
embedded, fresh: 0.205728924847
favorable, significantly: 2.07471328925
higher, time-sensitive: 0.0
jittery, readable: 0.178151610882
iovely, socio-economically: 0
numerous, worse: 0.113990285313
drier, widest: 1.23582877069
all-round, unlawful: 0.0
catastrophic, prominent: 0.558617982136
poisonous, sour: 3.18961593535
carsick, committed: -0.706153523361
implacable, statewide: -0.005736284297
controversial, unsteady: 0.777946118805
energy-efficient, gigantic: 0.0
accessed, multi-ethnic: 0.0
held, unique: 0.193326916572
cost-effective, marketed: 0.0
happened, wrecked: 2.37007633016
comercial, regularly: 0.226828298634
3rd, indiscreet: -0.836568132982
limited, pristine: 0.709088448238
prat, really: 1.70100050723
exactly, multi-faceted: 0.0
outstanding, yesterday: 0.277637834442
myself, sounder: 1.30596519916
extraordinary, reachable: 0.158509030392
disorientated, long-range: 0.0
demonstrated, underage: -0.347422462374
assured, equitable: 1.8864902119
determinant, insulted: 0.37761992233
added, vice-chairman: 0.0
costeffective, launched: 0.519064642084
fat, free: 0.739706072796
rarer, vegas: 1.00833963583
multi-faceted, resolved: 0.0
certifiable, partially: 0.816259026383
abysmal, daft: 1.92601445799
extinct, known: 1.69371954508
opposed, sloppy: 0.235525220814
clearer, sweetheart: 0.062092629552
antiquated, wierd: 2.02280464368
discriminate, social: 1.20438814593
concrete, damp: 1.7264591083
functionally, light: -0.097879895925
dim, unaffected: 2.66082799746
atrocious, brighter: 0.601400792364
symbolic, working: -0.459198448823
segregated, taken: 0.584453171152
indian, sacrilegious: 1.38844135363
dead, resolved: 0.399150385261
obsolete, overheard: 0.684850258374
repeating, smitten: 0.948238441786
unfounded, useful: 1.61649510837
limp, recommended: -0.485496264462
cinematography, under-age: 0.0
considerable, interdisciplinary: 0.205218370447
deserved, masterful: 2.08694590643
prolonged, shut: 0.773192778188
inspirational, upright: 1.50883185891
similar, smoother: 1.65076983695
finally, wider: 0.460452313291
acknowledging, wacko: -0.255234803351
co-financed, potential: 0.0
anyway, fine: 1.37026941244
horrid, slow: 1.57918473372
seen, unacceptable: 0.60940116988
inflexible, longer: 1.24822190003
conservative, idiots: 1.63618778603
dear, magnificent: 1.74064429826
ephemeral, linked: 0.829556502572
industrial, unfettered: 0.878617036706
peaceful, profitability: 0.00034603473
careless, trustworthy: 1.60843872087
contentious, less: 0.667835534715
booked, rampant: 0.021339752752
debatable, spatially: 0.681946767717
ashamed, heard: 1.86355309278
by, damp: 0.05876655477
inestimable, non-compliant: 0.0
on-going, phenomenal: 0.0
awaited, foutu: 0.0
aggravating, believable: 1.44803813292
blind, knowing: 1.21234393602
hot, unrelated: 1.10857461891
enforceable, inevitable: 0.561139420091
bolder, negative: 0.595006970858
distinct, mindful: 1.02462794895
ugly, well-established: 0.0
mla, perplexed: -0.001829796779
fastest, perpendicular: 1.53277461994
characteristic, statewide: -0.287362502616
killed, twice: 0.771014201324
functional, sleepy: 0.380460133334
etcetera, laborious: 0.800582453796
disclosed, inspirational: 0.031913477673
insured, unhappy: 1.32687099664
minus, obvious: 0.480621377733
crushed, well-formed: 0.0
challenges, great: 1.18337989758
harmless, simplified: 0.535565473508
distinguished, well-organised: 0.0
puzzling, shocked: 2.77964462428
free-standing, stressful: 0.0
anonymous, second: 0.163641892514
closest, mortal: 1.52147659685
flame-retardant, involved: 0.0
advantageous, sweeter: 1.99293271516
frustrated, smitten: 2.94948528061
close, staggering: 0.978201910427
emotional, self-reliant: 0.0
equipped, magic: -0.101294747195
clearest, delirious: 0.743196636938
controversial, multi-ethnic: 0.0
preferable, unimportant: 2.02688812937
distinguishable, permitted: 2.44169030677
ingrained, spatially: 0.944949039615
disadvantaged, true: 0.619548119284
iucky, ridiculous: 0.0
observed, pronounced: 2.18556311753
incredible, strengthened: 0.533866451638
daily, superb: -0.333118686684
claire, intelligent: 0.860449004862
competence, suspicious: 0.036850202812
know, pricey: 0.362412566099
ail, thankful: 0.448417718339
modernizing, paid: -0.149866203853
move, principale: -0.138037067084
delicate, fast: 1.13559979399
excited, tougher: 0.423934083688
drastic, forthright: 1.38740483601
everywhere, optimistic: 0.48792136227
rationalized, win: 0.126443555482
horrid, terrorized: 1.96705014361
frantic, updating: 0.797882013943
nuts, responsable: 1.25216010769
included, off: 0.889814569999
effectively, shared: 0.453001651915
maximal, spaced: 2.15150633103
well-coordinated, wished: 0.0
approved, intolerable: 0.492514962632
harmless, inadequate: 1.67117050587
sufficient, unprofessional: 0.350673777577
n'tunderstand, ridiculus: 0.0
by, housebroken: -0.301285632687
coordinated, managed: 1.49675006668
analogous, today: 0.219281374261
personalized, re-appointed: 0.0
bare, candid: 1.85147966126
adjacent, counter: 0.298517978828
fiercer, us: 0.833291514687
cardinal, perpendicular: 0.213494761804
french, typically: 0.109867581932
subdued, sustained: 2.17821772707
hateful, rock: 0.513527341258
automatic, pending: 1.2466042555
reimbursable, treated: 1.5983795005
effortless, others: 0.232524396524
blinded, malicious: 1.26792020093
awareness-raising, awestruck: 0.0
interest, tentative: 0.472123246092
fruitful, strictest: 0.005810085656
pending, tough: 0.633913798474
mightier, neighbours: 0.0
all-encompassing, overambitious: 0.0
bastard, moot: 0.423461762557
prejudicial, suddenly: 0.100264481433
crucial, picky: 0.728265232002
commitment, state-of-the-art: 0.0
direct, incredible: 0.66656991078
differently, hazardous: 1.53071774824
over-optimistic, wide: 0.0
bankrupt, sensible: 0.673519992788
additional, equipped: 1.17255039518
no, raison: 0.610810628914
symbolic, two-: 0.0
astounded, pissed: 2.82014862734
choosy, laughable: 0.686691793506
pristine, relieved: 0.359936538584
least, overweight: 1.30100719007
darn, legendary: 0.520265070023
ferociously, widespread: 0.154639810574
hiv, secondary: 0.55833026073
fullest, slightly: -0.532329056086
deceased, than: -0.00524844231
elementary, free: -0.066904373149
considerate, dependable: 2.85565513127
imperative, steadfast: 1.82062653626
senseless, untouched: 1.30594897938
academic, jump: 0.253066059838
maximum, straightaway: 1.16555742629
omnipresent, out: 0.420183930634
advised, lovable: -0.416401497836
bad-ass, recognizes: 0.0
complicit, sadder: 2.10067167791
first, rugged: 0.604544136672
stupider, unforeseeable: 1.03865654389
anyway, shipshape: 0.960427609897
informal, shaking: -0.145509412004
enduring, sleeping: 1.04822511542
ephemeral, underlying: 1.66341138138
turned, unclear: 0.378102167915
main, migratory: 0.906609529216
complete, entrenched: 0.287600473387
productive, unpleasant: 1.85625542199
boring, nathan: 0.886442997705
determinable, selected: -0.200730701715
average, drunken: 0.512465967608
cautious, to: 0.0
cumbersome, stagnant: 2.02267737926
changing, notified: 0.553908529927
credible, next: 0.434770927435
laudable, pale: 1.38620840636
cardinal, moot: 0.700348818955
graceful, representative: -0.333093643672
homosexual, yeah: 1.17509915492
genuinely, happiest: 2.06660171655
about, roisin: 0.0
freezing, preferential: 0.847205511768
accustomed, honourable: 0.0
all-embracing, shifty: 0.0
annulled, particular: -0.051008480345
existing, shielded: 0.336187386753
grimmer, well-prepared: 0.0
fluid, irritated: 1.34718908916
unsustainable, withdrawn: 0.326779975376
onboard, shared: 0.581364906104
nervous, stimulating: 1.57483336272
exhausting, sizable: 0.279981479267
awareness-raising, try: 0.0
flammable, sobering: 0.453205810285
hurt, reckless: 2.01374052814
cordial, moderate: 2.07179254111
conducive, informative: 2.0176080465
upbeat, use: -0.4311487362
knowing, slight: 0.765108356875
accused, questionable: 1.23508763351
self-employed, way: 0.0
labour-intensive, virtually: 0.0
american, slim: -0.245387689611
ah, operated: 0.1614738873
competitive, traded: 1.11162043646
ill, longer: 1.46155872847
sizeable, turned: 0.261387341691
belated, precise: 0.592157181272
disputable, leave: 0.139860733392
emaciated, sentient: 1.24003653928
strictest, thereto: 1.72775533803
democratically, moving: 0.270856366706
found, impermissible: 0.390148903965
better-looking, macabre: 0.0
founded, realist: 0.782075024426
bonnie, defensible: -0.266911933289
asinine, flat: 0.050196344574
defined, picky: 0.600013877449
around, wary: 0.486286610345
challenges, insensitive: 0.017237159142
doable, whilst: -0.43141742524
dispute, lately: 0.268904476523
master, resolved: 0.218752864706
concise, improved: 0.625254841738
endearing, mediocre: 1.97861298337
random, stunning: 0.595329100896
credible, own: 0.73126345321
funky, medical: -0.192652105761
individual, savage: 0.078351522465
disappointed, patience: 1.88309134424
ill-equipped, specifically: 0.0
hardworking, mutual: 0.649137204581
developing, taken: 0.024363242351
again, free-of-charge: 0.0
admiral, insulted: 1.28068381418
almost, valid: 0.510199776417
fourteen, normal: 0.480397816503
preposterous, single: 0.502742776199
favourable, impolite: 0.0
negligeable, ruthless: 0.0
cheaper, hurt: 1.6406733031
-, mid-: 0
stupider, unrestricted: -0.549476481869
asinine, coordinated: 0.93589764037
dandy, incapable: 0.902542337686
myself, shared: 0.242629808352
continuous, like: 0.209610961809
obnoxious, partial: 0.273427151603
him, sustainable: -0.106354239528
alarmed, graver: 1.8397605141
