effectively, unexceptable: 0.0
grievous, unsuccessful: 0.533841014312
cooler, open: 0.851166634044
girlie, nonsense: 2.87045764074
baseless, iovely: 0.0
2nd, sophisticated: -0.542610782745
fucked, shortest: 0.602697675002
especiaily, persuasive: 0.0
multi-ethnic, you: 0.0
transient, transient: 8.64843459461
rife, secondary: 0.488017460666
certain, manifest: 1.24990221178
begin, constructed: 0.925543450623
adversarial, memorable: 0.505628602004
incidental, intriguing: 1.97254100195
explicit, international: 0.745734583069
manifold, meager: 1.77369985497
painless, rigorous: 2.44824218367
chaotic, distinct: 0.679486757295
tailor-made, unrelated: 0.0
becoming, unstable: 1.05034594135
compassionate, therefore: 0.576770931072
soon, updated: 0.953656079769
inestimable, regrettably: 1.67824000042
interim, shaky: 1.19056309839
find, n'tunderstand: 0.0
disparate, trippy: 1.35407043327
flagrant, unhelpful: 1.50053625306
fucked, ruthless: 1.68005144805
casual, speedier: 0.789858181996
culturally, recheck: -0.089636043917
innocent, shitty: 0.983730605173
marty, stifling: -0.273676361491
different, enraged: 0.51829122737
okey, slower: 0.083982287592
advantageous, professional: 0.746551282046
innocents, vice-chairmen: 0.0
characteristic, inter-linked: 0.0
environment-friendly, illiterate: 0.0
evolving, infuriating: 0.164285781126
appealing, hopeful: 2.08787427201
fantastic, unwholesome: 0.710897085466
retrievable, well-founded: 0.0
fertile, wholesome: 2.07449932397
unthinkable, vice-president: 0.0
fundamental, spectacular: 1.0849745365
illiquid, immaculate: 1.13271290708
isolated, well-known: 0.0
revealing, risky: 1.336167188
peculiar, prejudicial: 1.99698777222
subsidized, time-consuming: 0.0
entrenched, submitted: -0.470318969568
cardinal, cleanest: 0.805537822043
delineated, greatest: 0.220236921068
friendly, undemocratic: 0.891256230523
revealing, self-aware: 0.0
embedded, missingg: 0.0
prick, tough: 0.440190818548
awareness-raising, worrying: 0.0
manifold, naked: -0.715598798733
operative, opportunity: -0.559195778428
shallow, upper: 1.71464710967
level, plausible: 0.737351572793
flourishing, race: -0.134881722559
open-ended, prudent: 0.0
acknowledging, outermost: -0.032444801987
developing, marginal: 0.351445470507
course, trippy: 0.398081015049
clarify, thankyou: 0.964488385331
nigeria, twofold: -0.435988578228
displeased, fairest: 0.676431324362
ethical, immersive: 1.40351974442
anyway, lamentable: 0.953003208827
structured, welcoming: 0.396271514105
absurd, untraceable: 1.21212715731
enrolled, privileged: 1.19878961843
educated, susceptible: 2.34178647695
mentioned, unspecified: 1.09000607588
interwoven, laudable: 1.09048407456
demand-driven, housebroken: 0.0
puny, snug: 2.29100875215
belated, honorable: 1.7625389594
dominant, widening: 0.235417740143
armed, desirable: 0.433304325598
relaxing, self-executing: 0.0
per, six-year: 0.0
defenceless, standardized: 0.0
astute, standing: 0.224640900908
time, universal: -0.144080773622
constantly, taller: 1.31023053839
executory, unquestionable: 2.16766716334
inadmissible, sad: 1.80863402356
awaited, well-tolerated: 0.0
appalling, badly: 2.23118144554
calm, certain: 1.11910202829
also, jittery: 0.300676669363
all-important, gonna: 0.0
heavy, somewhere: 0.39695450892
admiral, specifically: 0.536380375592
hard-pressed, sharper: 0.0
mad, unachievable: 0.977005967335
baby-sitting, cited: 0.0
greatest, promising: 0.952425932843
eighth, stupide: 0.0
seventh, sympathetic: -0.311554009217
occupational, quicker: 0.017163143951
1st, ioaded: 0.0
disingenuous, inclusive: 1.15003248711
fanta, satisfactory: -0.001938295197
experienced, stubborn: 0.847260461679
hasty, unknown: 0.236285197085
patient, settled: 0.256288306921
disputable, overwhelming: 0.7872495765
fastest, psychotic: -0.224931471397
manifestly, sensational: 0.512864263433
difficult, unprepared: 2.14679894377
over-the-air, soaring: 0.0
anomalous, shitless: 0.195521824329
confidential, whar: 0.0
acquainted, proportional: 0.257459066294
disconcerting, well-known: 0.0
spontaneous, sublime: 1.8968269329
forthcoming, open-minded: 0.0
exclusive, interoperable: 0.44159581814
elite, win: 1.25607465601
damaging, testy: 2.39315630068
comfy, value: 0.226787585103
here, lacklustre: 0.0
owned, receivable: 1.71293434628
disappointed, safe: 0.678857298991
competitive, pretend: 0.26085870845
credible, newer: 0.23412915459
skint, unanimously: -0.248755805402
inconvenient, stipulated: 0.769018057006
dubious, illogical: 3.30180837315
broader-based, daily: 0.0
mutual, unproductive: 1.09775043627
galore, genuine: 1.58454876559
dandy, embarrassing: 1.42772348951
exceptionally, neighbours: 0.0
absent-minded, fucked-up: 0
hilarious, legitimate: 0.622720388644
breathtaking, unsafe: 0.898438419738
doomed, laughable: 2.86753736606
different, preferential: 1.31124642389
joyous, overwhelmed: 1.9698488695
great, imperfect: 1.24179604799
flicka, spaced: 0.0
prominent, proud: 1.36561561009
bigger, erected: 0.863707615552
effective, healthy: 1.83984617177
cultural, unidentified: 0.381003312863
ferociously, s-sorry: 0.0
filed, sparse: 0.151488864288
incomprehensible, priceless: 2.04664312684
immediate, inclusive: 0.33246057268
bad, facultative: -0.336188932713
fitting, foolproof: 1.44285600815
identifiable, self-conscious: 0.0
inoffensive, managed: 0.971030076265
multi-layered, removed: 0.0
brain-dead, expanded: 0.0
re-appointed, slow: 0.0
efficacy, facilitated: 0.46420808275
simply, too: 1.51045692881
co-funding, disappeared: 0.0
aroused, bereft: 1.65995731236
humid, immovable: 0.197779786306
invisible, well-balanced: 0.0
issue, robust: 0.222808344635
opened, uncanny: 0.720288962106
depressing, obvious: 1.74789268775
ageing, globalization: 0.0
unabated, unfavourable: 0.0
high-tech, kane: 0.0
startled, supplemental: 0.678270837788
estimated, rock: 0.39052702405
chickenshit, gratifying: 0.448369536854
craze, yourself: 1.18874594544
articulated, correctly: 1.15607573292
happening, ravenous: 0.444375137677
perfectly, sloppy: 1.79362249712
muchfor, reaily: 0
stricter, wicked: 0.11352475744
blameless, minus: 0.975744628032
audience, fully: 0.453859073304
gratifying, pivotal: 2.29872828849
discriminatory, memorable: 0.22993970137
sonny, well-placed: 0.0
these, vigilant: 1.44353407435
ineligible, lamentable: 1.07869740787
realizing, usually: 0.408201189541
immovable, stupid: 1.21920100563
displaced, unresolved: 1.94151189295
muscovite, unrestricted: 0.389755698933
distant, inefficient: 1.65173346502
confidential, some: 0.149571261988
bad-looking, representative: 0.0
suited, upright: 1.24342916126
s-sorry, seventh: 0.0
ail, insufferable: 1.30750847771
finished, observed: 0.439332570398
identify, thanks: -0.556448303533
dreadful, unbiased: -0.197898959045
flawed, icy: 0.75985225116
latest, south-east: 0.0
sufficiently, unhappy: 0.279467082938
medical, non-specific: 0.0
cleaner, universal: 0.777363543371
marine, thin-skinned: 0.0
sloppy, us: 0.495897150628
tan, untenable: -0.425188001519
flawed, southwestern: -0.048394536272
environmentally-friendly, most: 0.0
negligent, non-exclusive: 0.0
confrontational, correct: 0.896089093756
erroneous, excluded: 1.72476518511
illiquid, shitty: 1.57107616994
brand-new, instrumental: 0.0
handling, routine: 1.38180471936
marvelous, profitable: 0.426803105266
bad-looking, cross-border: 0
infamous, so-called: 0.0
started, unspoiled: -0.872973753395
high-quality, left: 0.0
adverse, multi-disciplinary: 0.0
complicated, medium-sized: 0.0
addictive, quiet: 0.699971694901
fascinated, fbl: 0.0
illegal, indicative: 0.845835697562
infected, staff: 0.611442522209
fledged, ggood: 0.0
blunt, unimpressive: 1.83323781287
meagre, superior: 0.0
new, profitable: 0.821579749588
acceptable, importantly: 1.52356931748
addition, needless: 0.343324760826
european, negligible: 0.635375915575
arranged, biggest: -0.111695211846
curious, presumptuous: 2.20006584181
actively, delightful: -0.191918041024
missingg, responsible: 0.0
passionate, prudent: 0.75056215571
tardy, youthful: 0.655656973653
complements, frustrated: -0.076412687716
announced, these: -0.247287069176
!, awol: 0.0
conspicuous, normally: 0.530572832747
anti-constitutional, technically: 0.0
formally, freezing: 0.701350330466
exhaustive, inoperable: 0.673348769239
-good, sunnier: 0.0
implausible, liable: 1.80620537961
frightful, infallible: 1.76822349607
amusing, her: 0.690319123416
disgusting, win: 0.508294890244
inaudible, overheard: 2.54024479703
genius, win: 1.00508074064
inactive, tremendous: 0.171460406988
dismissed, filthy: 0.735996112904
set, shoot: 1.00900097557
ignored, psychological: 1.17088715777
graver, illusory: 2.17996936287
destabilizing, luck: 0.703227957808
coast, well-targeted: 0.0
forthright, tabled: 1.56117066095
afresh, equivocal: 1.01944717838
actionable, ill-founded: 0.0
bad-looking, presently: 0.0
icy, trusted: -0.259059263645
certifiable, concluded: 0.535702331923
pathetic, refreshing: 1.88264543297
informed, terrifying: 0.11262863531
rigght, unhelpful: 0.0
15-year-old, primarily: 0.0
associated, sadly: 0.107519688032
amended, warned: 0.693083543054
progress, smug: 0.276024696914
promptly, thin: -0.052626774999
boundless, repelling: 1.2038745898
easy, smarty: 1.25706181225
inexpensive, placed: -0.096299218159
continued, strengthened: 1.64069075101
rad, re-routed: 0.0
constituted, sociable: -0.152737538493
pertinent, tenable: 2.0374003603
eccentric, ongoing: -0.173909625045
dre, psychogenic: 1.21288048055
efficient, maximal: 1.36357338356
certifiable, widely: 0.97079049592
griet, terrorized: 0.0
laddie, non-existent: 0.0
-sorry, brief: 0.0
frail, innumerable: 0.40893306981
double, sorr: 0.0
liberated, ugly: 1.43154194827
currently, steadfast: 0.395633290765
ruined, shitty: 2.78189403217
copacetic, magical: 1.67476796158
disruptive, volatile: 3.31741193312
completed, insulting: -0.434581926038
glorious, poorer: 0.679071742975
distraught, visible: 1.33479067777
first-hand, heeded: 0.0
interested, wished: 1.08355231199
ever, odd: 0.35730752338
prouder, returned: 0.86284937722
busted, hurry: 0.931081949949
armored, irate: 1.13837363314
lucky, thirds: 0.894798197933
re-established, timely: 0.0
amended, precious: -0.339960952355
fragmented, sweet: 0.493061313936
negative, tepid: 2.41636094684
distracted, unprepared: 2.92245611419
predominant, senior: 0.177075168546
non-discriminatory, ready: 0.0
elongated, neighbours: 0.0
long-lasting, scared: 0.0
lifelong, muchfor: 0.0
high-cost, self-contained: 0
defensible, marvelous: 0.440331432814
information, wealthy: 0.140005451941
frightening, worth: 0.745426423879
hospitable, stepped-up: 0.0
damaging, open-minded: 0.0
near, self-employed: 0.0
presented, unaware: 0.977289251908
girl, three: 0.304070473352
nigh, unjustifiable: 1.29981367947
financed, rampant: 0.631792333532
insupportable, superficial: 2.41364686985
instead, lawful: 0.317284380598
slippery, topnotch: 1.24389813973
enhancing, fabulous: 1.22854128934
defined, mum: -0.276577146451
controversial, suck: 0.000431587179
competitive, confrontational: 2.10350869453
iucky, vigorous: 0.0
marginalized, satisfying: 1.03012027336
first-hand, oral: 0.0
unharmed, unitary: 0.156983554819
improbable, regardless: 1.01575615415
motivated, sour: 0.659707985523
cheap, sappy: 1.86506749242
collective, ineligible: -0.596479957621
inestimable, stout: 0.635273382963
well-educated, woolly: 0.0
afflicted, flashing: 0.501895854654
cozy, hearty: 2.46425853392
deliberate, flammable: 1.02276670705
calm, old: 0.854792010222
minimum, neglected: -0.211314019635
considerable, state-funded: 0.0
challenged, dangerous: 1.01936378876
darling, sophisticated: 1.06291347979
batty, economically: 0.534502259337
particularly, suicidal: 0.089839475703
impaired, tight: -0.281944360895
fabulous, interdisciplinary: 0.436273200819
french, legally: 0.468518057194
aggrieved, functionally: 0.48767184595
accordingly, internationaux: 0.239626774803
trashy, untenable: 0.943744807742
long-term, unreliable: 0.0
flicka, why: 0.0
roll, time-consuming: 0.0
abused, debate: 0.466878242563
giddy, rad: 2.2097871658
highest, perfectly: 0.946408233846
aggrieved, cosmetic: 0.573510072551
abreast, uh-huh: 0.0
first-class, perilous: 0.0
prepped, shy: 0.400346733229
superb, undetermined: -0.059327973021
constructive, meticulous: 0.585777192517
agile, mortal: 2.00797574461
term, wonderfui: 0.0
drunken, interdisciplinary: -0.11776481322
breathe, hereby: 0.125606214176
lye, mla: 0.371715207426
generally, sacrilegious: 0.61010827167
ioyal, saved: 0.0
purty, strained: 0.227813355719
attractive, juicy: 2.01957603593
grisly, prudent: 0.417580854063
established, recent: 0.224107094388
etcetera, logical: 0.920664454493
obese, variable: 1.28926107842
freedom, narrow: 1.13151937566
goal-oriented, ominous: 0.0
hotter, ma: 0.999827131816
ineffective, ominous: 1.4824054932
frantic, merely: 0.823534137009
chilly, emotional: 1.54568701394
preposterous, restricted: 0.075356298156
freest, normal: 0.793283543707
adverse, inexplicable: 1.43105533079
fascinated, tough: 0.759040506145
lucky, palatable: 0.304933849157
best, kind: 1.24478253311
undisturbed, unreasonable: 1.16225303722
erected, malicious: 0.485916216811
almighty, by: 0.422226467277
germane, sympathetic: 2.04609539283
possibly, unbalanced: 0.507743025908
alone, unreliable: 1.176071232
iate, interdisciplinary: 0.0
proportionate, undemocratic: 1.44727321759
poor, staggering: 1.39220644431
held, inviolable: 1.14039483275
crystal-clear, terminated: 0.0
faint, neglected: 0.523435594826
fantastic, kiddo: 1.39310890789
exorbitant, insane: 2.91556603543
hurting, nascent: 0.845202189461
redeemable, worded: 1.17265470134
admitted, utilized: 0.084382140639
acquired, uncontroversial: 0.748589331794
academic, darker: 0.465857950448
intrusive, separate: 0.372961411373
first-hand, mainstream: 0.0
inadmissible, splitting: -0.097100019236
social, superior: 0.091274331446
legal, relevant: 1.14531203909
frightful, good-natured: 0.0
justiciable, watchful: 0.281549172626
created, sluggish: 0.038306343744
inherent, speaking: 0.626882765775
fascinating, relieved: 0.707517008209
contemptible, theoretical: 0.727749958558
coherent, disappointing: 1.13008589427
expressly, happening: 0.033127278392
brittle, questionable: 1.52341760431
peculiar, some: 1.04047242243
johnny, youth: 0.367188863864
soaring, unforgiving: 2.09175745802
comprehensible, positioned: -0.058802136911
deficient, degrading: 2.83493895463
prerequisite, talented: -0.21808856658
joyous, talkative: 2.77345738776
co-, psycho: 0.0
absolutely, wholesome: 0.938439504333
specialized, widest: 0.931610370632
soothing, tabling: -0.214387409214
goofy, rather: 1.08452140833
lightweight, well-deserved: 0.0
best, morbid: 0.364462566871
creditable, well-prepared: 0.0
co-operate, favorite: 0.0
intensive, unaware: 0.046113278917
advised, clearest: -0.029259806208
ingrained, released: 0.476256055946
affordable, coherent: 1.65258581054
startling, wise: 0.997434536652
fuckin, incapable: 0.872127253273
idiotic, productive: 1.01348478149
freezing, steeper: 1.3752142856
absolutely, humble: 0.371544572954
crazed, geographical: -0.008882613687
generalised, recently: 0.0
equally, treated: 1.32945127192
ferociously, simplest: 0.683559525721
madness, wait: 1.44711539127
back, geographic: -0.048307803295
autonomous, worried: -0.17093715569
blunt, ecological: 0.473830296229
archaic, slick: 0.80484438081
-just, old-timer: 0
magical, sold: 0.907534703222
elusive, next: 0.529731288495
pretty, unequal: 0.503469398331
scared, uptight: 3.23371516631
persuaded, term: 0.399199304628
pitch-dark, sweeter: 0.0
maximum, single: 0.958900052554
crummy, equivalent: 1.18547406016
bad-ass, ignorant: 0.0
all, keen: 0.200752655146
change, remediated: 0.665772720801
again, thanan: 0.0
trained, unproblematic: 0.488533050545
multi-layered, self-explanatory: 0
precisely, removed: 0.616729688768
all-out, awake: 0.0
full, juvenile: 0.27785995259
stimulating, weirder: 0.966340849936
incompatible, liberal: 2.01338100915
hurtin, somewhat: 0.627457654048
accelerating, tedious: 0.884726284055
confusing, orderable: 1.44457584289
perilous, tailor-made: 0.0
criminal, guys: 0.469555820393
intense, sixteen: 0.671302907013
fun, funnier: 4.56857677807
max, north-east: 0.0
properly, well-balanced: 0.0
narrow, operated: 0.405338390551
promptly, valued: 0.104163021747
droll, excluded: -0.473028146918
harsh, repealed: 0.500912178204
idiots, inactive: 0.351050830389
dynamic, sober: 0.89928830684
flattering, win: 1.60040487053
alia, commenced: 0.532594045348
acquired, unfavourable: 0.0
fixated, precious: 1.72074872741
mediocre, self-executing: 0.0
dedicated, lovable: 1.15562431918
embedded, fucking: 1.02772503426
executed, uniform: 1.19730130998
clarify, withdrawn: 1.37809643995
feeble, ongoing: 0.408173624464
impractical, recently: -0.163808280157
lightweight, mighty: 1.53697401818
indefensible, perpetual: 1.06521081022
continued, sugary: 0.064636921719
live, marginal: 0.325923386192
created, elite: 0.231385971141
considered, estimated: 1.04714990501
faint, referenced: -0.284613118196
refrigerated, wild: 0.23778322223
awol, voluntary: 0.77324683335
hon, tiring: 0.174060797457
lighter, principally: 0.886694371782
circumspect, information: 1.43835645412
commitment, improved: 0.849435888697
practice-oriented, unjustified: 0.0
good, seminal: 0.885816595256
elegante, handsome: 0.0
authoritative, wing: 0.363043684601
hotter, thinner: 5.03925226746
content, invisible: 0.443080371931
bulletproof, desired: 1.07339755611
unjustified, unrestricted: 1.5567509498
marine, private: 1.02521452148
asked, sluggish: 0.165793090061
helpless, indisposed: 2.81433747128
equal, unusual: 1.0384215378
notably, nude: 0.333613223221
distributed, unconscionable: -0.004716703724
dry, elevated: 0.98509399334
statewide, unreasonable: 0.62824432099
unattainable, vice-chairperson: 0.0
acquainted, generalized: 0.724598601699
burned, singular: -0.02533805759
positively, well-reputed: 0.0
liquid, richest: 0.658396349841
co-dependent, hither: 0.0
constructive, neurotic: 1.35977470859
flexibly, mid-: 0.0
alone, minimal: 0.775682919255
broadest, unforeseeable: 0.334083972509
captain, unfathomable: 0.490099574785
although, matched: 0.918370495869
minor, non-discriminatory: 0.0
intolerable, restful: 1.49778685523
healthier, together: 1.26864110438
jump, normally: 0.403465628121
clearer, least: 0.678036123368
laddie, ridonc: 0.0
available, fake: -0.149026055953
exposed, obnoxious: 1.07519202795
physical, poppycock: 0.370300971623
duty-bound, uppermost: 0.0
american, tricky: -0.173568694629
blessed, illiquid: 0.370161135569
happy, skint: 2.58607592546
butthead, efficacious: 0.135007965847
cheesy, coast: 0.537176832846
convincing, effective: 1.24499483189
hospitable, indicative: 1.06730305635
action-oriented, sublime: 0.0
loving, safeguarded: 1.26659753549
longstanding, unexpected: 0.831372379115
grown-up, thought-provoking: 0
pristine, toast: 0.563670511766
freer, lukewarm: 1.13337728843
possible, way: 1.17316208161
aforesaid, unavailable: 0.287255897371
darkest, thin-skinned: 0.0
disastrous, treated: 0.006870921711
manifest, static: 0.86194557083
crass, prejudicial: 3.37898075514
inside, sticky: 0.991120977713
confidential, perpetual: -0.074303793418
identifiable, petite: 0.918555342588
colossal, few: 0.427920778796
memorable, shielded: -0.381953335467
counterproductive, obligatory: 1.02385016968
impaired, ping-pong: 0.0
deceased, holier: 1.08911730223
moot, unanswered: 2.71599087587
1st, constant: 0.070832604357
diverse, economic: 0.739213081621
bravest, unconvincing: 0.856319680079
long-standing, surely: 0.0
overpriced, shitty: 3.72538213354
discrete, random: 2.38897787737
exempt, formidable: 0.197205823796
loco, try: 0.028649903656
secure, up: 0.438021124748
marty, me: 1.20830782075
grouchy, viewable: 1.04076813723
expensive, unwarranted: 1.01078138376
succinct, vocational: -0.019575591874
ever-changing, nationwide: 0.0
satisfactory, treatable: 1.67328111738
knowing, provision: 0.65844750269
poor, timely: 1.31726226463
determinant, selective: 1.989490139
lousy, opposite: 0.896958622754
exclusive, young: -0.159776405019
ineffectual, non-specific: 0.0
clearly, thus: 1.31192909435
pitiable, stepped-up: 0.0
canceled, inter-dependent: 0.0
dull, kinda: 1.95614762131
granted, represented: 1.51687859348
represented, thinner: 0.172734698228
clearer, reaching: 1.10320139287
extant, scientifically: 1.55108886725
slight, weakest: 1.96131971558
freely, minor: 0.566559817218
old, risky: 0.225606726463
problem, spotless: 0.126225322061
built, mieux: 0.11161067599
defective, naive: 1.21283381166
contained, neglected: 0.479634448178
criminal, terrifying: 0.953479702956
invalid, stress-related: 0.0
hurtful, supreme: -0.147472057047
designated, scattered: 1.68779858142
open-ended, well-founded: 0
nude, subtle: 0.956076670384
co-operate, spaced: 0.0
crazy, deductible: 1.24436645829
few, slightly: 0.839233877687
excluded, immutable: 1.47388365226
aroused, tired: 1.14866529422
political, succinct: 0.726420137881
severe, wrecked: 1.51919083956
finicky, luckier: 2.8948416951
comprehensive, submitted: 1.22298860179
handy, periodic: 1.14883661331
groundless, unjust: 3.76513233224
definitive, violent: 0.705489291882
co-operate, surprised: 0.0
faint, petrified: 2.55890069355
contemporary, soaring: 0.711499177809
eastern, inter-dependent: 0.0
bull, personalized: 0.003935601028
arming, ideal: 0.399935712774
antsy, next: 1.19006675097
immovable, n'tunderstand: 0.0
atrocious, unanimous: 1.07333265426
accuracy, paradoxical: 0.261491547133
certain, exceptional: 1.58195371235
clinically, diverse: -0.049535370834
belligerent, chosen: -0.35254919719
advantageous, malicious: 0.552280952243
tight, weirder: 0.843448168755
combative, shaun: -0.288941869885
impressed, pro-choice: 0.0
asked, ever: 0.745185973946
committed, subsequent: 0.209463351451
brain-dead, responsable: 0.0
hiv-infected, selected: 0.0
antagonistic, awaited: 0.054820447844
accountability, allright: 0.261288575627
insolent, self-explanatory: 0.0
clear, customary: 0.663094102827
aesthetic, western: 1.08142686614
immediately, redeemable: 0.088643904265
ambiguous, hotter: 0.750844607832
qualified, well-organised: 0.0
launching, surrounded: 0.460768787633
comparable, differing: 1.91993315481
asking, self-aware: 0.0
loyal, vice-chairperson: 0.0
10, truthful: 0.0
foutu, pointless: 0.0
equipped, upbeat: 0.244386999671
reversed, underfunded: 0.784631135125
lead, preoccupied: 0.29302414432
addition, under-inclusive: 0.0
graceful, overjoyed: 1.08001088294
strangers, worthless: 1.17069684873
hospitable, useable: 2.19991902877
recommendable, shorter: 1.10919935641
better, specifically: 0.936472617438
bureaucratic, reason: 0.775634820375
concerned, undemanding: -0.12255382336
disgraceful, flattering: 2.75796226746
education, feeble: 0.174006981815
loose, vice-chairmen: 0.0
improvement, overwhelming: 0.977310084031
sweet, unhappy: 1.20830007096
astounded, flush: 0.481983986604
dainty, inoffensive: 2.8021332237
accelerating, bonnie: -0.095482094811
common, untenable: 1.06163665749
extremely, priced: 0.485621501017
certified, looking: 0.171119214344
innocuous, subtler: 2.53130461374
picky, results-oriented: 0.0
careless, checked: 1.24027777582
instrumental, mild: -0.129817012048
past, tentative: 0.513168047872
brave, inter-connected: 0.0
do-able, whatever: 0.0
choosy, smokin: 0.758206707609
irrelevant, recurring: 0.668159857736
embedded, nouveau: 0.140963308699
amazed, intelligible: 0.396454211244
simplified, superfluous: 2.14109219291
idle, intermediate: 0.325528533578
allright, prescribed: 0.377805846349
proactive, snug: 0.427036966999
glad, heights: 0.259154681807
repulsive, ruined: 1.16676319792
awkward, improper: 1.98337944602
equitable, wiser: 1.68959781697
merry, predictable: 2.43694793897
overambitious, unable: 0.93460662237
major, severe: 1.44549472819
troubling, uptight: 1.16776218262
nothingg, slight: 0.0
gorgeous, seropositive: 0.673359448193
fierce, growing: 1.64761954104
corrupt, humiliating: 2.11462681957
exclusive, well-reputed: 0.0
begin, popular: 0.107881870924
loose, visual: 0.089275480681
annulled, ravenous: -0.816925205522
heinous, meaningless: 1.52278485284
cheaper, scheduled: 0.748520763453
dreamy, weird: 3.27619362727
it, phony: 0.670527745619
dire, however: 1.00113246233
gruesome, principal: -0.37041271892
incorrect, rare: 0.269020964425
abrasive, ill-founded: 0.0
content, to: 0.0
elderly, tight: 0.004438876979
actually, term: 0.496200027571
in-depth, prior: 0.0
dummy, previously: 0.216813749619
highest, strained: 0.822352638316
find, liable: 1.14114699711
cranky, generated: 0.059975977366
timid, tragic: 1.0425412605
physically, steep: 0.630231849215
average, jam-packed: 0.0
cynical, foremost: 1.20324461312
rogue, surrounded: 0.628178580964
lost, mainstream: -0.48787513998
efficient, yummy: 0.65274599649
gone, use: 0.200287952154
encouraged, misguided: 1.36327046586
foutu, say: 0.0
inclusive, tolerated: 1.44387015933
specified, thanan: 0.0
treble, yummy: 0.610290807318
heavyset, violated: 0.129300632996
convenient, energy-efficient: 0.0
alike, unfilled: -0.568320845329
applicable, misguided: 0.582799130314
everything, sick: 1.13688500713
theoretical, unreasonable: 1.26855947079
diseased, follows: -0.265903728259
helpless, homesick: 2.90860539281
asked, degraded: 0.2969337971
irresponsible, lifelong: 0.763915609255
minimum, salute: -0.09477471844
forthcoming, manifest: 0.541791040303
orderly, trashed: 0.851432403406
endearing, resolved: 0.415077712399
shy, substantive: 0.408385883822
minimum, pitiful: 1.00462560852
onboard, pro-poor: 0.0
instructive, mama: 0.204815179037
heaviest, medium: 0.960478647642
aggravated, well-protected: 0.0
convincing, particularly: 0.383408749613
displeased, fiine: 0.0
ah, seriously: 0.20416744575
diligent, symbolic: -0.259301023003
low-skilled, seen: 0.0
stopped, warranted: 1.09601711726
damaged, restrictive: 0.769163830338
-lncredible, conceivable: 0.0
abhorrent, working: 0.499304023273
impeccable, yes: 0.397669871118
quickly, shitless: -0.014782119847
myself, past: 0.638474833937
associated, neutral: 0.545225434479
boy, enrolled: 0.353626429588
checked, premature: 0.142938037102
released, resilient: 0.703782895128
stimulating, unprecedented: 0.80086747059
elsewhere, fried: 0.816589613186
explained, selfevident: 0.0
handy, on-going: 0.0
perverse, unprejudiced: 2.10609267667
beastly, outermost: 1.19788413639
infrequent, represented: 0.440603663109
completed, comprehensively: 1.23211164866
beautifui, consistent: 0.0
interim, unreal: 0.192762216322
justified, snotty: 0.219146490342
l, tacky: 0.272914798803
smoother, wretched: -0.142634957201
answerable, well-protected: 0.0
near, unattainable: 0.658220358044
generalised, uptown: 0.0
lacklustre, recheck: 0.0
profitability, tailor-made: 0.0
hurt, shocking: 1.15294060547
induced, right-handed: 0.0
credible, primordial: 0.97226481424
henry, persistent: -0.106018260145
fucked-up, transnational: 0.0
multi-ethnic, submitted: 0.0
extensive, hlv-positive: 0.0
ethical, sweeter: -0.27667362358
sour, underfunded: 1.06552639748
narrow, prettier: 0.201028040744
coast, tense: 0.535851960731
flagrant, max: 1.49893649993
goal, uptight: 0.46106673449
user-friendly, vibrant: 0.0
finest, thanks: 0.3680935272
dear, stylish: 0.747988039979
contestable, gaunt: -0.010611052116
difficult, somewhat: 1.10865375637
friendly, time: 0.411300222854
free-of-charge, though: 0.0
handicapped, stark: 0.202698593772
cheaper, excitable: -0.014805640847
moist, wholly: 0.269714175583
individual, prescriptive: 1.4156429644
information, underage: 0.855199132947
astounding, earliest: 0.639819562295
fullest, very: 0.625309893704
together, up-to-date: 0.0
cheerful, populous: 0.799145711618
economic, woken: 0.362895126224
beneficial, irritable: 1.52922783114
inadequate, theoretical: 1.31953959508
broader, nervous: 0.854408221486
about, free-standing: 0.0
feeble, messy: 1.52847315525
fuzzy, uncanny: 2.26597739458
commended, contradictory: 0.503985454654
clearly, unattainable: 0.212938387147
married, warm: 0.839011436899
hope, nonsense: 0.821226482238
strongly, wanna: -0.34458828789
certifiable, freaky: 2.26337038058
atrocious, boring: 2.28071999902
kinda, nothing: 1.89930514612
individualized, swifter: 2.14990423433
blameless, focused: 1.05361990966
discreet, favourable: 0.0
paid, twice: 0.688679241099
aggravating, reiterate: 0.614110838265
sing, twofold: -0.32448036059
endearing, jolly: 2.97169287129
beneficial, unimpressive: 1.10898425206
sweetheart, then: 0.743746460091
high-quality, stringent: 0.0
jurisdictional, rogue: 0.657299704703
highest, inconceivable: 0.780077955823
marty, righteousness: 0.907117219126
snotty, uptight: 5.62330548481
desolate, distraught: 2.57988755745
noticeable, weirder: 2.37187126611
emaciated, heaviest: 0.980121465903
french, locked: 0.306909782632
initial, obliged: 0.36772677972
dispute, hollow: 0.307586686359
go, seen: 0.63372708731
differently, stuffed: -0.017596558563
debatable, malignant: 0.746467860347
antsy, unbiased: 0.383272277177
helpless, most: 0.276496993057
stand-alone, transient: 0.0
david, teeny: 1.68905591702
belated, vigilant: 0.193576261132
orderable, quality: 0.726672443255
intimate, lonely: 2.33933215175
commensurate, okey: 0.203637086948
freer, unrealistic: 1.00725511017
sappy, seasick: 3.11857184683
export-ready, presented: 0.0
grimmer, overlooked: 1.04544237025
cabbage, illicit: 0.764810309503
persuasive, small: 0.338454846671
periodic, steep: 1.321787232
trite, vicious: 1.54452579517
