fiercer, pivotal: 1.84417795573
misguided, subtle: 1.21090580727
admirable, primarily: 0.391298322635
blurred, concerned: 1.53811265559
expandable, light: 0.823990383724
disturbing, rash: 1.14171408148
disrespect, distribution: 0.311658892848
manifest, open-minded: 0.0
efficacy, functioning: 2.00073830226
favoured, viewable: 0.0
thin-skinned, well: 0.0
large, payable: 0.402936262571
hiv-positive, iate: 0
late, vain: 0.862735001881
great, tonight: 1.64146300773
apparent, ruthless: 1.33975852931
fiine, prescriptive: 0.0
labour-intensive, murderous: 0.0
antsy, revised: 0.361246516488
folks, self-executing: 0.0
paid, presentable: 1.05744108243
unrelated, wholly: 1.93602015401
goofy, sustained: -0.402688061392
intimate, unlocked: 0.881575452792
flat, instructive: 0.055005659736
every, improved: 0.263846107236
over-ambitious, viewable: 0.0
breathe, excluded: 0.341798619968
delayed, illicit: 0.081730120975
discriminatory, faint: 0.396490276535
unethical, unoccupied: 0.934046381735
guaranteed, well-tolerated: 0.0
amended, unwholesome: 0.753514516869
rank, scandalous: 0.893038840973
marvellous, old-fashioned: 0
directly, enormously: 0.736520067242
despicable, pitiable: 3.78904428928
definite, presently: 0.964543144369
however, intentional: 1.06254707166
third, wiser: 0.499497767226
patient, purty: -0.103562621528
fairest, yourself: 0.392700537599
bureaucratic, invisible: 1.55305584147
just, splendid: 0.501558998665
acceptable, evolving: 1.00216239204
but, recurrent: 0.257342152238
indispensible, shorter: 0.37009159069
encouraging, outgoing: 0.788636443826
fruitful, innocuous: 1.5609413623
silly, terminated: 0.230141976902
disgraceful, explained: 0.649333134982
speaking, whilst: -0.089759284467
doing, pray: 1.38115067771
sensitive, southwestern: 0.452412916437
innumerable, interlinked: 2.36986746381
accuracy, insignificant: 0.567599356168
north-west, treaty: 0.0
proceed, scientifically: 0.777354292619
decisive, superb: 2.30268148837
nauseous, shit: 2.47336517095
incorrect, sustained: -0.241235843048
evident, exact: 0.562390237025
abundant, modest: 1.0544486744
anywhere, south-east: 0.0
afresh, excessive: 0.252963320547
proportional, specifically: 0.730231327757
odious, unattainable: 2.15305507706
exquisite, negligible: 0.786469060193
micro, ping-pong: 0.0
undisputed, wrecked: 0.322886912838
enlightening, lethal: 1.03408549102
healthy, here: 1.03598863497
opportunity, regardless: 0.699834790301
provided, sixteen: 0.268225817557
midget, then: 0.503647390589
fullest, guys: 1.12396887833
classic, pale: 0.910097144255
brain-dead, slightly: 0.0
skint, warmth: 0.595725028574
extraordinary, surely: 0.857296587682
differing, properly: 1.1625586801
fuller, legality: 0.224407395031
prolonged, small-scale: 0.0
booked, vice-chair: 0.0
acceding, feisty: 0.119610195486
anymore, assertive: 0.278100550667
acknowledged, upper: 0.087458582401
laddie, presented: -0.56732758306
awake, labour-intensive: 0.0
audacious, worthwhile: 1.31891944134
malicious, strongly: 0.310133337291
average, awful: 1.67395820761
archaic, immoral: 3.02711124536
sensational, supplemental: 0.1626376138
hurtin, planning: 0.281900081076
co-operate, frozen: 0.0
gender-neutral, steep: 0.0
cheerful, iilegal: 0.0
dre, jealous: 2.09491759742
bottled, irritated: 0.777865807539
clean, immediately: 0.696554983054
defunct, substantial: 0.364804822759
first-class, suspect: 0.0
accelerated, shoot: 0.169134413529
kosher, positive: 0.108721682912
confrontational, unconscionable: 0.852358924699
perplexed, strictest: 0.3496201787
receivable, well-developed: 0.0
accountable, simpler: 1.2064848496
overwrought, sedentary: 1.59206321646
mainstream, persistent: 0.444169182128
expeditious, often: 0.386574755091
insolent, ridiculus: 1.15774722893
advertised, tolerated: 1.47966717237
bizarre, embarrassed: 2.34494594713
fundamental, nearby: 0.101451293968
negligible, splitting: 0.916670242616
crass, pitch-black: 0.0
larger, sublime: -0.568831418091
dorky, unappy: 0.0
calming, indisposed: 0.457057965733
following, incomprehensible: 0.531973620312
hard-pressed, mutual: 0.0
limber, respect: -0.141900734852
dirtier, regardless: 0.078936673166
broke, malicious: 0.484540670829
agile, unfortunately: 0.251006419747
minuscule, steady: 2.16023035723
chilly, madness: 1.07026318533
cooler, unappy: 0.0
recurrent, separate: 1.07697547711
infected, pitch-dark: 0.0
corrigendum, slender: -0.2272652493
least, rooted: 0.421875952437
multi-threaded, untenable: 0.0
distraught, minimum: -0.343685158827
accountability, blind: 0.639091861005
begin, non-competitive: 0.0
equipped, invalid: 0.197321793059
painless, unpopular: 1.73273384638
obnoxious, rebatable: 0.0
linked, supra: 0.138983269851
screwed, shameful: 1.97605284945
baseless, house-trained: 0.0
competitive, interlinked: 1.06385862232
better-looking, hospitable: 0.0
follows, pathway: 0.439938738391
actively, insupportable: -0.973342158445
high-ranking, sir: 0.0
retrievable, solid: 0.882625926582
lacking, stringent: 0.600416985888
customary, expandable: -0.261843462046
armed, busier: 0.693972103879
admissible, widespread: 0.955696691161
disabled, legal: 0.786611430728
rank, unnatural: 0.329045222177
mainstream, underway: -0.080262940408
nut, safest: 0.891956460599
de-insured, fertile: 0.0
deductible, specialised: 0.0
evolving, recognizes: 1.96286348567
academic, creation: 0.514040831779
myself, pronounced: -0.103606487878
biased, urgently: 0.161013969671
overwhelmed, rational: 0.834928312624
constantly, disconcerting: 0.864507035138
repelling, typical: 0.842346408946
case, dormant: 0.51498072897
incorrect, leaner: 0.228288615767
recheck, singular: 0.161998687872
attentive, handy: 1.04783328009
cynical, heartening: 2.09772841098
healthier, west: 0.363009526082
obvious, roisin: 0.0
dramatic, genius: 1.07115053165
arbitrary, successful: 0.547530993855
bone-dry, long-lasting: 0
-just, improved: 0.0
recognized, swearing: 0.541116091527
inconvenient, other: 0.678430846011
therefore, weary: 0.33242602392
dead, left: 1.70600985273
sore, turbulent: 0.404290332277
colossal, implementable: 0.314761857294
easiest, thready: -0.031969006442
toasted, understand: 0.15444600803
etcetera, wiser: 0.477058976103
cracked, filthy: 1.45957437151
fast, hey: 0.674781380993
fragmented, general: 0.478704790257
corny, omnibus: 0.770611036184
grim, memorable: 1.70161995048
authorized, domestic: 0.903141862355
generalized, smaller: 0.777929434337
affluent, benign: 1.31543469135
faulty, info: 0.599948535983
acquired, irritable: 0.039144391216
mild, weaker: 2.506747041
startling, transnational: 0.499450914758
quick, with: 0.447625323594
junior, nosy: -0.102251794182
improvement, sincere: 0.479058708468
arming, outrageous: 0.750735458654
shielded, snug: 2.27310554558
sound, terrific: 0.984205672044
also, consideration: 0.471182270509
deceased, pending: 1.51978359742
curious, satisfactory: 0.972989640455
legit, locked: 1.07458883776
armored, cost-shared: 0.0
liberated, micro: 0.67074751078
above, dirty: 0.353194950571
concerted, doomed: 1.23573271617
baseless, rarely: -0.205468251565
grave, stupider: 0.713188483302
minimum, self-sustaining: 0.0
liable, objectionable: 5.36450043693
adequate, frustrating: 0.913104009513
a-okay, charming: 0.0
anything, glorious: 0.705928197401
merciful, unjustified: 1.15379708601
bravest, ungrounded: -0.380927609091
herein, weirder: 1.62467075297
alert, idle: 1.36820993341
directly, identical: 1.11666246131
opposite, worst: 1.3633393355
miscellaneous, unwise: 0.238699041968
fit, oversensitive: 0.479937611443
mighty, upright: 1.30508354095
daft, documented: -0.274271872735
extant, unthinkable: 0.748753672987
exemplary, ggood: 0.0
baby-sitting, extant: 0.0
astounding, tough: 0.799749366146
'sgoing, enriching: 0.0
ironic, mean: 1.50705116932
chosen, wierd: 0.45411205642
occupied, out-dated: 0.0
jittery, truthful: 1.32762867028
bankrupt, snappy: -0.589992881981
answerable, crafted: 1.02685165802
flourishing, fluid: 0.348032531357
distracted, doubled: 0.241524965555
alert, whar: 0.0
exaggerated, yo: -0.417085908123
egocentric, generic: 0.514531423271
drunken, turbulent: 1.33759836373
distribution, snarky: -0.700216757007
disagreeable, shiny: 1.09941400805
old-fashioned, small-scale: 0
described, religious: 0.298021266158
noticeable, older: 1.07664323467
constituted, tacky: 0.490245971219
fairest, good-looking: 0.0
flagrant, mental: 0.830532688606
genuinely, restrictive: 0.565871813152
typical, unacceptable: 1.23464825686
geographically, tough: 0.661131786413
interested, limber: 1.41125688243
clean, relatively: 0.923741181783
deliberately, majeure: 0.125519048116
enjoyable, fun-loving: 0.0
negative, sick: 1.291999671
insulted, irreconcilable: 1.48911024407
overworked, phat: 1.36431329154
ongoing, seropositive: 0.35042160159
shut, successful: 0.865178098895
prestigious, sensational: 1.5007543232
first-hand, forgiving: 0.0
inherent, recognizes: 2.52183654296
giddy, rationalized: 0.572217898461
greener, varied: 0.785645095675
funded, well-placed: 0.0
bad-ass, nervous: 0.0
badly, petrified: 1.52428208613
clara, unwell: 0.320280010609
deceptive, irrational: 2.18232102431
girl, sell: 0.020511221202
fried, operational: 0.275853815928
imperative, trashed: 0.13134001815
disrespectful, legible: 1.06315354078
old-fashioned, uppermost: 0.0
impartial, scanty: 0.626489992687
cleared, improved: 0.99937989612
disagreeable, wreckable: 0.0
bro, illustrative: 0.431255743638
admissible, n'tunderstand: 0.0
funded, intentional: 0.243681973715
anti-constitutional, executable: 0.0
righteousness, spontaneous: 0.833978182979
elementary, mesmerizing: 0.174026159915
spoilt, theoretical: 0.0
delightful, thicker: 0.486369461993
life-long, unsustainable: 0.0
dummy, ok: 1.60860765168
entrenched, medical: 0.33213532151
disconcerting, lovable: 1.5642483675
disappeared, factored: 0.880309902905
conceivable, inequitable: 1.4951935556
shitless, vocational: -0.163161023913
commended, dazzling: 0.756050825518
previous, tangible: 0.491979902853
out-dated, wide-ranging: 0
irrelevant, up-to-date: 0.0
declared, geographical: 0.671587791471
19, competence: 0.0
bro, repeating: 0.456990183537
explicit, henry: 0.126430298478
calm, incredible: 0.607374152484
accuracy, unambiguous: 1.3242246811
formed, potential: 0.257490504336
clear, surely: 1.02971209263
elaborate, scanty: 2.01045733061
inspiring, trashed: 0.710198062841
lukewarm, soft: 2.37543028774
searchable, sunnier: 1.01772471713
fair-minded, wise: 0.0
schizo, shit: 2.99210341798
freedom, revised: 0.087494151406
salient, shorty: -0.077469583702
indiscreet, unanimously: -0.954300300007
erected, pressing: 0.215806565101
scary, someday: 1.7044464551
accused, nigeria: 0.222851098328
lastly, tabling: 0.396175484278
liberal, vice-chairman: 0.0
financed, move: 0.172671545978
brillant, impulsive: 1.94130150067
nonexistent, worse: 1.74741698615
sour, teeny: 0.687455688693
extraordinary, gratuitous: 1.18545152652
somewhat, timelier: 0.896054138881
painful, tenuous: 2.2277609184
-good, addictive: 0.0
corrupt, crude: 1.98951453718
fanta, sound: 0.221339915393
frustrating, perfectly: 0.866441039978
addition, merry: -0.519120644151
exhausted, inconceivable: 1.79487107848
do, there: 1.63298605314
globalization, proficient: 0.179607654083
adjacent, prodigious: 0.11695048394
applied, seasick: 0.453578041753
nervous, unhappy: 2.93894451262
charmed, unfettered: 1.36845894669
designed, innocuous: 0.560641784106
limp, reduction: 0.702305868943
handled, traffic: 1.35489772045
cherry, patience: -0.405751109573
hurry, incomplete: 1.08186089796
magnificent, underpaid: 0.5076868002
bad-ass, thirteen: 0.0
kiddo, watchful: 1.61828324277
modern, some: 0.567452284267
offensive, uncommon: 0.225462233029
intelligent, supported: 1.03725549794
awaken, stale: 1.10576424027
anti-constitutional, dreamy: 0.0
bone-dry, truer: 0.0
dissimilar, often: 1.15786285587
facultative, influential: 0.456828921593
inter-connected, pitch-black: 0
like, unsound: 0.366124895712
geographic, instable: 1.24147606242
non, slow: 0.484299160937
automatic, limp: 0.594798987064
commended, export: -0.237701212108
flattering, perfect: 2.17432392518
facultative, harmful: 0.51507092413
captain, demand-driven: 0.0
egregious, export: 0.131289805811
non-compliant, psychotic: 0.0
content, demonstrated: -0.094490102352
heart-warming, reiterate: 0.0
slim, starved: 1.3819755918
dissimilar, well-respected: 0.0
feeble, large-scale: 0.0
nathan, rigorous: -0.602994406724
fun-loving, powerless: 0.0
emerging, energetic: 0.959449301115
grimmer, punchy: 1.07870778863
big, weird: 1.65794362135
iilegal, subsidized: 0.0
disrespect, naive: 2.32867385122
arranged, blatant: -0.13398129358
frustrated, preferable: 0.99026116488
business-friendly, thirds: 0.0
curious, longterm: 0.775153445606
last-minute, regular: 0.0
analogous, iovely: 0.0
nosey, overwhelmed: 0.0
awaken, humbled: 2.12317233463
hey, tell: 2.17586138068
badly, come: 0.465758942779
being, realistic: 0.42518511653
created, trained: 1.0468569425
expanded, sleepy: 0.756791614364
presumptuous, strange: 2.65881045216
patience, priceless: 1.51846879599
heterogeneous, responsable: 1.15595671309
ago, stopped: 0.90881577782
clare, sparse: 0.06574475673
lively, unethical: 0.375130435551
exempt, warmth: -0.199340551572
contemporary, stipulated: 0.235243230955
ionely, ugly: 0.0
clara, stupide: 0.0
pleasant, skilful: 1.74882591934
brittle, faster: 0.901164175617
antiquated, savage: 0.701089688926
durable, original: 0.785180212066
overall, somewhere: 0.740657203942
lightweight, specify: 0.089361226245
quickest, substantiated: -0.270008213108
anxious, indiscreet: 1.44549926538
contemptible, fluent: 1.03398914381
inexhaustible, standardized: 0.101473426224
overloaded, unwise: 1.22913800817
disgraceful, partially: 0.553963232288
joyous, sufficient: -0.153452736187
first-rate, flawed: 0.0
certainly, lunatic: 1.2259393328
concrete, highest: 0.087583142577
advisable, asked: 1.54020207534
invariable, ten: 0.592848574328
genius, potential: 0.594874185352
damaging, freak: 1.06041796989
mla, permissible: 0.705377103414
dishonest, hairy: 0.924606260429
longitude, unreal: 0.901988661521
medium, stern: 0.098627771759
hateful, held: -0.089396058776
locked, proper: 0.900851958716
sincere, well-off: 0.0
identifiable, moody: 0.870016797672
hotter, unexceptable: 0.0
erected, similar: 0.513633603285
later, personalized: 0.188097539171
cowardly, implementable: 0.861557799971
open, vested: 0.086538209751
biggest, constant: 1.66156812941
comprehensible, simple: 3.08646408688
formed, funnier: -0.336543587016
close, enough: 0.407229850883
bi-directional, unavoidable: 0.0
inactive, rusted: 1.69598507806
batty, occupational: -0.069885739897
all-out, irritable: 0.0
adequate, created: 0.317551821697
distracting, growin: -0.167158087374
concluded, unable: 0.817667214898
insatiable, recommended: -0.822825527273
qualified, welcomed: 0.739850018364
drastic, ripe: 0.84187384329
seminal, skilful: 0.767056549522
consequential, gorgeous: 0.336406186185
pitiable, populated: 1.70841153645
key, stocky: 0.356093231932
complacent, hurry: 2.61158656494
basic, crippled: 0.652617937453
bleak, sinister: 2.73221965528
respectful, undetectable: 0.611358397038
subsidized, unfriendly: 1.63651809782
convenient, elected: 0.257582609758
archaic, cruel: 3.22971558801
batty, equally: 0.469452568136
handled, traded: 2.39656959724
eligible, privileged: 1.71646225988
american, s-sorry: 0.0
coast, psycho: 0.234205869214
fragile, prime: 0.294056554015
cancelled, toasted: 0.0
coast, non: -0.216048856429
bloodied, predominantly: 0.803009399415
self-aware, uninsured: 0.0
loveable, maximum: -0.776467656103
dissimilar, earlier: 0.668263340273
foxy, representative: 0.396580896494
clara, full: 0.157251256169
distinct, hour: 0.225677178005
deliberately, shitty: 0.712810564715
advisable, sporadic: 0.609631692676
answerable, hour: 0.082551469784
candid, degrading: 0.680564997305
crazy, doubt: 1.08520811171
happened, heavy-handed: 0.0
comin, realistic: 0.102281018687
blinded, funnier: 0.212642486068
contentious, discriminate: 0.382676056078
enormous, hereby: 0.803151745978
case, cowardly: 0.703180438345
liberated, undemanding: 0.734698166329
forthcoming, skilled: -0.120466427071
2nd, only: 0.39391693897
additional, repelling: 0.272429995725
adaptable, analogous: 1.58757733275
afresh, joyful: 1.26126669636
losin, prescribed: -0.418188401816
by-election, dirtier: 0.0
deceased, slight: 0.376288173745
finite, patentable: 2.89346070754
reasonable, simplifying: 0.36567045967
agreed-upon, presumptuous: 0.0
administered, exhausted: 1.76874103309
justification, satisfied: 1.20699457337
iittle, sadder: 0.0
dual, fair-minded: 0.0
costeffective, thank: 0.225404413636
liquid, unattainable: 0.741745158373
duty-bound, misguided: 0.0
grisly, senior: -0.221589322189
carmela, specify: 0.0
braver, imprecise: 1.00529530735
overambitious, suitable: 0.979950942968
longest, two-thirds: 0.0
fairest, planned: 0.000788201314
heartbroken, winning: 0.926064333854
macabre, retrievable: 0.759792090992
beastly, plausible: 1.30591637238
rapidly, wider: 1.16231341442
finer, salute: 0.173583351902
better-quality, traditional: 0.0
boundless, well-defined: 0.0
life-threatening, worthwhile: 0.0
re-appointed, scalable: 0.0
foreseeable, relevant: 1.56460067405
optimum, urgent: 1.12261048139
fixated, usual: 0.820292443765
longer, re-established: 0.0
pretend, quality: 0.208913758381
grown-up, untapped: 0.0
korean, limber: -0.482265292988
beastly, dark: 1.52961575847
environmentally-friendly, predominantly: 0.0
emphasise, race: 0.0
crazed, widest: -0.364198395938
fast-growing, supreme: 0.0
faultless, really: 1.21830697546
ecologically, moreover: 0.778281466096
black, breathe: 0.424533659529
okey, scarce: 0.328696109039
classy, same: 0.73388464831
jumpy, undecided: 1.28649316
boundless, respectable: 0.438341094876
quality, shifty: -0.127756292833
in, unremarkable: 0.765412978379
east, exhausted: 0.471436890292
stipulated, swifter: 0.647620082335
ludicrous, seventh: 0.163144508513
top, troublesome: 0.46441274395
minuscule, well-coordinated: 0.0
evey, vice-chair: 0.0
dismal, high-ranking: 0.0
seldom, splitting: 0.504922947185
colder, way: 1.0618667046
completed, wondrous: 0.553512777267
mere, noble: 1.4888899219
intermediate, sing: 0.623336166597
endearing, italian: 0.533658950642
deprived, unpleasant: 1.20732184557
latter, well-informed: 0.0
miscellaneous, tenuous: 0.143338710362
obtainable, over-the-air: 0.0
discrete, tepid: 1.07790132521
constituted, occupational: 1.11339592036
broadest, expeditious: 1.87880939269
arming, arranged: 0.818892035515
optimum, quiet: 0.620838032047
added, neglected: 0.229311980453
identified, receptive: 0.938076765122
continuous, diverse: 1.29190350603
flexible, increased: 1.15943928553
divergent, infuriating: 1.48123757593
drier, sublime: 0.931145365894
killed, vulgar: 0.155165748723
scandalous, strained: 1.1147397837
traded, well-respected: 0.0
clara, unequivocal: -0.032864875009
ice-cold, perverse: 0.0
celebrities, emotive: 1.12375808418
comfy, required: 0.289170184337
deliberate, expressly: 1.52236995307
collective, phenomenal: 1.06639878586
disgusting, vacant: 0.995726972543
generated, mortal: 0.076073018776
justiciable, strained: 0.619571194202
certain, induced: 0.725645359707
clearly, provisional: 0.529695494891
defenseless, feeble: 2.43173867894
iucky, restful: 0.0
transitory, well-coordinated: 0.0
respect, unrestricted: 0.936373573024
abysmal, cardinal: 0.17009418697
diminished, first: 0.32770767556
crucial, reported: -0.377697913994
good-looking, suited: 0.0
additional, unattractive: 0.532455873927
compared, oriental: 0.45384209911
extensive, prolonged: 1.82225562046
fake, stylish: 0.359442249668
battered, informative: -0.503508603307
cloudy, scared: 1.58118716323
planning, slightly: -0.210831233151
related, seventh: -0.149593074943
fitting, utilized: 1.0352775311
enhancing, numerous: 0.659127294215
other, refined: 0.342110554702
greener, keen: 1.60968757928
ambitious, paramount: 0.414172964575
dirty, honored: 0.139670845589
dressed, geographically: -0.611840165411
afraid, tell: 2.62595228081
holy, steady: 0.598121535574
friendlier, per: 0.555120894121
conclusive, pervasive: 1.57193344687
grown, populous: 1.53119928415
blurry, pathetic: 2.23330339947
retrievable, serene: 0.626537735666
even, me: 1.29674169328
initially, loco: -0.043331719212
quiet, ruined: 1.27804514296
cost-efficient, scandalous: 0.0
active, inestimable: -0.195305165843
initial, promising: 0.976212010592
agreement, glowing: -0.14915146739
tense, widest: -0.261195091114
horrific, last-minute: 0.0
inter-linked, self-explanatory: 0
eventually, fruitless: 1.42723026603
extraneous, innovative: 0.240400226536
launching, synergistic: 0.54820690569
checked, closer: 0.795816563434
enhancement, us: 0.269051774198
non-discriminatory, spent: 0.0
alternate, few: 0.536002451718
puny, timelier: 0.030374183333
dreamy, state-owned: 0.0
single-ranked, willing: 0.0
enforceable, legal: 2.77115782572
hopeful, obliged: 1.17973215349
stable, underpaid: 0.477411347368
classified, handling: 1.51507073958
unworkable, well-filled: 0.0
helpless, magic: 1.15321180154
insolent, recognizing: 0.863072956452
assertive, only: 0.161036253224
irregular, modernized: 0.266613259954
amended, reiterate: 1.16838405376
seasick, unrealistic: 0.866161323387
afterwards, reckless: 0.572990246
just, quiet: 1.21808047579
annulled, specialized: -0.001548765422
harsh, reciprocal: 0.38561023164
hence, impenetrable: 0.629183557612
low, vice-chairman: 0.0
case, untapped: 0.037852313195
resolute, unemployed: 0.725940474651
antagonistic, immaterial: 1.42503347822
discriminatory, parched: 0.18439774291
gutsy, yes: 0.477962613253
application, perverse: -0.086246103868
dismissed, fundamental: 0.145933751242
extirpated, treaty: 2.81887356639
these, timed: 0.685164967009
poisonous, radiant: 1.05984638614
searchable, unavoidable: 1.1902370625
salient, terrified: 0.218951111288
problematical, unconvincing: 2.43104055775
educational, stylish: -0.086172503645
corrupt, tangible: 1.11644953243
considered, endemic: 1.05356659307
co-operation, sustained: 0.0
convenient, illusory: 1.00526494576
bare, foolish: 0.739672629932
special, tighter: 0.985288947113
elected, meager: 0.03483622434
careful, sonny: 0.60309690565
anyway, debatable: 2.1050208947
pure, supported: 0.355519202246
black, specific: 0.576138487697
up, wonderfui: 0.0
lately, self-explanatory: 0.0
cheery, fried: 2.0296451864
recurrent, short-term: 0.0
insulting, rational: 1.70006427955
missy, precise: -0.221026292822
sacrilegious, sparse: 1.48762902623
in-flight, problem: 0.0
comfortable, overwhelmed: 1.73396988918
canceled, readable: -0.653403523585
repealed, stylish: -0.667091498351
depraved, disappeared: 0.653724688341
answerable, liberated: 2.55604086603
skint, trippy: 2.03845662265
hotter, tentative: 0.217816395058
permitted, thereto: 2.14882162108
classic, medium-sized: 0.0
ethical, symbolic: 1.25451406892
insignificant, resident: 0.334060631888
imminent, thinner: 0.474768292352
manifest, timely: 0.445653206399
concerned, rewarding: 1.10492030972
apt, unsanitary: 0.991994166956
easy, withdrawn: -0.293502812536
opportune, overripe: 1.60563512279
derisory, unequivocal: 2.41556978642
stronger, wetter: 4.15428705533
accountability, better-iooking: 0.0
geek, well-served: 0.0
initially, ridiculus: -0.35901658323
inconsequential, underprivileged: 0.782741245676
brighter, humiliating: 0.384569288736
few, presented: -0.145388962807
afterwards, shitty: 1.02708897638
inefficient, smooth: 0.764928324936
bright, co-operate: 0.0
'sgoing, weirder: 0.0
defunct, unresolved: 1.84458766917
acknowledging, concrete: 0.306330386991
illusory, proportionate: 1.43926316027
embedded, repeating: 0.730543970259
on-going, tighter: 0.0
loose, time-consuming: 0.0
mistaken, need-to-know: 0.0
saved, secure: 1.57531328845
readyto, undesirable: 0.469099435979
exorbitant, illustrative: 0.712702526065
ill-conceived, poverty-stricken: 0
frequent, time-sensitive: 0.0
palatable, worse: 2.54872168361
move, senior: 0.722849911271
awestruck, probable: -0.289397970886
clear-cut, warranted: 0.0
flattering, unwise: 2.13204819884
deader, routine: 0.115973943289
n'tunderstand, unfair: 0.0
alternative, represented: 0.174175829786
forceful, grave: 1.39930949905
drenched, received: 0.26116171387
mainstream, wish: 0.226055415052
equipped, personal: 0.401965421663
elegant, loveable: 1.48786268388
barmy, nifty: 1.28542859859
last, lit: 0.516219166111
15-year-old, decent: 0.0
freaky, nigeria: 1.2661909796
elegante, well-done: 0
ail, disoriented: 0.370926704794
morbid, new: 0.25360493149
admitted, due: 0.818826422998
flexibly, northeastern: -0.179839459705
administered, quieter: -0.192118152971
six-year, th-that: 0
identical, unlawful: 1.13743582201
afresh, outside: 0.24214302114
belle, insensitive: 0.173667975458
antagonistic, confused: 2.77062253802
mortal, unjust: 1.87183255576
colder, expanding: 0.369008641777
mum, well-served: 0.0
estimated, woolly: -0.504781620311
mad, unsavory: 1.28260965839
funky, stress-related: 0.0
overall, taken: 0.867020435188
identical, verify: 1.59208923469
defective, fraudulent: 3.52479656285
a-okay, it: 0.0
humane, ubiquitous: 0.532099403772
deceased, thrilling: -0.418669808235
blind, infamous: 0.357927964298
confrontational, strongly: 0.923319895669
authoritative, goal: 0.042710578662
recognizing, unequal: 1.12864055155
diversified, understood: 1.23622704656
disappointed, glad: 4.68154856751
unpublished, unwholesome: 1.05996752138
christian, precious: 0.444455361176
agreement, interestedin: 0.0
certified, swearing: 0.520635033213
disappointed, obvious: 1.1260391469
come, unmistakable: 0.543829593985
severely, superfluous: 0.694922664235
endemic, specify: 0.500737259348
last-minute, muscovite: 0.0
fake, yesterday: 0.548429317313
distribution, suspected: 0.261996028411
paradoxical, upper: 0.143164354573
exempt, intended: 1.3079283105
populated, unresolved: 0.706542644603
dreadful, well-suited: 0.0
muted, vulgar: 1.79961399616
material, two-: 0.0
elementary, multiple: 0.588435833015
objective, sexy: 0.249515038449
financed, scant: -0.063413412313
genuinely, mama: 0.747578109497
seldom, white: 0.883720912382
distant, outside: 1.18975745843
pretend, seen: 1.06016064128
omnipresent, pitch-black: 0.0
saved, seriously: 0.089488605589
traded, unproductive: 1.04506503469
preferred, relatively: 1.08301696118
destabilizing, subsidized: 1.64083924902
preponderant, slippery: 0.955799700231
determining, hysterical: -0.637669155193
inaccurate, mere: 0.608159259689
decent, statutory: 0.505023996173
briiliant, subdued: 0.0
optional, steady: 0.455642111336
dismal, implemented: -0.004889949144
bored, discretionary: 0.583975746764
application, sinister: -0.210212629587
accelerating, relatively: 0.655733942284
dull, integrated: 0.155306650665
fools, social: 0.529482162535
booming, inconsequential: 0.136830527806
based, invalid: 0.900604493892
tougher, wrong: 1.59862086884
heaviest, remediated: 0.138038048097
happy, prolonged: 0.462493509535
absolute, well-controlled: 0.0
generally, unhelpful: 1.41694332954
bad-looking, functionally: 0.0
authentic, cinematography: 2.1907687282
ever-increasing, starved: 0.0
incongruous, justifiable: 2.49673170374
dummy, harder: 1.00293937697
latest, luke: -0.141407626899
elementary, lastly: 0.00782805642
regularly, sketchy: 0.407121274104
insufficient, quiet: 0.071101926681
hurt, thirsty: 1.61236757701
confident, erroneous: 0.30601985728
manifestly, tiring: 0.710434055997
bigger, definitive: 0.9136410775
hardworking, streamlined: 0.793135148446
daunting, fastest: 1.66744044257
determinative, seasick: -0.501032661369
as, real: 0.656887918466
exactly, tight: 0.745325364821
authoritative, self-sustainable: 0.0
insensitive, stable: 0.816464275479
tailor-made, third: 0.0
elite, heavier: 0.137905747282
invaluable, opposed: 0.0977104743
everything, terrific: 1.74771287923
co-dependent, dead-on: 0
below, concluded: -0.161161080728
following, poor: 0.196946256839
fewer, transnational: 0.806870034653
fucked-up, ridiculus: 0.0
know, skint: 1.78191847063
hither, otherwise: 1.8470042294
pleasing, possibly: 0.16303364317
innovative, regardless: 0.294307244346
developed, up: 0.035533910583
depraved, reversed: 0.69397736948
looser, retard: 1.49464047234
broad-based, clear-cut: 0
admissible, house-trained: 0.0
fresh, undesirable: 0.445691258087
energy-efficient, female: 0.0
-lnteresting, victorious: 0.0
all-embracing, better: 0.0
informal, well-organized: 0.0
indisposed, long-lived: 0.0
afraid, agreement: -0.462135312992
david, likable: 0.791670595822
corny, etc: 0.899242116747
flavorful, nuts: 1.68713984259
dormant, non-transparent: 0.0
cuter, hurt: 1.85001639468
advantaged, simple: 0.842462833127
mere, pursuant: 0.530684836308
aesthetic, extensible: 1.31849830099
positioned, specify: -0.160987304832
chilly, workable: 0.52975931268
history, obvious: 0.679161616907
discriminatory, fifty: 0.056040638884
courteous, pre-published: 0.0
fortunate, well-coordinated: 0.0
looking, unaffordable: 0.711611740216
disclosed, internal: 1.59568146946
affected, all-out: 0.0
fuzzy, well-reputed: 0.0
respectable, systemic: -0.230636834643
proud, youthful: 0.836034322805
all-important, luke: 0.0
self-executing, twenty: 0.0
other, resilient: 0.489804414334
nonexistent, understanding: 0.502131008241
fertile, prettier: 2.27431731273
cuter, excluded: 0.323376257777
innumerable, self-sufficient: 0.0
cleaner, unoccupied: 0.594625342667
gravest, unprotected: 1.18966383554
mimi, severely: -0.326945657891
dirty, untenable: 1.04686677094
noted, restrictive: 0.752179084807
manifest, regrettably: 1.24923913065
laborious, savage: 1.1764258051
