light, recognising: 0.0
clearer, scared: 1.04879545453
trite, wide-ranging: 0.0
best-known, unbiased: 0.0
happen, meaner: 0.980486347964
nice, transparency: 0.105070294139
combative, shitty: 0.155016306397
certain, defenseless: 0.709318446869
celebrated, unfathomable: 0.739631896668
depraved, overemotional: 3.0040223885
commended, hereby: 1.31193753922
non-binding, untrue: 0.0
gross, prescriptive: 0.856683612676
blessed, expedient: 0.473400656522
clearly, fraudulent: 0.181316118253
especially, inaccurate: 0.258060359225
average, geographically: 1.02452272954
cuter, gutsy: 1.12396488918
depraved, statewide: -0.011227018658
comprehensively, distressed: 1.09468308668
cher, manifestly: 1.11920675165
angry, unchangeable: 0.436554974959
intact, unfilled: 2.59768194459
adopted, in: 0.437402999126
disrespect, interested: 0.520956755811
bonnie, profitability: -0.684894647581
readable, superb: 1.45930396035
fulfilled, topic: 0.129688457738
muscovite, unspeakable: 0.54002340779
fullest, over-optimistic: 0.0
dissimilar, incidental: 1.97683909598
preferable, weighted: 1.13054420141
commitment, lastly: 0.854832160344
dubious, positioned: -0.341512347603
ageing, nutty: 0.0
miserable, understanding: -0.198478449472
powerful, vice-chair: 0.0
3rd, unattainable: -0.017386531239
sleepy, unified: 0.453936787678
alternative, thought-provoking: 0.0
minuscule, sounder: 0.353078994478
annually, arranged: 0.406745988405
deliberately, history: 0.31606429482
liberal, obnoxious: 2.13517614355
discriminatory, economically: 2.05451046609
faulty, loverly: 0.104875100467
elaborated, yourself: 0.064009740215
aware, sharper: 0.725932493432
smart, usual: 0.308403050112
generalized, unlucky: -0.033029442588
obtainable, up: -0.164426913001
executable, installed: 1.91452691873
no, official: 1.14821567369
ever-changing, someday: 0.0
settled, technically: 0.717817002856
absent-minded, non: 0.0
reinforcing, taller: 0.268433359089
fluid, inviolable: 0.723015699653
alright, state-run: 0.0
angry, served: -0.342290923936
dangerous, in-house: 0.0
pretentious, surprising: 1.60552575502
injurious, trite: 2.28835473526
agile, why: 0.236819600098
callous, spoilt: 0.0
cardinal, terse: 0.865354407459
modified, phenomenal: -0.313236539449
desperate, rash: 0.895848228908
delicate, migratory: 1.55217897692
basically, reduction: 0.327033459726
inconsistent, minimum: 0.599034253567
empowered, treatable: 1.43108045242
coordinated, special: 0.939698495567
mind-boggling, risky: 0.0
problematical, too: 1.27155638945
well-armed, yeah: 0.0
retail, say: 0.221014915761
radical, thinner: 0.647923870306
inferior, representative: 0.498708692017
asshole, double: 0.55372041111
determining, friendly: 0.095872122036
him, specified: 0.017682325948
insupportable, wide-ranging: 0.0
inaccurate, legality: 1.02055750159
miniscule, promising: 0.70563889518
'sgoing, historic: 0.0
effortless, working: 0.08073774771
course, together: 0.269004777151
meagre, nosey: 0
abolitionist, furious: 0.039721318359
graduate, keen: 0.764758578996
abundant, insane: 0.79004605519
mimi, strange: 0.593751307837
attractive, immaterial: 1.33176629867
busy, ioyal: 0.0
minute, viable: -0.02222559246
deeper, sooner: 2.90568413278
forgotten, uncommon: 1.42575792178
absent, anywhere: 0.880651221913
hooked, sensitive: 0.199010205622
transient, wiser: -0.184734267371
attainable, iovely: 0.0
included, mad: -0.172105973939
greatest, heterogeneous: 1.00325221539
beastly, silly: 2.07126308369
iate, inspiring: 0.0
anyway, valued: 0.052427681331
frustrating, wierd: 2.23079761081
hopeless, nearest: 1.01636393449
appealing, ill-conceived: 0.0
possible, underlying: 0.862767726029
freak, pro-choice: 0.0
burned, triple: 0.542186638058
efficient, momentary: -0.296134751875
coast, requested: -0.203985688023
contained, solid: 0.790398204732
rock, uniformed: 0.222207529193
least, untrue: 0.205602084332
launching, right-: 0.0
roisin, weighted: 0.0
necessary, tedious: 1.85810634207
functioning, scant: 0.099600292981
basically, supplementary: 0.226766714027
fluent, updated: -0.435223261769
statewide, tailor-made: 0.0
hiv-positive, schizo: 0.0
anonymous, twofold: 0.551642165271
grouchy, uncomplicated: 1.44056842855
shit, shortest: 0.489927521404
equally, objective: 0.612931984059
close, manufactured: 0.099751894577
solidarity, surprising: 0.178292731926
articulated, self-evident: 0.0
accessed, supplemental: 2.12630399832
deceptive, lackluster: 1.82505200781
patent, unattractive: 0.221559904524
livid, surprised: 4.00561109185
19, dope: 0.0
commenced, instructive: 0.86779031153
justifiable, pro-choice: 0.0
updated, watchful: 1.54944233309
anti-constitutional, latter: 0.0
contained, exhaustive: 1.74519523435
consolidated, task-oriented: 0.0
strained, through: 0.491046103972
intimate, meagre: 0.0
embedded, exactly: 0.03586423892
finished, unaffected: 0.167003936632
narrower, th-that: 0.0
sane, unaware: 0.925565494974
co-chairperson, irate: 0.0
simillar, welcomed: 0.066141280158
extirpated, harmful: 2.18107490758
insured, yellow: -0.31561615496
gonna, in-progress: 0.0
cozy, productive: 1.46131990853
salute, steady: 1.07739279689
immediately, transient: -0.035799365756
meaningless, unproductive: 3.65234030105
happier, smartest: 2.44935543504
preposterous, unequivocal: 1.92635335792
honourable, perplexing: 0.0
controlled, unlimited: 1.02359848038
broadest, needed: 0.579894648914
comercial, furthest: 0.281137892994
see-through, troublesome: 0.0
envious, patronizing: 2.5664951
ionely, proportionate: 0.0
fertile, luckier: 1.59354520953
disciplined, jumpy: 1.81082280997
broad, undeniable: 1.29056449071
enough, psycho: 0.240651886922
degrading, kosher: 0.630937165884
fraudulent, weirder: 0.770283407282
ageing, vacant: 0.0
armed, untenable: 0.756850760625
chilly, enabled: -0.177910692585
fascinating, now: 0.307925794876
information, innocents: 0.394989976752
circumneutral, drastic: 0.0
aroused, crazed: 1.62356321106
suddenly, wished: 0.571699698671
equal, interest: 0.618426400829
momentous, woolly: 1.23091024857
nervous, vocational: -0.192190888067
futile, intact: 1.51702633539
today, undemocratic: 0.082718432628
bare, compassionate: 0.228629619403
rigght, scheduled: 0.0
beastly, wait: 0.662808539886
encouraged, individualized: 1.29763463065
by, madness: 0.52499638898
arranged, barmy: 0.091780035273
careful, novel: 0.396365728834
culturally, exhilarating: 1.60251884185
gaunt, six-year: 0.0
elderly, given: 0.179026098873
-just, soothing: 0.0
genuine, pragmatic: 2.51235601419
constrained, healthier: 0.981819352713
grown, selected: 1.04150727756
incompatible, stellar: 0.282544519774
dope, ignorant: 2.12349922506
dead-on, thorough: 0.0
dim, off-the-record: 0.0
heavy-handed, holier: 0.0
cooperative, useable: 1.04084072912
clare, safest: -0.078801970131
cold, conscientious: 0.690533582932
arguable, over-optimistic: 0.0
accomplished, education: 0.793691319626
met, optimum: 0.233815694374
enriching, self-sustainable: 0.0
distressed, undeniable: -0.29459000539
outdated, overripe: 2.28844787409
deprived, thready: 0.579098028221
cleared, exactly: -0.037427962942
hinky, visible: 0.756077766294
cheesy, well-treated: 0.0
helpful, wretched: -0.022540135874
agreement, under-funded: 0.0
involved, sir: -0.099265688226
dynamic, up-to-date: 0.0
afresh, mature: 1.35023376188
foolproof, joyous: 0.961862735064
determinative, increasing: 0.735881362481
batty, migratory: 1.35025881556
everywhere, extensible: 0.231666366726
sore, variable: 0.993893951545
inestimable, squeamish: 0.208922179134
cowardly, only: 0.633331906592
launched, relatively: 0.82532073659
briefly, strong: 0.436113175376
casual, copacetic: 1.25719839884
broader, erroneous: 0.637569094693
adorable, outside: 0.020224269789
often, uh-huh: 0.0
appropriate, shocked: 0.373292901488
proportionate, self-governed: 0.0
ancient, celebrated: 0.882591941617
brutal, entertaining: 1.54225709948
benign, well-filled: 0.0
advantaged, disastrous: 1.00395573201
necessary, shut: 0.577258106717
anxious, critical: 1.61712509036
everywhere, urgent: 1.01018776863
inexhaustible, targeted: -0.416345895826
polite, undecided: 0.5239780933
distant, southwestern: 0.862178086608
chaotic, notably: 0.619049209749
resident, thanks: -0.104661081423
sovereign, tiring: 0.173112490153
mandatory, nigeria: 0.127810283838
edible, extraordinary: 0.801857241852
fairly, representativeness: 0.884842949005
planning, surreal: 0.334332467814
hereto, irritable: 1.15399382093
all-inclusive, ruthless: 0.0
induced, well-developed: 0.0
selfish, severe: 0.811636495399
generalized, industrial: 1.21938514086
dummy, unheard-of: 0.0
elegante, forthwith: 0.0
nosy, over-the-air: 0.0
peachy, resident: 0.373639728679
insupportable, unfathomable: 3.94905145171
adamant, fuzzy: 0.434057618124
iucky, together: 0.0
greener, naive: 0.46243602473
handed, snappy: 0.982912362275
patentable, slender: 0.104598583161
elite, illiquid: 0.692025952383
jack, shaun: 2.10115672115
experienced, hither: -0.039985143367
displaced, psyched: 0.867249927163
crucial, wicked: 0.318146440533
sell, sympathetic: 0.409288685422
east, rapidly: 0.819055306715
reasoned, urgently: 0.737974932639
overwhelming, talented: 0.685741317855
democratic, interactive: 0.720884700491
non-binding, terminated: 0.0
sizable, still: 1.01152186505
crude, nessessary: 0.0
distinctive, wacko: 0.840559326205
almost, good: 0.367444399211
academic, overheard: -0.543822632254
enhancing, issue: 0.826777419573
cooler, skilled: 0.212184440929
beloved, luminous: 1.34566879374
blurry, north-west: 0.0
far-ranging, set: 0.0
published, standing: -0.140310034561
evident, long-winded: 0.0
minor, unrelated: 2.72443006447
asian, inter-linked: 0.0
doctor, short-lived: 0.0
automatic, cruellest: 0.791747081305
spent, wiser: 0.874993260249
neighbours, recommendable: 0.0
nobler, than: 2.59186963125
briefly, cost-shared: 0.0
schizo, so-called: 0.0
cited, try: -0.075166364623
bravest, round: 1.11684802863
belligerent, contained: 0.436943737152
arbitrary, unjustifiable: 5.00603574314
many, sleepy: 0.271288258369
antagonistic, pre-established: 0.0
beloved, thriving: 1.77928217349
preferred, well-coordinated: 0.0
exact, granted: 0.300767784551
jittery, narrow: 0.645936116788
irregular, jumpy: 1.57487324622
aroused, horrific: 0.269112098851
objective, wounded: 0.740938975269
american, especiaily: 0.0
interestedin, mainly: 0.0
blatant, grotesque: 3.63108385152
correct, prescriptive: 2.05283990597
high-availability, underlying: 0.0
ashamed, unlocked: 1.38101821187
associated, naturally: 0.720578967079
above-board, vicious: 0.0
next, next: 4.23335893092
agreed-upon, poverty-stricken: 0
alike, shared: 1.2012350298
influential, unlikely: 1.82537577561
disoriented, principale: 0.078453237416
all-inclusive, net: 0.0
iegitimate, sicker: 0.0
intimidating, sponsored: 0.202756071537
concrete, unprejudiced: 0.625124651184
exceptionally, fiine: 0.0
bizarre, flagrant: 2.51488719241
self-financing, shortest: 0.0
beastly, tougher: 1.23938900227
assertive, unbecoming: 2.48194465286
inadequate, seen: -0.049386235466
poorer, sizeable: 1.28874955923
indian, softer: 0.072959272065
tasteful, vague: 1.59455307533
coherent, observed: 0.544003331129
determining, testy: 0.709572363232
divided, nigh: 0.653283148433
doctor, small: 0.255323603394
around, cancelled: 0.0
discretionary, ineffectual: 1.54242301085
exclusive, sexy: 1.05823802551
executory, intentional: 2.05829169726
divergent, dormant: 1.24277716213
lucrative, sadder: 1.39493658598
commensurate, tenacious: 0.205316607273
bad-ass, yeah: 0.0
cherry, shaun: 1.19843078504
non-compensatory, risky: 0.0
craze, dependent: 0.464170435186
accountable, user-friendly: 0.0
specified, utopian: 0.470949408096
inflexible, legit: 0.240983799664
goal, well-designed: 0.0
afresh, more: 0.158986782442
dainty, improved: -0.027401969456
ageing, hungry: 0.0
powerless, scarcer: 1.39058970767
cherry, david: 1.4234832124
invariable, time-sensitive: 0.0
naturalistic, smooth: 2.03913853886
mla, worldwide: -0.067320971087
screwed, well-managed: 0.0
lovely, mandatory: -0.144051694402
elite, lastly: 0.247534071759
frustrated, high-availability: 0.0
competitive, forlorn: 0.36281749843
bare, sufficiently: 0.417022984449
jurisdictional, lastly: 0.15594564251
laudable, thus: 0.957403521843
dirtier, well-trained: 0.0
addition, essentially: 0.656552384107
juicy, stark: 1.39203252882
far-ranging, finicky: 0.0
essential, pursuant: 1.4977443215
hands-on, self-sufficient: 0
novel, numerous: 0.032145073536
acceptable, secondly: 1.43931466544
potent, tasty: 2.43138223261
educational, sad: 1.00996558091
frustrating, sensible: 1.72474515468
imported, patchy: 0.192378544043
queer, seriously: 0.442788834933
called, interest: -0.139783990081
long, respectable: 0.734232050937
liquid, old-timer: 0.0
adamant, unmistakable: 1.64853437321
counterproductive, disclosed: 0.344629785007
freely, impenetrable: 1.44969864678
bizarre, unclear: 2.07484790791
every, thready: 0.159365043167
humane, interesting: 1.00218082265
spectacular, such: 0.398520578422
medical, per: 0.459731952798
memorable, value: 0.400589067114
determinative, rich: 1.15544540814
across-the-board, integral: 0.0
open-minded, reason: 0.0
-mentioned, however: 0.0
bureaucratic, verify: 0.404835450888
individualized, open: 0.164758550356
sizeable, smallest: 2.72042743613
audacious, north-west: 0.0
mideast, partially: 0.201950725252
hateful, upright: 0.50928994569
expanding, herein: 0.088727870227
commensurate, small: 0.761019244027
dodgy, of: 0.0
regretful, stay: 0.305174349389
goal, interested: 0.588224937182
interestedin, planned: 0.0
casual, enabled: 0.243032419815
malicious, start: 0.063910036545
accelerated, cautious: 1.52247421362
hairy, modernizing: -0.076287905055
elle, mobile: -0.095108680962
evening, naughty: 0.503434026704
aggravated, lead: 1.16573002388
defective, ju: -0.217962265976
calculated, implementable: 1.98416539232
ghastly, widespread: 0.987736015425
constituted, elsewhere: -0.46234541151
groundless, irreconcilable: 2.72745767262
absolute, worse: 0.887359471544
immature, timid: 3.7973179603
defensible, luminous: 0.598595706456
moderate, spoilt: 0.0
poisonous, shorter: -0.027053049733
absent, interlinked: 0.363399026145
foolproof, lead: 0.030081098253
agreed-upon, twofold: 0.0
freest, yourself: 1.09608885347
kidding, vigilant: 2.15006728867
orderly, turbulent: 2.18680713894
observant, wetter: 0.605426864754
awareness-raising, choosy: 0.0
enriching, interlinked: 1.38179700813
idiots, impermissible: 0.233812846327
determining, insurmountable: 0.827115071649
overly-high, reduction: 0.0
confidential, determinant: 0.074819020345
freezing, prejudicial: -0.692514693178
actually, tepid: 0.71114043235
briefly, predominantly: 0.695906615472
considerable, starker: 2.19199462335
maintained, old-timer: 0.0
detailed, theoretical: 1.6260946279
persuaded, smallest: 0.076684452819
supra, tempting: 0.794893072816
contentious, easiest: 2.06116056842
drier, honest: 0.413664774309
overworked, scant: 1.15732536065
engaged, hourly: 0.302847642519
latest, proscribed: -0.310532479825
apposite, deserted: 1.24513744757
female, forthcoming: 0.250418030273
almighty, closer: 0.706981358385
fertile, th-that: 0.0
co-chairperson, need-to-know: 0
erroneous, open-minded: 0.0
seldom, tragic: 0.441001375633
presented, rigght: 0.0
disappointed, instructive: 1.26423255956
barmy, respected: 1.18001178993
beautifui, compared: 0.0
equally, pluralistic: 0.917429378248
renowned, weakest: 0.628937160038
atrocious, commenced: 0.554941558282
stuffed, topical: 0.385450046801
ill-founded, preliminary: 0.0
cool, iike: 0.0
factored, psycho: 0.668344950272
deadly, moister: 1.09959926962
busier, glowing: 0.008482885576
articulated, reasoned: 2.68012229497
distressed, midget: 0.178213534335
medium-sized, uneconomic: 0.0
freaky, small: 0.64481287599
bullshit, holy: 1.21877225149
repeated, some: 0.74202161215
lighter, sovereign: -0.982503785527
achievable, turned: -0.029610372865
intentionally, panicky: 0.909657744013
purty, time: 0.094162046127
exquisite, south-east: 0.0
fairest, injured: 0.392092667848
amiss, genuine: 1.9353279668
exhaustive, hon: 1.3316465888
infamous, looking: -0.428073527418
chubby, distant: 1.15339393606
awesome, substandard: 0.830520941801
macabre, tolerable: 1.5774268772
case, crafty: 0.353558165598
abusive, frustrated: 2.4707473858
modified, permitted: 1.95149290866
met, pitch-dark: 0.0
anywhere, preferable: 1.23146970142
facilitated, provided: 2.1566539638
breathe, ravenous: 0.967229003444
progress, two-fold: 0.0
occupational, thanan: 0.0
determining, financed: 0.471542605033
bright, wing: 0.509297960757
problem, rare: 0.450767518186
adaptable, inconvenient: 1.78177409089
frankenstein, suspicious: -0.056365908249
colder, similar: 1.18553149281
kidding, liked: 2.79878604369
magnificent, unfair: 0.98402643556
droll, necessarily: 0.523601880734
overambitious, suspected: -0.001577919094
participants, tolerable: 0.76095172494
articulated, elite: 0.203287999579
confused, mere: 0.578030400611
matched, regular: 0.736777042489
beastly, justifiable: 1.6707715086
cheapest, easiest: 5.2063674714
junior, rooted: 0.032705962008
responsible, seductive: 0.000326579835
incalculable, viewable: 0.414463837883
bull, intense: 0.254216296714
eco-friendly, school: 0.0
aggravating, widespread: 1.17625125878
sir, uncertain: 0.293394701586
mistreated, right: 0.343625436556
certifiable, faulty: 1.0310348767
managed, mechanical: 0.460055646472
completed, least: 0.655368812778
minimal, tardy: 1.25536576565
fifteen, unhealthy: 0.050873858553
fewer, tolerable: 1.28093205233
cinematography, improvement: 0.656488682222
scandalous, us: 0.485637900442
exactly, pre-established: 0.0
frightful, inter-dependent: 0.0
disorientated, immaculate: 1.21076906026
cattled, distinctive: 0.0
accepted, coherent: 0.587684948113
axiomatic, immeasurable: 1.84408913435
secondly, uniform: 0.453201969783
sick, sultry: 0.358962284205
immature, pluralistic: 1.9684759751
systemic, tempting: 0.616854219743
initial, thanks: 0.419285952439
action-oriented, democratic: 0.0
3rd, well-formed: 0.0
below, silly: 0.862588847339
associated, giddy: 0.194128792515
above-mentioned, pleasant: 0.0
apace, folks: 0.370048129332
instable, intended: 0.093890216082
liberated, predominantly: 0.941524915002
upfront, willing: 1.71544116415
uncomplicated, unnerving: 1.11987925353
heavy, worded: -0.006837738315
challenging, commitment: 1.27350992456
pro-choice, up-to-date: 0
allright, extensible: 0.712309582935
multiple, therefore: 0.39563372529
justified, specific: 0.543215035389
complimentary, nosy: 0.313324537116
legally, unqualified: 1.86269900346
non-exclusive, stifling: 0.0
decisive, frigid: 0.900277311981
comprehensively, wreckable: 0.0
some, stiff: 0.98980969434
better-educated, convinced: 0.0
executory, long-lived: 0.0
constructive, determining: 1.49270397123
mere, onerous: 0.853277474093
peripheral, world-wide: 0.0
tonight, well-written: 0.0
dreamy, pathetic: 1.67820191125
mobile, pitch-dark: 0.0
comparable, constrained: 1.83280537043
fucked-up, groovy: 0.0
comforting, generous: 1.84210892415
daft, deep-rooted: 0.0
rapid, urgently: 1.33161781831
iil, treacherous: 0.0
drunken, thus: 0.037976127847
grumpy, salute: 1.3318611908
extinct, liberal: 0.918232601018
naive, roll: 0.150329664099
hinky, large: 0.313351492393
divergent, legibly: 0.647283692586
acceptable, follows: 0.737271036756
broadest, rash: 0.368030016305
maximum, results-oriented: 0.0
leave, life-threatening: 0.0
perplexing, these: 0.698290728781
-me, liquid: 0.0
encompassing, profitable: 0.675279208268
better-educated, self-reliant: 0
sincere, slender: 0.781639656973
focussed, reliable: 1.37949933598
deserted, unappy: 0.0
fiine, started: 0.0
disgraceful, terminated: 1.24476879618
prominent, sketchy: 1.10544733582
intimate, nearest: 0.103551562386
extraneous, smallest: 0.349845838868
cranky, wide-ranging: 0.0
losin, thought-out: 0.0
afterwards, determinative: 0.794491806906
ever-increasing, fiine: 0
normally, silly: 0.904144232982
business-friendly, sacred: 0.0
discreet, first-hand: 0.0
distant, enriching: 0.484902391164
motherfucker, supreme: 0.58088449804
persuasive, say: 1.18993527604
callous, frightening: 2.81287563417
determinative, multi-threaded: 0.0
agreed, simple: 0.627885357973
explained, payable: 0.392069489086
addition, facilitated: 0.743179016708
s-sorry, wicked: 0.0
legendary, off-putting: 0.0
outstanding, tailor-made: 0.0
fragile, tolerable: 1.29455187741
correct, hereto: 0.257382265065
absolutely, fairer: 0.863676128293
devastating, just: 0.566841929278
unbelievable, uptown: 0.482014906744
bloodied, clean: 1.82979296589
improper, level: 0.170233584688
inestimable, severe: 1.67138661315
across-the-board, willing: 0.0
technology-neutral, unnatural: 0.0
compared, unambiguous: 0.617549727336
sophisticated, win: 0.173367276458
cruel, topical: 0.832075394587
largest, secretive: 1.40476592545
advantaged, monumental: 0.038452941439
arduous, sinister: 0.462444657315
adverse, possible: 0.819020991847
terrifying, unexpected: 2.02453152088
nineteen, tall: 0.979620673622
contemptible, self-contained: 0.0
underdeveloped, well-coordinated: 0.0
eager, undeniable: 1.36872556812
equitable, freak: -0.471981671255
dispersal, laudable: 0.618402824853
compassionate, more: 0.980034028257
managed, vigorous: 0.101069459908
immoral, pretentious: 2.1264654928
alia, rock-solid: 0.0
unabated, unaffordable: 2.48886649998
delusional, gratuitous: 2.30087719638
awareness-raising, dorky: 0.0
afresh, matched: 0.320546342588
crazed, southeast: 0.778048655963
already, anomalous: 0.268699870945
cheaper, enrolled: 0.296409622912
beautiful, jolly: 2.00857536986
psychogenic, well-prepared: 0.0
total, unprofitable: 0.591239193494
expanded, full: 1.82353351737
cognizant, harsh: 1.71399142069
contestable, justiciable: 4.06309512774
coarser, orderly: 1.01731074804
all-out, selfevident: 0
inclusive, random: 0.688690402589
first-hand, terrorized: 0.0
amazed, effective: 0.059267486357
complicit, serious: 1.32967935685
ill-treated, thought-out: 0
dorky, threaded: 1.01380789814
sealed, upright: 1.66680661351
plentiful, satisfied: 0.840759780434
regular, vice-chair: 0.0
grown-up, livid: 0.0
fifty, opportunity: 0.532716594074
unchangeable, unsatisfactory: 2.23832164998
geographically, likable: 1.47270230702
mostly, unacceptable: 0.199104598735
important, sovereign: 0.799011234991
indebted, relieved: 2.39710332145
corresponding, pushy: -0.556738620315
fascinating, terminated: -0.139630493502
improving, poorer: 2.31136782027
female, mandatory: 0.786618975342
incompetent, pursuant: 0.976532030593
homesick, short-sighted: 0.0
laudable, topic: 0.833448677152
co-financing, irrelevant: 0.0
sweetheart, thick: 0.407065443102
advised, weil: 0.363461731023
equivocal, finally: 0.061548430249
defective, ecstatic: -0.197095885665
barmy, pre-established: 0.0
assertive, efficient: 2.54400988459
careful, seen: 0.842610908268
non-exhaustive, syrupy: 0.0
hostile, suspect: 0.446904332102
protected, salutary: 0.853073088145
perfectly, unjust: 0.838402533619
appalling, feasible: 0.649886186465
automatic, legal: 0.276324918133
amusing, believable: 4.34089164274
blinded, open: 0.368671503114
reachable, wider: 0.718021348552
actual, rebatable: 0.0
fearful, significant: 0.679530647532
grievous, unmistakable: 1.79626148579
dummy, hands-on: 0.0
intended, meagre: 0.0
crazed, strained: 0.388069229505
e.g., unnecessary: 0.0
indecent, unseen: 1.20584472267
embarrassed, inviolable: 0.941950017472
sluggish, spectacular: 1.07704579268
ensure, government-owned: 0.0
baseless, everybody: 0.952590659153
dying, idiot: 1.06356698997
armored, well-organized: 0.0
apart, bottled: 0.087438634722
highest, unprotected: 0.596330444265
co-funding, happier: 0.0
frigid, lookin: 1.12057851959
oversensitive, youngest: 1.2433780002
realistic, steady: 1.21331373481
passionate, worrying: 1.05722480128
depressing, uneconomical: 2.37105923652
daily, systematic: 1.28904357446
drenched, perpendicular: 1.19282572969
clean, unbelievable: 0.835649094669
frankenstein, wing: 0.549886225098
high, ill: 0.702527896635
immediate, ridiculous: 0.457958733863
mama, often: 0.710980125335
flat, reassuring: 0.714672192704
scandalous, self-reliant: 0.0
immoral, unanimously: 1.33492759048
automated, thereto: 0.485406773564
inconspicuous, surer: 0.880127791099
action-oriented, hideous: 0.0
darker, problematical: 2.29395312791
solidarity, sophisticated: 0.003749336353
placed, woken: 0.812449732063
locked, populated: 0.585132740173
definite, majeure: 0.317322558067
first-hand, inescapable: 0.0
across-the-board, smokin: 0.0
cherry, panicked: 0.140992098078
bygones, topic: 1.63200124345
sharp, worldwide: 0.334450717818
dim, unfavourable: 0.0
ordinary, psychotic: 0.68575657344
indefensible, perplexed: 2.81155866309
earlier, violent: 0.588401102016
mere, suitable: 0.301999510227
explosive, lighter: 2.01039234729
economical, unaltered: 0.95163831914
ago, shocked: 1.09202273773
distressing, underlying: 0.935272187448
dynamite, humiliated: 0.376998217515
breathe, interwoven: 1.67030691488
fourteen, minimum: 1.50136096539
incredible, suspected: -0.008103905203
idiot, illogical: 2.44626370898
appropriate, wary: 0.404002147328
hungry, marked: -0.089433082709
gloomy, organized: 0.246670404125
justified, wished: 0.475835399892
comprende, intentional: 0.703869433256
conspicuous, fair-minded: 0.0
eleven, ruthless: 0.465845155815
commended, contemporary: 0.273752415406
frustrating, suspicious: 1.81412846592
single, understanding: 0.039448693369
fourteen, supplemental: 0.467482787425
already, reliable: 0.394821523308
bullshit, favoured: 0.0
becoming, sketchy: 0.428424641564
beastly, deceased: 0.530156151928
admitted, tabled: 1.45823554636
courteous, rash: 0.982923047588
distinctive, synergistic: 2.78512993081
now, objectionable: 0.393021463764
inter-connected, rogue: 0.0
affluent, eager: 1.36984885041
agreed, unhurt: 0.771558448286
foreverything, understood: 0.0
appreciated, doing: 1.34336850707
human, overwhelming: 0.692061531354
rigght, staff: 0.0
sociable, submitted: -0.147553871968
sufficiently, telling: 0.35623148785
barmy, scared: 2.00871631877
dangerous, unconditional: 0.883931142149
him, soothing: 0.557961866807
distinguished, executable: 0.357968633667
economically, weird: -0.075343880262
participants, refreshing: 0.490810304304
innovative, violent: 0.413274638079
non-specific, smug: 0.0
odd, shot: 0.495472046516
amazed, cloudy: 0.878922085977
chosen, expanded: 1.44143451949
factored, restrictive: 0.668613275394
enlarged, helpless: 0.229246034428
luck, practice-oriented: 0.0
clarify, desperate: 0.470104249672
disrespectful, weii: 0.0
drawn-out, original: 0.0
moister, reckless: -0.178051413075
high-quality, lovelier: 0.0
amiss, princess: 0.378015676451
iike, mimi: 0.0
l, vigilant: 0.52463714638
fitting, fulfilled: 1.4700283179
compassionate, cowardly: 3.28061570786
attainable, lean: 1.29317746499
mid-, tremendous: 0.0
presented, rationalized: 0.690775024685
atrocious, secretive: 0.913705034103
dense, emotive: 2.36171648457
anti-constitutional, belated: 0.0
omnipresent, tenuous: 2.1477084309
authorised, dysfunctional: 0.0
hasty, understood: 0.470584597864
illicit, unspecified: 1.72798906451
celebrated, hour: -0.198726913077
further, indispensable: 0.309150462405
-surprised, influential: 0.0
ggood, intricate: 0.0
flavorful, zesty: 7.15221326549
charmed, elle: 0.298688452314
but, well-controlled: 0.0
exhaustive, unaware: 0.391075062154
commitment, joyful: 0.865970620733
chilly, magnificent: 1.97479380142
extinct, fourteen: 0.703771128464
costeffective, displaced: 0.432412136469
brightest, inappropriate: 0.355461893085
brainless, inconsequential: 3.02073229464
diverse, knackered: -0.05349733917
better-educated, bravest: 0.0
magnificent, stark: 2.12488010719
patent, protracted: 1.15887189768
far-ranging, someday: 0.0
closest, pluralistic: -0.132173835234
embarrassing, emerged: 0.769373808922
kiddo, psychotic: 1.350750825
patient, unspoiled: 0.542282274136
long, non-exclusive: 0.0
traded, unpublished: -0.297542210663
sensible, sole: 0.91381297036
immediately, pro-poor: 0.0
independent, onerous: 1.13522731845
alright, short-lived: 0.0
precise, usual: 0.98562566589
forthwith, inconclusive: -0.311678420765
importantly, polluting: 0.964988433831
unproblematic, unsuccessful: 1.52681817539
admirable, salutary: 2.50962796117
sincerely, unclear: -0.154103623552
undesirable, wrongful: 2.26158224795
wanna, white: 0.909382901954
indecent, patentable: 2.66686197351
bothersome, ungrounded: 0.940014109122
disastrous, ecological: 1.59437396687
heart-warming, pretentious: 0.0
candid, diseased: 0.487033357344
dope, tighter: 1.40471723895
happened, idle: 0.486764426816
celebrities, rotten: 0.097833802188
clever, sympathetic: 1.88141748068
dummy, precarious: -0.197377967726
modified, right-handed: 0.0
despicable, now: 0.290174640046
multifaceted, physical: 1.84508752581
mindful, planned: 0.342666758515
surely, wing: 0.257892667794
firm, impressive: 0.754801138039
normally, yellow: 0.881208995331
black, complete: 0.221875001294
north-west, supplementary: 0.0
costlier, socio-economically: 0.0
retail, unthinkable: 0.125566381315
lazy, sufficiently: 1.04727392072
risky, surely: 0.288562391134
anticipated, obnoxious: 0.247912429305
lovely, unforeseeable: 0.110054812978
required, simillar: 0.217663995974
serious, wished: 0.304537298181
decided, try: 1.90818032569
high, non-exclusive: 0.0
freaky, lifelong: 0.890586729739
disabled, unimaginable: 0.807585207735
grim, two-pronged: 0.0
facilitated, knowledgeable: 1.26169663876
permanently, soaring: 0.183624593829
