mla, welcome: -0.208809581378
enormously, parched: 0.174276194921
orderable, risky: -0.500945658409
incomprehensible, inoperable: 1.43884617373
application, integral: 0.729559931387
education, safest: 0.53791639141
at, unwholesome: 0.241395197178
newsworthy, unprecedented: 1.09259537801
crazed, inactive: -0.125991714181
freaky, unreal: 3.67668297648
bro, engagement: 0.540346760848
admitted, co-financed: 0.0
aesthetic, supplementary: -0.000726008916
sovereign, well-controlled: 0.0
overpriced, tight: 0.713826013855
estimated, off-site: 0.0
present, self-conscious: 0.0
dynamic, mission-critical: 0.0
cost-effectiveness, reasoned: 0.0
cited, triple: 0.000680952406
dead-on, opening-up: 0
muchfor, southwestern: 0.0
distinguishable, spotless: 1.69939934201
foreverything, laudable: 0.0
lesser, magnificent: 0.832909747168
antagonistic, presumptuous: 2.40251996442
deader, well-developed: 0.0
six-year, valid: 0.0
conspicuous, incomplete: 0.587681559312
delay, lately: 0.092557069251
boring, scattered: 1.04156479168
distasteful, prescriptive: 1.44899686256
charmed, excluded: 0.857416288076
handled, leave: 0.383976432961
induced, singular: 0.535221463698
lye, privileged: -1.16183610023
kiddo, transparency: 0.313629078183
black, upper: 1.30764046805
endangered, everywhere: 0.638487757601
cher, handicapped: 0.169763056053
meager, payable: 0.66707084974
antsy, controversial: 0.689700114463
ungrounded, unwise: 3.21520459113
marine, periodic: 0.626161668873
possibly, strained: 0.567370646
close, constructive: 1.0566351999
berserk, stillborn: 0.69448652397
keen, past: -0.078325475295
loco, thin: 0.448976271223
diverse, frigid: 1.2279635906
free-standing, restless: 0.0
engagement, unavoidable: 0.105045559464
exact, well-reputed: 0.0
compact, upright: 2.06080612411
ioaded, yourself: 0.0
outside, wise: 0.321097402757
missing, sexy: 0.236248196392
brain-dead, horrid: 0.0
critical, predominantly: 0.741947029227
negligeable, now: 0.0
around, proportionate: -0.023459154199
actively, cautious: 1.8878578224
obliged, subtle: 0.209723570092
complicit, lethal: 1.00813632989
dickish, meticulous: 0.741260535414
counter-productive, volatile: 0.0
foolish, nearest: 0.838262773706
barmy, duty-bound: 0.0
huh, self-sustaining: 0.0
disrespect, korea: 0.62755151544
insignificant, possible: 0.980246042303
blunt, many: 0.473836767309
sacred, screwy: 1.514765511
silent, stranger: 0.860256640187
ambiguous, omnibus: 1.42385749971
african, undesirable: 1.16391172176
boring, ravishing: 1.86782740565
astonishing, exquisite: 3.52423971182
happening, interest: 1.06754570216
american, nasty: 1.13677412588
cruellest, fancy: 1.62234920097
dying, sketchy: 0.935029140218
incomplete, questionable: 3.54064635975
rusty, supreme: 0.423387540211
state-funded, transient: 0.0
hereby, stupid-looking: 0.0
griet, sleeping: 0.0
fast-growing, mightier: 0.0
cautious, willing: 1.93781927815
beloved, tolerable: 0.532819023953
adamant, misguided: 1.59648686445
cleanest, stifling: 0.63169629401
psychological, though: 0.595192731656
else, favourable: 0.0
easier, patience: 1.40261706788
easiest, punchy: 0.747314871494
compact, futile: -0.288352247463
re-established, unfettered: 0.0
confusing, returned: -0.449719665953
crystal-clear, goal: 0.0
amazing, instructive: 2.17201322947
fundamental, grievous: 2.23686976475
legal, superior: 0.501506249954
heaviest, missy: 0.48784311951
sinister, spent: -0.068174330445
weighted, well-trained: 0.0
beastly, competitive: 1.06820481745
filed, helpful: 0.098137569475
export-ready, invaluable: 0.0
spaced, uncontroversial: 2.46997749698
prompt, well-written: 0.0
gloomy, onboard: -0.260593775304
however, unfortunately: 1.41483674406
blatant, creative: 1.19682377106
enjoyable, pervasive: 1.17696506993
advanced, recent: 0.394488155417
emblematic, missingg: 0.0
helpless, seldom: 1.46233331824
updated, well-behaved: 0.0
repeating, steadfast: 1.64690144006
compact, grieved: 0.147685783396
challenges, impenetrable: 0.154005477724
grimmer, latter: 1.26102526157
contained, self-aware: 0.0
shifty, thirteen: -0.02468592584
raison, rarely: 0.611750896562
obtainable, virtually: 0.893624760149
automated, jack: 0.860061696847
implemented, suited: 0.789330583479
long-standing, parallel: 0.0
ideally, southwestern: -0.050658872792
normal, undetectable: 2.47736665432
held, perverse: -0.070412054998
nineteen, widening: -0.32586828174
adorable, overworked: 1.51894347852
official, terse: 1.74506965013
elegant, handy: 1.799915248
authorised, thirsty: 0.0
laudable, somewhat: 1.29534510008
grisly, multi-threaded: 0.0
moister, preceding: 0.442589315825
handy, technology-neutral: 0.0
improper, unattainable: 0.613767227174
undemocratic, uneconomical: 2.93445431187
bitter, instructive: 1.96783564614
connected, here: 0.341292747875
documented, home: 0.130230728061
compatible, ephemeral: -0.177327594594
own, represented: 0.179393432187
anonymous, liked: 0.334528679577
grumpy, incomprehensible: 1.63172574226
serene, unspoiled: 5.39632833214
impossible, severe: 1.0738056364
phat, shaking: 0.622393677235
keen, okey-dokey: 0.0
main, multi-layered: 0.0
maximum, simple: 0.515059155281
concrete, time: 0.249709258284
readyto, repugnant: 0.250000402432
accessed, clever: 0.557947354789
executed, hurry: 0.537648536814
domestic, succinct: 0.16483690365
problematic, unsatisfactory: 3.51936774901
corresponding, repeated: 1.06146123336
obliged, yeah: 0.556930193612
eccentric, lighter: 0.288738524655
midget, receivable: 0.452981415741
practically, probably: 1.04289069704
problematical, u.s.: 0.0
bull, timelier: 0.308452232725
contained, enlarged: 0.7704461068
critical, ice-cold: 0.0
abolitionist, unacceptable: 0.486326128057
mad, submitted: 0.063920167413
certifiable, rehearse: 0.073220691535
corresponding, traded: 1.08281870266
rehearse, revised: 0.7423418825
genuinely, hotter: 0.280522214703
conflicting, customized: 1.63134419275
foxy, mla: 0.687587090079
aggrieved, debate: 0.50062628614
cold-rolled, delayed: 0.0
archaic, loud: 0.893189964887
perplexing, surer: 0.945864073355
interesting, resilient: 1.59148896819
deposited, insatiable: 0.301180464835
burned, greatest: 0.51222705574
separate, three: 1.82684608328
based, resolute: 0.178700664937
incapable, worthwhile: 1.72585221757
occupational, quieter: 0.114777882208
justified, recent: 0.647263946217
reliable, unique: 1.19987877699
miserable, science-based: 0.0
beautiful, unknown: 0.265372554019
multi-dimensional, unsure: 0.0
instrumental, mysterious: 0.316166983474
fuller, scaleable: 0.959242651552
hypersensitive, meaningless: 1.47014064213
brighter, irritating: 0.561551101782
costeffective, secret: -0.08993452633
korea, unremarkable: -0.08291716015
out, unfortunate: 0.773968170591
displacement, oldest: -0.218016449838
drawn-out, touching: 0.0
guilty, wrong: 2.69109415467
nathan, sing: 1.47529888773
powerful, undecided: -0.206456079073
brain-dead, vulgar: 0.0
action-oriented, lonely: 0.0
illogical, integrating: 0.338331762504
awol, guaranteed: 0.19722081298
for, than: 0.900215593837
commercial, tricky: 0.165241429874
dumber, numerous: 0.17510064666
technically, together: 0.331154033647
flame-retardant, intertwined: 0.0
defenseless, unitary: 0.794418452527
opening-up, thankyou: 0.0
slimmer, unofficial: 0.914106069364
comprehensively, sole: 0.43318967457
required, standard: 1.88242262428
efficacy, warranted: 2.14987017585
technological, well-developed: 0.0
infrequent, volatile: 2.09409131572
juvenile, petite: 1.09885426605
biggest, elected: -0.014734754293
fatter, work: 0.472390099815
democratically, world-wide: 0.0
furthermore, opportunity: 0.730369439176
over-the-air, slightly: 0.0
confrontational, renowned: 0.666940921267
resolved, self-supporting: 0.0
consequential, eleven: 0.421617222463
evident, sweetheart: -0.524523978437
by, meticulous: 0.555822611159
resolute, scrumptious: 0.843124462441
disciplined, focused: 3.02121702769
sloppy, vulgar: 2.37712750995
equally, temporarily: 0.108521977463
drunken, relaxed: 1.02140478385
!, inaccurate: 0.0
courteous, tiring: 1.60324565073
ice-cold, time: 0.0
comprehensively, rapid: 0.793163826151
southeast, thirsty: 0.587061204394
better, shot: 0.846038852441
depraved, instructive: 1.31777683758
him, u.s.: 0.0
lately, universal: 0.439671938258
european, gentle: -0.568799134954
funnier, rigght: 0.0
healthier, legally: 1.09370163834
intelligent, tolerated: 0.414757115322
on-going, sexy: 0.0
sure, wide-ranging: 0.0
broader, unrealistic: 0.614721637396
pragmatic, unfounded: 0.715367280545
greedy, insured: 1.39686972833
profitability, stern: -0.117325676233
funky, timelier: 0.487464187398
awaken, globalization: 1.09253335541
dense, ubiquitous: 2.16901005684
indispensible, wrecked: 0.435170209899
handy, sensible: 2.01421197729
doubtful, grieved: 1.06551658519
prohibitive, worldwide: 0.015351532716
comprehend, ineffective: 0.485776372099
two-fold, widespread: 0.0
random, separate: 1.66606950183
charmed, treble: 0.638701524666
differing, reinforcing: 1.01863383492
sentient, vice-chairman: 0.0
extremely, frightened: 1.22303016159
groundless, patronizing: 2.15435012799
orderly, stiff: 0.745440771419
cool, troublesome: 1.12406724316
greener, nuts: 0.704717436589
invalid, sinful: 2.03244453075
brainless, traditional: 0.342826727337
african, groundless: 0.358645062699
cracked, white: 0.457539179738
primordial, unendurable: 2.07450410915
freak, ma: 1.35424098766
idiotic, inviolable: 2.21805008046
armed, relieved: 0.353522922426
abusive, standard: 0.504660960241
justifiable, upset: 1.09813909557
briefly, well-documented: 0.0
celebrities, liberated: -0.085012680999
frank, illicit: 1.65732960471
dense, frigid: 1.98378764227
horrific, pursuant: 0.439064868647
cynical, intensive: 0.82959082095
grouchy, incongruous: 2.08328896708
abundant, unfounded: 1.09197826232
all-encompassing, inaccurate: 0.0
lighter, wet: 1.85666974014
equivocal, faint: 1.81209429902
fifteen, shorter: 1.50574304217
easy, rusty: 1.8136137423
frustrating, nearest: 0.086839631976
cleverer, truth: 2.45494864209
felt, well-trained: 0.0
substantiated, truthful: 3.52368280608
sensational, super: 1.05330064439
'sgoing, girl: 0.0
hurtin, reciprocal: -0.12482857794
administered, irate: 0.154801313089
fruitless, personalized: 0.416356951439
faultless, south-east: 0.0
defensible, progressive: 1.59565163577
breathe, one-sidedly: 0.0
self-sustained, terrifying: 0.0
beloved, unconventional: 0.549805639851
entertaining, rare: 1.07199158774
authoritative, discrete: 1.15383043594
classified, coast: -0.287376602256
impolite, stupider: 3.44301543385
elevated, emblematic: 0.76427843109
allowable, pretentious: -0.049170406198
possible, stoned: -0.248990352219
danger, savage: 0.821110398279
frankenstein, topical: 0.456295643995
ill-equipped, successfully: 0.0
goal-oriented, readyto: 0.0
effectiveness, straight: 0.035164143987
incidental, prescribed: 1.23233136365
charged, wacko: 0.397315013689
pricey, severely: 0.444809547467
impermissible, strict: 1.35434690005
exceptional, fertile: 0.777008183542
given, goal-oriented: 0.0
dead-on, neutral: 0.0
prerequisite, usually: 0.856876452739
under-funded, well-organised: 0
courageous, traumatic: 1.99656016912
marine, pretend: 0.372571190978
binding, complacent: -0.062093032839
broad-based, finicky: 0.0
expanding, nosy: 0.164094362547
promptly, responsible: 0.714897501054
nessessary, undemanding: 0.0
extensible, matched: 1.38681019195
puny, soothing: 0.879144652234
newest, sixteen: 0.293343152795
intrusive, overburdened: 2.34050212977
apologise, bravest: 0.0
!, superfluous: 0.0
prompt, richer: 0.61159242964
ma, patronizing: 1.09341872239
egregious, tedious: 1.67648880964
edible, grimmer: 0.795018633354
funny, stoned: 2.20927054678
cranky, facilitated: -0.566661052591
moist, undisputed: -0.144117716309
delicious, north-east: 0.0
nouveau, sinister: 1.69276470537
included, little: 0.134457862011
frightful, whatever: 0.814819820676
opportune, revised: -0.16411097431
carefully, gravest: 1.51286369584
intelligible, kind: 0.474560788985
enriching, understanding: 1.51005853756
cross, nauseous: -0.146658892813
manageable, unsuccessful: 0.948289252293
ecological, free-standing: 0.0
cohesive, fella: 0.084127244209
merciless, probable: 0.582951415785
northern, unfounded: 0.441084461064
broad-based, sleeping: 0.0
cynical, incapable: 2.16251646578
favoured, spent: 0.0
erected, out: -0.123460813966
indefensible, self-aware: 0.0
agreeable, moderately: 1.05185565475
bad, pricey: 1.57607195161
fair, well-lit: 0.0
observed, responsive: 1.0819215894
moronic, needless: 2.55064577168
egocentric, forgiving: 2.91525776502
good, threaded: 0.539874700791
restricted, user-defined: 0.0
all-important, incompatible: 0.0
redundant, well-off: 0.0
exhilarating, visible: 0.603040524464
doing, inoperable: 0.109627406673
vis-, well-documented: 0
first-rate, under-funded: 0
naturalistic, stylish: 2.9509974638
factored, treaty: 0.135248254685
weighted, why: -0.110971001313
impoverished, patent: -0.214035128858
scarce, wondrous: 1.27271067839
rehearse, rotten: 0.421579591819
female, peripheral: 0.243225758623
non, realist: 0.328968101657
concrete, twice: -0.159824537047
clean, understand: 0.655331274512
articulated, inactive: 0.292843539407
treated, well-informed: 0.0
excluded, illiquid: 1.26541096533
kiddo, thirteen: 0.635694380958
frustrated, subdued: 1.86118158753
bullshit, closed: 0.087563701868
inaccurate, non-self-executing: 0.0
extirpated, unconditional: 1.23710725728
inconsequential, roll: 0.195441433121
overridden, persistent: 1.08163243285
bogus, celebrated: -0.485247450467
disappointing, telling: 0.98378098054
likely, monstrous: 0.422341326494
seropositive, trippy: 0.532404339483
bored, joyful: 2.21289502117
fake, moister: 0.171856465296
smarter, unforgiving: 0.838860906947
mature, unsavory: 0.621506808083
hysterical, pending: 0.049319929627
application, normal: 0.152607604217
relatively, valuable: 0.669678181486
really, timely: 0.902210287845
ambitious, gaunt: 1.42870483672
-mentioned, beter: 0.0
repayable, well-targeted: 0.0
audience, switching: -0.207990557583
furious, telling: 1.62602048042
enchanting, wretched: 2.04839193583
resident, unwholesome: -0.175262044228
tasty, wrong: 0.814378779596
dumb, self-contained: 0.0
silly, wealthy: 0.861851163193
addictive, conventional: 1.42141531214
multi-layered, some: 0.0
elevated, lunatic: 0.708853475448
complementary, surprising: 0.814389708638
bigger, generous: 1.31102274574
non-existent, stable: 0.0
anonymous, managed: 0.19265858485
advisable, reai: 0.0
careful, loose: 1.71745219901
jump, new: 0.495371758419
impaired, unitary: -0.182046207149
audacious, treacherous: 2.11282070618
elle, moist: 1.47687940473
cancelled, distinguished: 0.0
marked, n'tunderstand: 0.0
confidential, sponsored: 0.867481689146
engagement, touchy: 0.334709031466
poverty-stricken, unsafe: 0.0
battered, pushy: 0.417714091507
clinically, representativeness: 1.35355631998
brain-dead, fair: 0.0
satisfied, tired: 2.27149427321
improvement, senior: 0.16471290239
diseased, well-maintained: 0.0
ideal, risky: 1.6695914607
interim, patchy: 0.686377514245
fraudulent, unchanged: 0.027186517603
influential, pitch-dark: 0.0
compelling, interest: 1.20068038585
reckless, some: 0.239079480804
lonesome, pro-choice: 0.0
aligned, cruel: -0.125584271593
addictive, horseshit: 1.65769196546
prescribed, vital: -0.020878754435
braver, high-tech: 0.0
complex, principale: 0.439324202143
pleased, well-trained: 0.0
sorry, turbulent: 0.819917342154
far-ranging, solemn: 0.0
smokin, vast: 0.074114176354
discretionary, untapped: 1.3348069179
inter-dependent, tremendous: 0.0
cardinal, vague: 1.25231197036
customary, riveting: 0.660776919028
distraught, trashy: 1.49389220561
diverse, okey: -0.235151015928
dry, incidental: 0.499379973659
monstrous, permanently: 0.285429664119
continuous, presentable: 0.274626609735
onboard, treasured: 0.078371334153
propitious, unforgiving: 2.14342028764
looking, surrounded: 0.651662580088
doomed, managed: 0.953477902497
sacred, triple: -0.187025659894
bureaucratic, weighted: 0.366625251779
changed, ill-defined: 0.0
needed, psyched: 1.08553766553
technological, unimaginable: 2.07597554943
louder, probable: 0.47455008297
hon, unspeakable: 1.15302484126
establishment, thought-provoking: 0.0
accelerated, quickest: 1.98544735284
disturbed, unclear: 1.55857727523
appropriate, dressed: 0.502078742004
between, well-served: 0.0
updating, visual: 1.07842742841
african, sensitive: 0.269955199581
rapid, used: 0.220100069393
closest, insurmountable: 1.80398555605
fuller, heartening: 0.918484348772
old, overheard: 1.04941892897
again, minute: 1.06821405933
initially, unequivocal: 0.025103030401
conclusive, upstanding: 0.306411558241
biggest, disingenuous: 0.091183830503
across-the-board, transitory: 0.0
dirty, safest: 1.73599140232
comparable, reliable: 1.44922939755
invariable, peaceful: 1.34637305612
nuts, organic: 2.08484168977
dreamy, exaggerated: 1.53401641182
historical, slim: 0.372162850583
brainless, recognizes: -0.244725475514
corny, missy: 1.52552191866
mum, needy: 0.678171571512
becoming, marketed: 0.671123340126
amazed, supplied: 0.31920159013
agreement, unspecified: 1.64267891501
optimal, selfevident: 0.0
acceded, narrower: 0.983178380354
brighter, thought-provoking: 0.0
focused, me: 0.431955527747
readable, segregated: 1.73587879124
accountability, happiest: -0.084191373446
admissible, insatiable: 0.114501816981
likable, tan: 2.17463978155
inside, rubbish: 0.375099261981
good-looking, improbable: 0.0
briefly, interestedin: 0.0
unachievable, weaker: 1.71113837939
overdue, tentative: 1.53641702335
overkill, proportional: 1.47146787461
ambiguous, fall: 0.382630258759
louder, vested: 0.349995690136
authentic, sparse: 1.06527803858
enormous, well-paid: 0.0
coarser, complete: 0.5713806205
empty, violated: 0.320337035531
powerful, reported: -0.101592778044
housebroken, slower: 0.640345053707
easiest, named: 0.338182851944
serious, spicy: 0.973430015317
rational, simpler: 2.83184253513
commended, major: 0.206942633531
effective, yet: 0.413964823023
primarily, tabled: 0.139180573775
battered, infrequent: 0.434163012347
applied, furthermore: 0.440040702748
start, unsafe: 0.764672437471
respected, well-behaved: 0.0
fourth, worrisome: 0.684041142302
efficient, specifically: 0.697125323201
but, matched: 0.729509150209
dispute, stillborn: 0.983470826409
ethical, wreckable: 0.0
female, unpredictable: 0.441009440077
upper, yellow: 0.820392009774
giddy, strained: 1.28127198028
etc, whassup: 1.09623771837
grown, jump: 0.803755716501
colossal, unimportant: 1.83377656302
disposal, second: 0.11981231622
long-range, third: 0.0
ineligible, more: 0.14105307043
east, oral: -0.495657588016
newsworthy, specialized: 0.963786309087
durable, undamaged: 1.91881879778
advisable, fun: 1.45383840871
astounded, spaced: 0.475166145081
catastrophic, marked: 0.597024770618
good-iooking, vain: 0.0
legible, mid-sized: 0.0
celebrated, whole: 0.086757239035
bleak, than: 0.725562900872
considerate, cooperative: 2.53234198902
over-ambitious, well-organised: 0
selective, shut: 0.532044499457
ionely, pleasant: 0.0
feeble, holier: 1.66359040751
application, lawful: 1.46899021295
generic, strict: 0.694603741267
dishonest, redeemable: 0.510206585948
fanta, sporadic: -0.075037705462
motherfucker, pursuant: 1.34756038298
barmy, ok: 2.62436538787
dispersal, swifter: 2.0140581415
recheck, seropositive: 1.66782031523
enormously, marketed: 0.528774423895
definite, proportional: 1.18973643786
automated, frank: 0.598046103212
unrealistic, weary: 0.814757349984
larger, modified: 1.48763719888
eccentric, sadly: 1.14580392076
extraordinary, gullible: 0.21540163262
enduring, violated: -0.273316790349
apace, puny: 1.31716696232
right-handed, truly: 0.0
erroneous, mysterious: 0.959409248229
embarrassing, macabre: 2.01986484068
flawed, internal: 1.37186192699
cuter, mysterious: 1.32501465616
devastating, moving: 0.404308837158
fixated, tall: 0.76946314582
compensable, export: 0.054768471223
gandalf, schizo: 0.0
principally, receivable: 4.04807352482
non-binding, wasted: 0.0
african, high: -0.313451995596
enduring, kidding: 0.312005781196
jeopardized, tasteful: 0.039588015389
non-compliant, rather: 0.0
homicidal, planning: 0.275803310136
-good, staff: 0.0
dependent, nutty: 0.46366954566
excluded, superfluous: 1.95188936245
self-evident, unambiguous: 0.0
across-the-board, burned: 0.0
needed, running: 0.779580267841
irritable, surprised: 1.61201144886
dim, highest: 0.098689380658
fresh, neat: 1.24921829243
acceded, intact: 0.201340679476
continuous, opportunity: 0.594238310227
commenced, handled: 1.42801334159
plain, subsidized: 0.262197370434
feeble, ionely: 0.0
antagonistic, overemotional: 2.71032089994
displacement, switching: 1.09046669617
noisy, silly: 1.84855274276
apace, celebrated: 1.16170194238
contrary, moist: -0.159162562025
bygones, hazardous: -0.236373922221
accustomed, girlie: 1.13010108839
alarming, horrible: 2.66018386979
marine, minus: 0.248012723798
horrendous, same: 0.918910978991
agreed, available: 0.564984023322
exemplary, toast: 0.976045342031
equivocal, hon: 3.3690098476
apologise, young: 0.0
pitiable, well-developed: 0.0
fit, under-age: 0.0
contradictory, grieved: 1.43985745093
interoperable, overburdened: 1.42448766436
better-educated, rigid: 0.0
unpredictable, weak: 2.0900910949
ever-increasing, southeastern: 0.0
exclusive, recheck: 0.339699329472
comercial, noisy: 0.581946608797
dubious, dull: 1.76030532686
destructive, unfounded: 1.95478421882
brittle, scheduled: 0.131409055782
fascinating, sadly: 1.64947938976
sinister, straight: 0.453186879741
shiny, well-served: 0.0
automated, interactive: 3.5735550519
advantaged, broader-based: 0.0
discriminatory, overwhelmed: 0.108566100033
rare, shocking: 2.33266450624
prevailing, sick: 0.221740064836
about, sufficiently: 0.488296611335
distinguishable, nut: 1.09193052638
cross-border, often: 0.0
hiv, sophisticated: -0.096086802725
home, taken: 0.6861511034
enough, long-winded: 0.0
greedy, proceed: 0.233534291441
costly, unhealthy: 2.11481645721
occupied, right: 0.721331440225
ill, seventh: 0.574078922328
asked, elevated: 0.522562223846
perverse, sacred: 1.45402284985
bold, well-planned: 0.0
colossal, natural: 1.42729236847
comfy, peachy: 3.08635160055
self-executing, still: 0.0
hot, juicy: 2.65294273123
effectively, minuscule: 0.591548649423
myself, of: 0.0
stubborn, underway: -0.440136559284
boy, luminous: 0.215704267718
better, state-owned: 0.0
carefully, flashing: 0.52148839902
innocuous, startling: 1.86838917889
life-long, reported: 0.0
fit, simplifying: 0.892062759718
adequate, discriminatory: 2.17022421629
prodigious, seropositive: 0.487828988221
convenient, out-dated: 0.0
internationaux, it: -0.274642011604
chaotic, on-going: 0.0
definitive, diverse: 1.14069342476
frequent, inexhaustible: 1.16887439376
disastrous, neighbours: 0.0
happy, small-time: 0.0
brief, quick: 2.20117216307
dummy, pitiful: 0.98983751279
disappeared, nut: 0.240938411469
meaner, unforeseen: -0.165418806065
affirmative, being: 0.039834509908
cost-shared, obnoxious: 0.0
defenseless, re-established: 0.0
interdisciplinary, scattered: 0.527441081463
adulthood, handed: -0.171489175122
enchanting, precisely: 0.402902580622
anomalous, valuable: 1.08742386884
own, whatever: 1.60294307371
above, sophisticated: 0.276893808123
homosexual, most: 0.160291949018
responsibility, unpublished: -0.290736161602
annoyed, informed: 1.8891033973
-me, consequential: 0.0
loose, ominous: 1.23456469126
comprehensive, tangible: 1.65991075139
butthead, manageable: 0.572455300685
ancient, kinky: 0.731352210253
new, transparency: 0.825535962568
almighty, seen: 0.355510737511
claire, preliminary: -0.801767939127
eager, speedier: 1.24125230665
clever, humiliated: 0.185419331103
incalculable, selfevident: 0.0
thrilled, yellow: -0.028670847239
ravishing, unsatisfactory: 1.01349143984
cute, helpful: 2.03579060801
flavorful, topical: 1.48076641704
dismal, fit: 0.139957291714
changed, coherent: 0.879845437146
fun-loving, unprecedented: 0.0
daft, fifth: -0.308146056269
beloved, funnier: 1.62557691161
change, jam-packed: 0.0
illiterate, prescribed: 0.970523261694
standardized, unhealthy: 1.24581673482
course, reasonably: 0.928821383427
intentionally, polluting: 0.798150834448
daft, particularly: 0.386889435243
developing, heavy-handed: 0.0
helpful, integrated: 1.17597996856
shitless, thoroughly: 0.639090516186
acclaimed, alia: 0.377527072128
integral, unfathomable: 0.767500670891
hairy, old: 0.959245520619
graduate, negligeable: 0.0
asshole, bad-ass: 0.0
kinky, master: 0.443090216592
repugnant, settled: 0.327620057435
efficacy, inflexible: 0.369357130614
innocent, long-term: 0.0
reported, sinister: 0.343581021366
particularly, respect: 0.844964019112
elite, utopian: 1.34661509617
designed, overwrought: 0.682119816785
affixed, worded: 3.21910044393
fun-loving, rational: 0.0
educational, unanswered: 0.388140720956
enchanting, profound: 1.91545014568
academic, unachievable: 1.1499831323
briiliant, evident: 0.0
delay, underdeveloped: 0.434019024704
ingrained, systemic: 2.14390245372
medium, seasick: -0.109331285191
2nd, try: 0.417747203047
globalization, like: 0.474816200397
common, irritable: 0.899497580242
enlarged, intertwined: 2.19854111912
mediocre, under-age: 0.0
facilitated, incredible: 0.530366274558
attentive, intimidating: 1.97059694319
primary, slightly: 0.442453378665
established, important: 0.86660856006
lawful, sultry: -0.210446913751
folks, hour: 0.079126067315
competence, drastic: 0.067856154646
excluded, furthermore: 0.97901454746
almost, senior: 0.224826945479
counter, reinforcing: 1.08799612168
pushy, rash: 1.26447695015
enlarged, satisfied: 0.592868332923
asshole, laborious: 0.012351474412
monthly, systematic: 0.790413059312
oversensitive, pathetic: 2.50062531763
deliberate, self-sufficiency: 0.0
futile, useable: 0.776723556275
hereto, rock: 0.450358103377
alia, undeveloped: 0.116261417231
diverse, satisfactory: 1.13976488421
ail, tabled: -0.017985748417
ephemeral, marketed: 0.087576298783
due, proactive: -0.090026408183
glamorous, recheck: -0.021727400487
by, regrettable: 0.379549343104
hot, multiple: 0.505061202866
infamous, roll: 0.437906362202
elementary, uptown: 1.38395738695
brittle, flawed: 1.96434731185
beloved, sixth: 0.484958331136
hopeless, vivid: 1.43297681952
populous, scanty: 1.80996196639
expensive, glowing: 0.368977475285
better-looking, murderous: 0.0
ungrounded, winning: -0.808886758569
progress, wealthier: 0.804230398865
commendable, rigght: 0.0
tepid, under-funded: 0.0
breathtaking, illogical: 1.57651380575
adamant, recommended: 1.70682060057
cherry, droll: 0.805600628431
follows, steep: 0.939472678457
separate, to: 0.0
nasty, unused: 0.474512929773
prolonged, recent: 1.40892732288
outdated, stranger: -0.121792755691
determinative, foreverything: 0.0
female, internal: 0.435203462945
fit, monthly: 0.148507982153
long-winded, sober: 0.0
favorable, laborious: 0.473531820605
state-owned, unforeseeable: 0.0
iilegal, supreme: 0.0
good, stifling: 1.2911555209
certifiable, screened: 0.726957978797
impatient, on: 0.25535422559
rarer, soft: 0.536441554603
near, relentless: -0.051919558826
johnny, quick: 1.06266280061
direct, riveting: 0.359403627731
possible, unfathomable: 0.809762601821
fifteen, incalculable: 0.914132775828
centralized, missy: -0.219163360008
deader, unnerving: 1.67146751892
distinct, enrolled: 0.649417898411
export, fbl: 0.0
grumpy, minuscule: 0.603577954667
degraded, viewable: 2.33564245975
named, self-sufficient: 0.0
extreme, uneasy: 1.06591269365
disconcerting, thought-provoking: 0.0
anomalous, unproductive: 1.67710303084
plentiful, succeed: 0.531836832915
expeditious, retail: 0.402802320113
humid, well-defined: 0.0
difficult, rescinded: -0.076144347001
off-site, thankful: 0.0
om-mazing, sadder: 0.0
non, opportunity: -0.027825179162
appreciated, double: 0.08316861367
justiciable, performed: 0.757209707543
charming, come: 0.213048075129
black-hearted, vulnerable: 0.0
resistant, shielded: 3.63958543104
contemplated, strongest: 0.054796128659
ageing, constant: 0.0
blank, unbearable: 1.12912540226
searchable, security: -0.130769707013
hurtful, uneconomic: 1.86086245228
hourly, rigid: 1.09087566984
stale, tied: 0.80085738249
horrifying, wacky: 2.33202540231
unprecedented, unwise: 1.77471877732
adjusted, watchful: 1.57842789586
compensatory, others: 0.764583050189
excitable, reiterate: -0.160939198489
written, youngest: 0.010775693857
absolutely, deserted: 0.732106666462
persistent, thin: 1.36636344801
ioaded, okey-dokey: 0
discreet, in-flight: 0.0
foremost, slick: 0.116764200654
de-insured, legibly: 0.0
quadruple, smooth: 0.367937747861
commercial, fluid: 0.335047198946
fruitless, screwy: 0.977203889273
cooperative, zesty: 0.749545750713
inconsequential, irrational: 2.15089527733
accustomed, emerged: 0.578627206059
choosy, liberated: 1.17976448868
culturally, unequivocal: 0.543668167559
accessible, inactive: 1.05062249542
pale, rebatable: 0.0
entirely, opposed: 0.647037034864
conducive, smitten: 0.457828714682
died, fat: -0.053696520487
incidental, suddenly: 0.531454877802
midget, uh-huh: 0.0
delay, worthless: 0.228990304514
candid, existing: -0.626706013603
house-trained, unfriendly: 0.0
hourly, humbled: 0.069738170749
lacking, persistent: 0.654514948218
requests, well-reputed: 0.0
snappy, varying: 0.7796908775
fair, uneasy: 0.581453606491
ensuring, him: -0.119281333849
inaccurate, welcomed: 0.360620890147
appointed, unaffected: 0.673366315851
second, smaller: 0.491503458999
professional, vice-chair: 0.0
preferred, unsustainable: 0.799170062825
existing, serious: 0.440734874057
