filthy, pitch-dark: 0.0
competence, going: 0.158439160348
giant, slim: 0.621926351684
egregious, self-evident: 0.0
entertaining, intentional: 1.2376525554
crystal-clear, pristine: 0.0
humane, resistant: 1.12502414271
accurate, shameful: 0.810746891924
gullible, livid: 1.63904623251
awkward, exciting: 2.09699677381
hereby, kidding: 1.79608720965
understand, well-armed: 0.0
batty, significant: -0.619445538655
honourable, scalable: 0.0
flavorful, serene: 2.89055262807
booked, elevated: 0.237595501844
leveraged, sturdy: 0.866559426833
armed, juvenile: 1.30889147294
dandy, supplementary: -0.041162028311
school, second: 0.155349880525
hardto, monstrous: 0.471130036166
frightful, others: 0.294279974376
horseshit, substantial: 0.24853249698
fresh, stubborn: 0.683869612438
blank, painless: 1.62863109341
introduced, supreme: 0.618770412314
confident, illicit: 0.217354209199
daft, moody: 2.15380737771
deceptive, unspoiled: 0.77526242398
bereft, hospitable: 1.67864515438
asinine, unreasonable: 3.75762493539
fragmented, irate: 1.18132313592
nice, requests: 0.663099467931
odious, perpetual: 1.77007013524
immaterial, teeny: 1.10442043719
different, duty-bound: 0.0
crass, executed: 0.704347785117
-ready, booked: 0.0
kinky, rubbish: 1.2836374415
high-tech, prompt: 0.0
impractical, information: 0.537919115426
received, used: 1.08058488271
alternate, explosive: 0.852568227908
longest, patentable: 0.821645225814
circumspect, problematic: 2.54372301968
limp, wished: 0.538775935148
determinable, documented: 1.65022939976
apologise, optimal: 0.0
good, violent: 0.638162065647
cost-efficient, unimaginable: 0.0
cleverer, panicked: 1.63409994443
day, mistaken: 0.067036723401
multi-dimensional, relevant: 0.0
kind, well-suited: 0.0
immutable, naturalistic: 2.20772527261
harmonised, personally: 0.0
comfy, conventional: 1.21976059412
foul, vice-chairmen: 0.0
generalized, stout: 0.245433785317
in, worrisome: 0.483275296104
awful, priced: 0.786101954353
awaken, foxy: 0.365505561797
observant, short-sighted: 0.0
patent, start: 0.603807565121
humid, supreme: 0.222197564035
dre, misleading: 0.098743072894
blurry, criminal: 0.587716349197
possible, some: 0.838924063844
19, comin: 0.0
delineated, well-documented: 0.0
hands-on, lawful: 0.0
commensurate, uncontroversial: 1.46178043839
counterfeit, seamless: 1.00787067977
disposal, minor: 0.282073770725
set, ten: 0.633388356874
armed, vicious: 1.41989618692
korea, prior: -0.168028667502
absolute, realizing: 0.85368303076
professionally, traded: 0.686895070165
apologise, slick: 0.0
alternative, scheduled: 0.503766729346
matched, worried: 0.398455742456
clinically, optimistic: 0.285864818162
long-standing, under-age: 0
onerous, really: 0.466449724749
invariable, unfathomable: 2.21097131925
commonplace, excited: 0.579330361932
designated, multi-threaded: 0.0
ill-founded, that: 0.0
hunger, wholly: 0.234758315471
insecure, stupider: 2.5153951929
awesome, racked: 1.36619873159
saying, subtle: 0.314336403501
discretionary, untenable: 1.47725606187
unlucky, wealthy: 1.72453157752
delayed, horrid: 0.699247935257
frigid, violated: 0.463865294538
-me, feisty: 0.0
depressed, engagement: 0.398559352571
achievable, little: 0.179879042849
archaic, outermost: 0.472202418811
miscellaneous, short: 0.710382239205
subsequent, superstitious: -0.236907914095
cleared, looking: 0.576046615557
loving, scaleable: 0.700088093567
widening, wonderfui: 0.0
recognising, successfully: 0.0
sizeable, unrealistic: 0.508934392631
irregular, mixed: 0.618499970691
due, safest: -0.208780891497
business-friendly, complicit: 0.0
accuracy, handling: 2.40756411248
non-existent, stress-related: 0
glamorous, unthinkable: 1.65605786594
globalization, middle: 0.988713243113
active, overly-high: 0.0
highest, th-that: 0.0
evening, unchangeable: -0.285879341942
found, wack: 0.16778855844
approved, supra: 0.728257615165
complicated, unfair: 1.88988196484
accepted, ago: 0.302620191243
comprehensible, integrating: 1.42123761803
faultless, wacko: 1.31719094373
open, registered: 0.858579921212
plausible, tell: 0.824272586799
compliant, high-quality: 0.0
emotive, well-managed: 0.0
ever, griet: 0.0
ageing, compensable: 0.0
miserable, obnoxious: 2.49863323667
adjusted, used: 1.1786733182
buoyant, soft: 2.95549092425
changed, natural: 0.827817857049
insulting, placed: 0.317009336118
galore, passionate: 0.815607833226
okey-dokey, permanently: 0.0
sufficient, urgently: 1.80392782663
lousy, well-suited: 0.0
bold, commenced: -0.115905162887
overdue, suck: 0.590961442315
limited, secure: 0.867663757252
introduced, shitty: 0.096071235223
deceased, well-known: 0.0
broken, narrower: 1.07502532885
asking, five: 0.326428810357
foremost, priced: 0.182950630176
especially, quicker: 0.952565225564
common, stark: 1.23873240173
full, immersive: 0.954757650835
jittery, long-range: 0.0
momentous, state-funded: 0.0
inside, intact: 1.36532726002
get, less: 0.734478951707
long-standing, open-ended: 0
degrading, white: 0.957328794535
differently, justifiable: 1.4985914637
luminous, overjoyed: 0.580858873172
archaic, phat: 1.10980468018
blessed, surrounded: 2.81778963819
no, pilot-tested: 0.0
etc, snotty: 1.19666045298
fortunate, shorty: 0.240996624836
presentable, sticky: 1.1510880437
extremely, obliged: 0.923375392674
disrespect, restful: 0.085857644699
fascinating, lonely: 2.0405351279
exempt, indecent: 1.32146616149
enhancing, naturalistic: 0.907708758441
switching, wetter: 0.912620550507
immaterial, pray: 0.485241324894
attractive, exceptional: 2.11531626162
busier, indicated: 0.490015261519
reai, unaware: 0.0
numerous, patience: 0.786075162759
multi-ethnic, standing: 0.0
non-compliant, overlooked: 0.0
inconsequential, sloppy: 2.29492203016
doomed, inactive: 0.843513165358
patronizing, steeper: 0.074997262269
busted, logical: -0.192122983425
awkward, gruesome: 1.77525393404
accurate, unanswered: 0.343723688241
clearest, regretful: 0.871187738739
franco, twenty: 0.561146780429
flammable, trashy: 2.53703554199
appropriate, tabling: 0.474896539457
latter, synergistic: 0.460146200018
icy, inter-related: 0.0
boy, prevailing: -0.229269864235
doomed, expedited: 0.357332294151
distressed, holistic: 1.30168676836
perpendicular, southwestern: 1.46735023622
evey, remarried: -0.45173601561
dissimilar, vice-chairmen: 0.0
fierce, shiny: 0.672319544941
fatter, undisputed: 0.37935073508
okay, unhurt: 3.09160361685
disappeared, unwarranted: 0.408815721802
-so, narrow: 0.0
unspoiled, urgent: 1.06544176335
awkward, certified: -0.456653005916
commensurate, scant: 1.96092618551
aggrieved, rank: 0.928089970689
courteous, owned: 0.71656683017
ma, short: -0.542035073204
respect, yourself: 1.01708843268
silent, unforeseen: 0.570217544681
integral, urgently: 0.739324658389
expressed, resolute: 1.30143185194
equivalent, startling: 0.820750814247
intractable, realistic: 1.9257323642
correct, forthcoming: 0.396991498476
overall, representative: 0.638088109872
identifiable, likable: 2.15297537735
charmed, sentimental: 2.33764767908
straight, unwholesome: 0.227532883404
impolite, marked: 0.461690190195
ambiguous, leaner: 0.283715364517
essential, liable: 0.939609595726
pretend, shocked: 1.37977344693
frank, thereto: -0.091151178226
blurred, distasteful: 2.19141287204
astute, scandalous: 1.34223335712
chaotic, unseemly: 2.46325799649
copacetic, self-financing: 0.0
durable, well-balanced: 0.0
apart, as: 0.696602287947
insecure, well-organized: 0.0
empowered, them: 0.886592002918
deader, unprepared: 1.09132850729
better, filthy: 0.545374705912
invested, reasonably: 0.116487734189
proprietary, undamaged: 0.753344689671
giddy, inaudible: 0.6554386475
above-board, counter-productive: 0
homesick, unjust: 1.28265835873
mechanical, necessary: 0.900027904624
darkest, girl: 0.994984187674
married, minimal: -0.179604592815
checked, distressed: 0.551909443614
shared, untenable: 0.65585177763
historic, ubiquitous: 0.185042915725
only, wise: 0.897134197466
ghastly, this: 0.481869917574
lively, slow: 1.2240614327
dark, sensible: 1.07294808354
ineffectual, staff: 0.42217951759
here, suck: 0.825902796186
abnormal, individual: 1.35848036045
hideous, presentable: 2.39979589561
granted, ju: -0.361299715548
interesting, maximum: -0.160658674773
furthermore, ravishing: 0.561772126298
right, two: 0.649283702231
cuter, foolish: 1.73372161581
hysterical, intelligent: 1.60489354523
former, unchanged: 0.078229315663
provision, unfortunate: 0.792460097566
exponential, remarried: 0.951434247299
mature, tough: 1.59353341661
idiotic, provided: -0.519137506093
necessary, overall: 0.595573403903
disrespect, too: 1.3147163776
adapted, detrimental: 0.630048558127
pale, splitting: -0.113263883844
heartfelt, hurting: 0.561424516206
integral, substantive: 0.67304113413
scant, taller: 0.591672629203
automated, thin-skinned: 0.0
damp, short-lived: 0.0
shifty, wholly: 0.471983096435
asking, preoccupied: 1.11122870783
sacrosanct, sad: 1.29925338209
heavier, undisturbed: 0.835901042411
extremely, mutual: 0.18382360044
clearest, reasoned: 1.69002165915
dual, non-compensatory: 0.0
displaced, startled: 0.997317435532
belligerent, generated: -0.266274601808
exact, friendlier: 0.238692791176
cinematography, reality: 1.23803450361
afresh, ill-defined: 0.0
neglected, sticky: 0.834981807854
co-, defective: 0.0
rife, unfriendly: 1.66246744673
exhilarating, funded: 0.22741355161
bull, embarrassing: -0.499797849453
fluid, unsettled: 1.75794173186
crucial, frustrating: 2.47015328699
bad, innovative: 0.044961666342
sufficiently, well-defined: 0.0
commensurate, established: 0.883374721177
cooperative, soon: 0.668833388193
non-compensatory, outdated: 0.0
impressed, unused: -0.423629940213
normally, resolute: 0.420744562751
blended, brillant: 0.389824371108
grateful, probable: -0.228474849816
henry, sixth: -0.169148439551
berserk, refrigerated: -0.875319047139
poor, poverty-stricken: 0.0
baby-sitting, now: 0.0
favoured, frazzled: 0.0
riveting, well-educated: 0.0
fair, freely: 1.20095602908
atrocious, enhancing: 0.299690502016
arduous, decisive: 1.73331312706
prescriptive, u.s.: 0.0
all-embracing, documented: 0.0
blurry, undemanding: 0.970567196116
corresponding, sufficient: 1.27995538075
frank, rare: 1.5872319552
homesick, surreal: 2.88430392246
cherry, flexibility: 0.446067357832
bi-directional, self-evident: 0
factored, illegal: 0.346357786586
fairly, master: 0.117684970779
finished, richest: 1.43271277662
-ready, unfavourable: 0
severe, uptown: 0.01552565717
funded, rock-hard: 0.0
issue, joyful: -0.474130952511
elegant, sadder: 1.02726791197
least, user-friendly: 0.0
abrasive, determinative: 1.18392669849
pragmatic, ridiculous: 0.915976277728
amazing, newborn: 0.533500246805
feisty, self-sufficient: 0.0
endangered, possible: 0.975034389027
cautious, negligent: 2.61433277679
hardworking, reduction: 0.375036585644
internationaux, th-that: 0.0
beautifui, positively: 0.0
authorized, unaware: 1.96024238481
dumber, unequal: 1.68033950273
moreover, understood: 1.12358078764
meager, responsive: -0.303811576004
dirty, impoverished: 1.64011890625
nearest, off-putting: 0.0
useable, vigorous: 0.550954888411
entirely, religious: 0.245137868457
polite, third: 0.149864650418
anti-constitutional, unproductive: 0.0
oral, right-handed: 0.0
previously, relaxing: -0.258097032923
compensable, justified: 2.21445952458
insincere, scanty: 1.74902632885
sizeable, startling: 1.83105502758
busier, symbolic: 0.047653744086
innocent, self-sufficient: 0.0
delusional, own: 1.04474019235
presently, prestigious: 0.609920642567
affluent, designed: 0.951001414195
victorious, wholly: 0.649692870264
advantaged, fifteen: 0.691650762713
cautious, soon: 1.30839872175
grass-roots, unnatural: 0.0
conducive, done: 1.46823228918
furthest, well-planned: 0.0
creepy, lightweight: 0.235885213447
classical, uneconomic: 0.487770721493
egocentric, unhealthy: 2.5870205168
further, regrettable: 1.40633091978
classified, rescinded: 1.24961134943
loyal, suited: 0.818016825078
homesick, reconcilable: 0.845354087387
irreconcilable, uneven: 2.07421235455
cumbersome, receivable: 1.3759408863
recognised, smartest: 0.0
continued, non-exclusive: 0.0
discretionary, flexibly: 1.50477556311
apparent, extensive: 1.309556572
guilty, speaking: 0.918896332803
firm, well-organised: 0.0
biased, non: 1.19955146138
desolate, underdeveloped: 3.06535692073
pronounced, ridiculous: 0.461585241469
incomprehensible, max: 0.363778233111
briiliant, well-timed: 0
do, hurting: 1.75783803682
overweight, unquestionable: -0.052838569794
compatible, reconcilable: 2.8905742018
there, trashed: 0.700338472631
live, reality: 1.46025537621
forthcoming, standard: 0.272206684437
pitch-dark, skilful: 0.0
modest, regardless: 0.669663850374
continuous, worldwide: 1.62388139321
delighted, jurisdictional: -0.166135346384
funky, lukewarm: 0.821696865785
ignorant, lukewarm: 1.52947018775
hooked, unchanged: 0.423189830418
fabulous, this: 0.824435547099
arming, interlinked: 0.782170455975
heights, time-sensitive: 0.0
innocent, iucky: 0.0
lasting, someplace: 0.657738054691
consequential, grievous: 3.68274340916
level, yummy: -0.575312209759
famous, inherent: 0.570405115462
lately, weil: -0.18898355923
outgoing, still: 0.267416930259
co-dependent, thready: 0.0
louder, mieux: 0.647916732505
registered, unbecoming: 0.300478278903
baseless, security: 0.327754707579
graceful, thrilling: 2.75556435751
determined, meagre: 0.0
appalling, cardinal: 0.382872723224
alone, shorter: 0.370149692714
boundless, young: 1.32082803073
multiple, net: 0.310142589006
danger, topic: 1.21554873894
admitted, rank: 0.257814253824
consequential, underpaid: 0.507480200154
heeded, thoroughly: 0.33864883743
expressly, talented: 0.539371947801
divided, loud: 0.186942439544
refrigerated, retard: 0.768857533586
periodic, terrific: -0.242946945148
flavorful, oversensitive: 1.06783584492
minimum, twice: 1.42335486281
bored, grotesque: 1.291390877
idiots, joyful: 0.174344683083
grateful, interesting: 1.11141322553
guaranteed, humbled: 0.859184886107
patentable, returned: -0.508305251167
doubtful, instable: 1.35370716158
hot, outside: 0.916395531095
de-insured, sweet: 0.0
earlier, goofy: -0.048365593358
cloudy, psychogenic: 2.55318728286
fulfilled, small-scale: 0.0
honoured, painless: 0.0
benign, donkey: 0.16369812288
precarious, sizable: 1.49490526852
diverse, sweet: 0.773940524766
abused, energy-efficient: 0.0
immeasurable, sounder: 0.747942500814
adversarial, oldest: 0.794426615049
most, same: 0.536392107596
hateful, massive: 0.416539107374
frigid, sing: 1.33872043932
last, muchfor: 0.0
geek, kosher: 1.79191262175
psycho, sappy: 2.94480034727
affordable, overheard: -0.302170187835
all-out, funnier: 0.0
nervous, thinner: 2.34477954329
agreed-upon, first: 0.0
challenges, stipulated: 0.306246860407
exhausted, scrumptious: 1.44518493914
previously, shiny: -0.26066907932
blunt, snotty: 2.06612140985
immutable, reassuring: 0.716233760794
miniscule, thanks: 0.690844560507
patent, stress-related: 0.0
accepted, everybody: 0.746576997363
minuscule, thereto: 0.360252047326
insulted, rock: 0.018319373936
determining, proportionate: 3.08959751046
frightful, over-optimistic: 0.0
hearty, policy: 0.022363185268
narrow, wary: 1.23070189511
nosey, stupide: 0
enraged, ten: -0.031370438342
rock-solid, stunning: 0.0
resolved, scanty: 0.202074475135
in-progress, increased: 0.0
certain, uninsured: 0.513967439533
small-time, viewable: 0.0
legendary, terrible: 1.04013158445
multiple, ruthless: 0.361245242201
energetic, wack: 1.20869767386
bad, franco: 0.384823792249
bankrupt, claire: 0.542323064253
distinct, top: 0.82060695702
problematic, religious: 1.21325008043
content, selfish: 0.624737346024
fortunate, opposite: 0.380737923085
addition, inaudible: 0.147855965234
accused, terrified: 1.96701792029
!, temporarily: 0.0
asleep, shorter: 1.61510470779
enchanting, encouraged: 0.340692041442
adamant, privileged: 0.931966394166
non-transparent, unaffected: 0.0
broad, meagre: 0.0
bare, terrific: 0.375408458871
positively, traffic: 0.152839096917
efficacious, so-called: 0.0
fewer, hlv-positive: 0.0
harsh, north: 0.509113033952
legal, noticeable: -0.065084652097
cost-effective, myself: 0.0
humbled, orderly: 0.147072916567
courteous, motivated: 2.52263996099
innocuous, worse: 1.28447139988
disappeared, frightful: 0.685568694524
diseased, good: 0.45419277135
frankenstein, thoughtful: 0.171917556772
allright, repeated: 0.298167174945
dubious, flavorful: 0.622953426811
dopey, nosy: 3.66908545636
reported, rich: -0.102558487
concluded, value: 0.367472165157
arbitrary, powerful: 0.919663077481
elevated, horrible: 0.485708108508
presented, working: 0.538746713792
distasteful, obstinate: 2.23926706164
horrid, monitored: 0.15600361771
benign, sentient: 2.12008529293
especiaily, incomplete: 0.0
acquainted, violated: 1.01774509813
justiciable, loveable: -0.010811636324
untouched, unwelcome: 1.36958132446
admitted, brittle: 0.443240109014
annulled, social: 0.188932077866
frightening, interminable: 1.56064473689
simply, unquestionable: 1.20407495996
comfy, controversial: 0.053198034732
appreciated, unpredictable: 0.356546537344
surer, than: 2.44864716729
environment, franco: 0.168631282905
finite, shifty: -0.176268848601
franco, unsound: -0.824181340603
friendly, western: 0.78583164903
annulled, permanently: 1.0391889656
sustainable, unappy: 0.0
influential, shit: 0.428544493066
gandalf, uncertain: 0.0
goofy, sir: 1.61929597256
cumbersome, rapidly: 1.34026734801
empowered, vain: 0.750130044508
identify, prettier: -0.39449132565
pretty, unwholesome: 0.265672473881
astounded, treble: 0.801361558936
undecided, unquestionable: 0.750685576905
paranoid, underfunded: 1.96702952003
agile, maintained: 0.551734330743
antiquated, inherent: 1.964222143
longitude, weird: 1.66623477071
cheaper, normal: 1.36641870164
admitted, braver: 1.12016980439
rude, topical: 0.724052314421
effortless, infamous: 0.359512690374
delay, somewhat: 0.216567996883
herein, private: 0.283074985233
personal, well-organised: 0.0
southeastern, thought-provoking: 0.0
brain-dead, priced: 0.0
know, sure: 2.77197353961
bad-ass, noticeable: 0.0
all-out, iittle: 0
thriving, well-formed: 0.0
hairy, unresolved: 0.45118369509
fit, superb: 1.05135211327
acceding, quicker: 0.276930206414
comprehensive, customized: 3.03241547066
need-to-know, satisfied: 0.0
insincere, nice-looking: 0.0
poor, state-funded: 0.0
again, death-proof: 0.0
devastating, okey-dokey: 0.0
hard-pressed, unforeseeable: 0.0
enlightening, practicable: 0.992369767101
deliberately, enthusiastic: -0.311959691707
indigent, reversed: 0.227921678397
broad-based, culpable: 0.0
complacent, testy: 2.87620537812
inestimable, inflexible: 0.226094318243
affirmative, celebrities: -0.197307767599
regardless, terrorized: -0.033655690853
heart-warming, wack: 0.0
daft, leading: -0.00655751395
meaner, pretend: 1.49705941238
ecological, well-suited: 0.0
a, utilized: 0.0
bonnie, multi-layered: 0.0
shitty, subdued: 0.547381720601
announced, talented: 0.136724233758
happiest, heartfelt: 2.12655027833
bygones, remediated: 2.06276845353
cleverer, wicked: 1.89923700465
enough, spent: 0.350329985326
johnny, savage: 0.704450314153
challenging, praiseworthy: 1.9402649114
enabled, general: 0.098223107448
shut, valid: 0.524924546422
cuter, unprotected: 0.28762030615
improvement, strongly: 0.988049200301
prodigious, usually: 0.778001951846
experienced, grieved: 1.83843085741
authorized, junior: -0.409482887618
overflowing, well-designed: 0.0
anywhere, harmonised: 0.0
really, shortest: 0.522623129382
erected, respectable: -0.305726460895
shifty, undetermined: 0.611614083181
lengthy, potential: 0.690286699168
fifty, novel: 0.315423505476
nascent, restrictive: 1.3812994504
-lnteresting, justification: 0.0
manifest, peculiar: 2.28561618431
active, conventional: 0.918171298867
afresh, maximal: 0.364244430682
conscientious, sing: 0.304422206291
crushed, unharmed: 2.67873811306
dodgy, whassup: 0.934077021473
defined, slender: 0.206727736192
perfectly, thriving: 1.19882310812
fully, infrequent: 0.343876739851
different, energy-efficient: 0.0
illustrative, sure: 0.103504023941
affected, repeated: 0.423169498909
repelling, self-sufficiency: 0.0
average, worst: 2.16162938642
change, unfriendly: 1.68471031467
imrtant, yourself: 0.0
clearest, peachy: 1.75352580498
disparate, shortly: -0.255921171912
well-placed, willing: 0.0
safest, underway: -0.303969098807
gorgeous, most: 0.66552570614
up, wrongful: -0.090123941779
cheery, undisputed: -0.159456908838
-surprised, owned: 0.0
uppermost, working: 0.56788425174
indecent, overly-high: 0.0
nonexistent, tailored: 0.711050167966
listed, uptight: 0.152750284329
circumneutral, dark: 0.0
enhanced, lively: 0.644965198587
transnational, year: 0.133356186337
invaluable, joyful: 0.759034358664
homicidal, insufferable: 3.40440952909
identified, owned: 1.54485886543
costlier, wide: 0.004087901108
good-iooking, ineffectual: 0.0
value, whilst: 0.787257002767
another, thorough: 0.23519465495
cheerful, tempting: 1.82297254742
breathtaking, modified: 0.070192416649
solidarity, thrilling: 0.386322299665
all-round, intolerable: 0.0
attended, unaffordable: 0.466282753461
snappy, tolerated: -0.21376795799
trained, underfunded: 1.79854500208
discriminatory, lead: 0.057112279155
drunk, galore: 0.234274250557
comprehend, tiring: 1.16945134936
fluid, lower: 0.493590144601
bolder, impartial: 0.875213910223
mandatory, presumptuous: 0.831265768114
overridden, scared: 1.43352535946
inappropriate, objective: 0.66223661781
cruel, laddie: 1.28741449861
looking, rampant: 0.202358591025
concise, manifold: 0.153350514909
designated, severe: 0.609285559688
wealthier, with: 0.289733681381
hairy, receptive: 1.17016522739
due, marginalized: 0.638793732097
controversial, know: -0.013132350969
growing, sweet: 0.77372518304
flawless, respectful: 1.20908290109
1st, worth: -0.129387417482
briiliant, conscious: 0.0
palatable, question: 0.511346789475
disappointed, grieved: 3.95498135469
courrier, shielded: 0.404617980405
level, operated: 0.035014525041
tepid, unknown: 0.913239237387
pissed, underdeveloped: 0.725541087553
handed, thirteen: 0.753384413735
expedient, laborious: 2.29505905465
mid-, nearly: 0.0
commenced, sell: -0.08827122899
crushed, southwestern: 0.784780019444
formerly, minus: -0.045681357553
instructive, worded: 2.30895755109
any, knackered: 0.045297621482
safest, unremarkable: 0.985423856493
overburdened, viewable: 0.464722926022
aging, typically: 1.07773348905
obsolete, propitious: 1.48584870138
breathtaking, poorest: 1.26675725221
increasing, infeasible: 0.682081760951
immense, unreliable: 1.06030602812
dismal, minimal: 0.609930435314
interested, psychotic: 0.680028732463
safeguarded, transparency: 2.04864173276
organised, refundable: 0.0
kiddo, reasonably: 1.05114317628
nationwide, negligible: 0.716878664827
rock-solid, thick: 0.0
dense, grotesque: 1.44003746564
annoying, spectacular: 1.00797305416
felt, growin: 0.70093209857
relieved, user-defined: 0.0
exhausting, firstly: 0.3906125668
doctor, uncomfortable: 1.31236617166
berserk, blurred: 1.5363071943
boring, insured: 0.129895994637
pretty, upfront: 0.993661409563
either, precise: 0.418818918599
there, usual: 0.977097078827
cordial, pleasant: 4.63714988855
scant, swift: 1.69591410478
longitude, requested: 0.917182494165
issued, provision: 1.10388267022
immense, prior: -0.228251352318
on-going, romantic: 0.0
doing, pushy: 1.31317045366
risky, rogue: 2.09226607729
industrialized, outside: 0.56755449044
preponderant, principally: 1.81857853755
iittle, repulsive: 0.0
rarest, upset: 0.260323827156
preferable, rigorous: 1.24536583479
asshole, installed: 0.054814700774
l, mature: 0.133349773982
principal, state-run: 0.0
disgusting, lightweight: 0.185200184276
considerable, good: 1.41638871641
fucking, sealed: 0.760877243942
great, spoilt: 0.0
ravishing, swift: 0.967499674139
associated, largest: 0.906777543314
fraudulent, irritated: 0.600501164543
korean, profane: 0.918928101783
newborn, unnecessary: 0.627759896832
formal, indigent: 0.352912242284
stay, unanimous: 0.847729631494
geographical, sure: 0.543697783088
harder, useable: 1.1465004483
application, simple: 0.902269974761
progressive, single: 0.703487731611
