overpriced, worldwide: -0.012479891156
solemn, well: 0.295927324735
proficient, ridonc: 0.0
afterwards, following: 1.1788096194
dotty, first-rate: 0.0
blameless, obliged: 2.54513743639
below, mean: 0.721371094419
non-compliant, weird: 0.0
nosey, th-that: 0
regulated, stronger: 0.95273329466
concrete, turbulent: 0.206088042435
advisable, weird: 1.21225328872
deposited, under-funded: 0.0
il, personally: 0.245541412414
naturally, self-supporting: 0.0
marginalized, removed: 1.16056706556
deader, regulated: 0.852845265056
berserk, corrupt: 1.25616493067
improvement, insensitive: 0.060974546077
stifling, superstitious: 0.718323838325
devastating, diseased: 1.21490052987
rampant, succeed: 0.743395049646
annulled, appropriate: 0.114459683215
hope, weaker: 0.472776610379
ecological, older: -0.208151556099
traded, weii: 0.0
thicker, trained: 0.242987742891
sure, wait: 1.68163599425
infamous, radiant: -0.244782659309
doubled, friendly: 0.083900811227
cozy, still: 0.669253168741
paradoxical, variable: 1.78043472045
entrenched, jeopardized: 0.970626600316
strict, vigorous: 1.95684355965
long-lived, proactive: 0.0
flexibility, holier: 1.13914127632
back, classy: 0.897697298828
comforting, prestigious: 0.294866124254
distinctive, redeemable: 1.3201088515
heart-warming, processing: 0.0
acceding, rarer: 0.341280132645
absolute, thankful: 0.492122184487
misleading, younger: 0.106310514949
fuller, inexhaustible: 1.19122985446
herein, orderly: 1.0484731939
slow, sour: 2.2056258904
cumbersome, sufficiently: 1.00732645281
similarly, talkative: 0.99860728629
safe, strictest: 2.46579264612
recognizing, speaking: 1.53170867702
fruitful, preposterous: 1.51592069562
antiquated, really: 0.637616590281
dead-on, violated: 0.0
clinically, outdated: -0.070335051426
broke, gorgeous: 0.117550500837
stunning, wasted: 0.762292145865
honest, unspeakable: 1.3868745981
booming, modified: -0.26182489311
hurry, other: 0.431298212628
appropriate, syrupy: 0.390923530269
close, multidimensional: 0.251334368586
profitability, thankyou: 0.125069038133
hiv-infected, inadequate: 0.0
heart-warming, non-discriminatory: 0
main, shot: 0.366809741758
extensible, relaxed: 1.60875769906
durable, headstrong: 1.25155573432
authoritative, fuller: 2.27428909672
insincere, unnatural: 2.35423913576
satisfactory, unknown: 1.00447961412
stern, well-designed: 0.0
painless, upfront: 2.20036523698
crazed, watchful: 1.29170668724
foxy, weary: 1.37864522658
delicious, specialized: -0.003436105962
commonplace, lacklustre: 0.0
equivalent, term: 0.583185737149
delighted, inadmissible: 0.470213901858
everyone, lengthy: 0.434305186348
cold-rolled, well-positioned: 0
pale, serene: 2.86925550473
comprende, unsatisfactory: 0.421885161289
energy-efficient, lacking: 0.0
note, pronounced: 0.707736518074
mentioned, reported: 2.43424508193
mature, viewable: 0.284338066144
permissible, queer: 0.515286927609
culturally, wonderfui: 0.0
abundant, fitting: 0.419861098472
demanding, to: 0.0
cheaper, cost-shared: 0.0
drunk, frightening: 1.9360913707
frozen, startled: 0.569519792588
coarser, pivotal: -0.822010444503
forthcoming, shot: -0.05804616268
bad-ass, cabbage: 0.0
enlarged, ruthless: 0.180906146208
humiliated, telling: 1.71837964205
gigantic, snarky: 0.874906428369
hunger, lucrative: 0.279810782788
bummed, pro-poor: 0.0
executory, myself: 0.039782144451
abreast, far: 0.152240616814
myself, occurring: 0.18955468534
sincerely, warmth: 1.44142290603
copacetic, sugary: 1.63652299552
marketed, regular: -0.260876803276
proceed, ripe: 1.14301843863
resilient, self-sufficiency: 0.0
gutsy, sing: 1.21169565116
irritating, thinner: 1.20320675179
especiaily, gloomy: 0.0
interwoven, unpleasant: 1.55399504177
nationwide, pleasant: -0.362660123119
barmy, current: 0.498750638344
darling, hence: 0.636609639328
giant, round: 0.565268016662
affected, freedom: -0.218418893886
recognizes, southeast: 0.461164591236
selected, unspeakable: -0.695862158893
impolite, unendurable: 2.05019658873
allowable, hardto: 0.216126732473
adapted, alert: 0.903849248566
incomplete, negligeable: 0.0
justified, laddie: 0.3602713338
slow, yet: 0.848224945741
neglected, peculiar: 1.33084194815
contemplated, invalid: 0.907108418526
kidding, untraceable: 0.290551851654
afresh, probably: 0.627353195582
dead, launched: 0.276356272601
informative, scared: 0.424556335957
aggressive, fairer: 1.32708471516
mainly, wounded: -0.040116549026
horseshit, max: 1.89712145413
frail, french: -0.14797514434
counterfeit, over-optimistic: 0.0
costlier, hiv: -0.046370226286
partially, sustained: 0.990362641392
first-hand, smoother: 0.0
alien, dispersal: 0.81600957928
acquainted, humane: 0.723521107391
inconsequential, partially: 0.2265066401
short, well-coordinated: 0.0
fabulous, pointless: 1.03423551528
controlled, de-insured: 0.0
prestigious, typically: 0.266525292697
disposal, innumerable: 0.322446047482
able, foolproof: 0.729527112995
elegant, gifted: 2.11504506074
discretionary, felt: 0.842108522096
awake, pre-published: 0.0
creditable, unbelievable: 1.63511724408
novel, unspeakable: 1.77173036442
afflicted, ill-treated: 0.0
missing, well-served: 0.0
helpful, primordial: 0.156849115286
accused, jurisdictional: 0.241299027087
black, sexy: 1.39147119243
geographically, insupportable: 0.808387354061
elle, quickest: -0.466071943144
moot, swift: 0.831619798578
flavorful, steady: 1.02685349686
disputable, self-sufficiency: 0.0
corresponding, retail: 0.723411427411
sharper, trusted: 0.287304091708
heard, scattered: 1.24022657392
deplorable, well-paid: 0.0
hereby, scant: -0.107140329099
here, immutable: 0.534975491518
brighter, goal: 1.12839462603
happier, tentative: 0.649803790135
growing, inevitable: 1.16212196468
important, outrageous: 0.823247904164
intelligent, interwoven: 1.37228753493
factored, redundant: 0.946994619727
countless, teeny: 1.26826163841
dangerous, shy: 0.902179406314
regrettable, unsuccessful: 1.68081594985
forward-looking, omnipresent: 0.0
captain, northeastern: 0.342622913873
n'tunderstand, respectful: 0.0
high-ranking, unaffected: 0.0
economical, loving: 0.925409726368
incompetent, narrow: 0.090804576475
characteristic, obscene: 0.75178601898
coordinated, spatially: 1.62271596881
endangered, preferred: 0.671327101847
discrete, dormant: 0.94349393658
professionally, strongly: 1.53428982646
undeniable, undisputed: 3.13807900206
brainless, monitored: 0.281648497293
initially, oldest: -0.014375436426
canceled, troubled: 0.921645023573
flavorful, use: 0.137716379007
fuzzy, vis-: 0.0
earliest, upright: 0.962595869422
danger, sustainable: 0.819689047296
brisk, succeed: 0.28333752197
obligatory, time: 0.551670050806
unhealthy, various: 0.998980014392
dispersal, sound: 0.211202322144
contentious, fun: 0.459784864705
extinct, serene: 0.732837085331
breathtaking, multi-disciplinary: 0.0
consideration, light: 0.72669425002
expensive, readable: 2.22289170096
delineated, understandable: 1.13073347419
elusive, vibrant: 0.851549552611
celebrated, tenable: -0.007261703204
fast-growing, shorter: 0.0
inexhaustible, personalized: 0.506283749643
charged, industrialized: 0.579815538981
jeopardized, serious: 1.24726609132
consideration, diminished: 0.802351732568
apart, intertwined: 1.96118972559
gotta, inconsistent: 0.652383408013
salutary, unjust: 2.44347444436
chubby, professionally: 0.146209843007
better, yes: 1.15321581327
created, surreal: 0.835686270844
headstrong, moreover: 0.640484385404
multidimensional, symmetrical: 1.9002292408
structured, well-established: 0.0
blank, victorious: 0.206179438704
lower, switching: 0.996060684685
inexhaustible, thick: 0.621769800202
introduced, prettier: 0.864647845104
girlie, rock: 1.45294065015
conservative, real: 0.537569249096
collective, defensible: 0.76210607672
culpable, served: 1.22655037365
fascinated, unforeseeable: 1.09759236272
firm, uncertain: 0.483734321234
agreement, exemplary: 0.480927384212
inadequate, thank: -0.23055756943
generalized, well-lit: 0.0
a, solid: 0.0
anywhere, larger: 0.609750357871
overheated, unsafe: 2.47245956418
delighted, unitary: 0.416123036462
disabled, uncanny: -0.064963909111
arranged, illusory: 0.353842754131
multi-disciplinary, restored: 0.0
amended, estimated: 1.18648433538
huh, roll: 1.34393834082
anyway, smarter: 1.73358175965
considerate, curious: 2.09222798915
serene, spectacular: 2.99644917471
academic, ah: -0.116765241193
pro-poor, thanan: 0
exhausting, involved: 0.942798632663
hurry, right-handed: 0.0
classical, concluded: 0.256633714916
available, harmless: 0.697412902062
abolished, testy: 0.153804771741
ping-pong, thorny: 0.0
substantiated, unwise: 1.09630498174
classified, expressed: 0.535870598173
briiliant, volatile: 0.0
innocents, unprecedented: 0.418121444961
non-binding, stifling: 0.0
ioaded, undemanding: 0.0
frank, violated: 0.528580622341
possibly, safest: 0.6452373006
non-competitive, sleepy: 0.0
detrimental, ecologically: 1.6700123385
fatal, foolish: 1.36057782397
angry, stocky: 1.40746906194
completely, wack: 1.11789518854
normal, upset: 0.248077810263
coherent, cuter: 1.44797178354
another, vice-chair: 0.0
copacetic, pristine: 2.86256843781
pale, suck: 1.2021445781
oversensitive, thrilling: -0.169609457281
finicky, wide: 0.415550469394
reinforcing, switching: 1.25171411396
primary, state-owned: 0.0
courageous, industrial: -0.193570623697
environmentally-friendly, overall: 0.0
about, traditional: -0.076909920211
bottled, sincerely: -0.236932118986
advisable, simplified: 0.820823807105
classified, well-organised: 0.0
dead, insolent: 0.920239283904
cost-shared, undeveloped: 0.0
low-skilled, tabled: 0.0
all-encompassing, disappointed: 0.0
permissible, shipshape: 0.080747726797
brief, handy: 1.02399896283
nigh, sale: 0.790639832817
cultural, unsteady: -0.165292258502
defenseless, thriving: 1.10998563281
conducive, momentary: 0.839643758219
nascent, thrilled: 0.656588585591
dual, fuzzy: 0.767645499008
fried, imperative: 0.028757728153
improving, north-west: 0.0
becoming, meager: -0.141635276396
misleading, supplementary: 1.25923984758
forgotten, generalized: 0.570894406841
anomalous, smart: 0.134925896316
cheaper, truly: 0.236360288623
associated, smoother: 0.554331394874
commercial, illustrative: 0.565526897889
mesmerizing, reckless: 1.09748709293
accustomed, hypersensitive: 2.3436431528
charmed, stricter: 0.260442422004
freaky, rampant: 1.27700506614
comparable, nearest: 1.82063169796
co-ownership, maximal: 0.0
formerly, practice-oriented: 0.0
demented, somewhere: 0.869153834404
needless, unreasonable: 2.77264801287
disadvantaged, part: 0.50198475398
routine, taken: 0.544819850355
given, self-employed: 0.0
impressive, marked: 1.13461507944
exciting, ominous: 1.93127524936
diseased, fiercer: 0.69945985312
elegante, mideast: 0.0
agreeable, quickest: 1.33403281868
3rd, drunken: 0.508187320295
sufficiently, syrupy: 0.552955645237
temporarily, weii: 0.0
dismal, rather: 0.484775877783
freezing, self-conscious: 0.0
co-operative, provision: 0.0
spent, thought-provoking: 0.0
informal, uneconomic: 0.795657421282
eccentric, noticeable: 0.562296039322
european, warmest: -0.125415711841
thought-provoking, weighted: 0.0
incapable, necessarily: 1.62239211904
mainstream, moody: 0.610015441023
five, pro-poor: 0.0
disabled, usual: -0.505960998786
cranky, uniformed: 0.444288141896
unoccupied, with: -0.077922036583
non, peculiar: 0.427329796413
favourable, sappy: 0.0
becoming, flame-retardant: 0.0
five, warmest: 0.649917559457
incongruous, onboard: -0.221092688804
louder, short: 0.219151599766
deceptive, well-respected: 0.0
thick, uptown: 0.78886239498
fixated, vice-chairmen: 0.0
etcetera, extensive: 0.690704667165
tighter, too: 1.27934809561
comprehensible, hands-on: 0.0
gravest, someday: 0.706344277947
complicated, ludicrous: 2.14604927278
satisfied, seamless: 1.96883513925
him, wider: 0.451635414942
intertwined, mysterious: 2.01228704435
launching, well-managed: 0.0
controlled, inexpensive: 0.594806895593
constructive, encompassing: 1.0698768469
categorical, utopian: 1.40730795038
total, unproblematic: 0.263071994137
dotty, heterogeneous: 0.967563572339
peculiar, socio-economically: 0.0
ineffective, sensitive: 0.931315187873
determinable, disrespect: -0.480778737526
smooth, sudden: 1.53191970702
belligerent, humiliated: 3.10122909442
clueless, fourth: -0.28316819092
impressed, pointless: 0.578965511903
contained, sacrosanct: 1.4314976056
experienced, foolproof: 0.044960454006
co-chairperson, engaged: 0.0
thanan, treble: 0.0
il, internal: 0.462707278833
foutu, regular: 0.0
buoyant, high-availability: 0.0
adapted, endangered: 0.838999144449
done, threaded: 0.255791821741
life-threatening, work: 0.0
mimi, widest: 0.050955127071
official, prick: -0.352070967643
abundant, interrelated: 1.19862385863
cruellest, marvellous: 0.0
burned, justiciable: 0.196703758511
inevitable, mainly: 0.848063314212
continual, horrendous: 1.45291676394
provided, third: 0.383244354691
19, gender-neutral: 0
achievable, labour-intensive: 0.0
compact, essentially: 0.658033432487
certainly, precious: 0.945974005534
direct, primarily: 1.50629614106
aggravated, weakest: 1.02068791094
sacrilegious, transparent: 1.19807200384
first, state-funded: 0.0
sicker, stale: 2.28750575852
advisable, inhumane: 1.37897782682
afraid, multi-ethnic: 0.0
legality, spectacular: -0.302433078388
automatic, disappeared: 0.461335222504
scared, unanswered: 0.925811978884
disappointed, do: 1.49140973515
extremely, onboard: 0.918093308051
ample, deadly: 0.296026839462
progressive, scanty: 0.325769339865
batty, unendurable: 1.99828144371
impressive, simplest: 0.816426421996
armed, laudable: 0.147094746978
marvelous, practically: 1.41430590374
condescending, unsteady: 1.35192727892
despicable, respendable: 0.0
abysmal, experienced: 0.906855095385
adamant, sufficiently: 0.809715327955
longer, receivable: 1.07018447882
anything, geographical: 0.047360829701
dim, formed: 0.110816904412
reyes-torrena, scalable: 0.0
oral, unconventional: 0.577896622512
grateful, suck: 0.716516589863
ok, well-placed: 0.0
dying, info: 0.196540138763
shallow, truth: 0.973321058693
misused, observant: 0.548324391786
unspeakable, with: 0.386254561669
girl, rarest: 0.807603980961
debated, superfluous: 1.0671740347
alia, otherwise: -0.042704068901
capable, pale: 0.612301533231
realist, welcomed: 0.496934274818
smarter, starker: 2.21713887006
actual, soaked: 0.369090420006
very, wholesome: 0.969030165596
extirpated, improving: 0.355441331455
liable, moronic: 1.52760866297
applied, relieved: 0.966487267319
grass-roots, unwelcome: 0.0
broader, hungry: 0.281921204119
donkey, rewarding: 0.541516252322
astonishing, pissed: 1.09524786898
matched, prohibitive: 0.336031850288
divine, sexy: 1.95692291775
laughable, subsequent: 0.653988884236
evey, freer: 0.239753634141
accurate, treaty: 0.574125860503
clear, fatal: 0.669139140202
-ready, arguable: 0.0
intolerable, luminous: 1.04997502892
asleep, rare: -0.325765814788
primarily, tenable: 0.091066153118
able, wretched: 0.151959680356
commercial, pivotal: 0.336020064424
elsewhere, obsessed: 0.330432099202
autonomous, suited: 1.25764985719
monumental, repelling: 0.756883178088
colder, workable: 0.745912285098
self-governing, tasteful: 0.0
afresh, schizo: 0.49002260358
overwhelmed, unsavory: 0.212727247017
minimal, warm: 0.736750452784
deadly, expedient: 0.689851470097
anonymous, underfunded: 1.12585800389
massive, spent: 0.401474746892
juvenile, reported: 0.428277143947
consequential, ridiculous: 0.875509177425
overloaded, today: -0.188118763329
accessed, likely: 0.143345238198
unspoiled, wider: 0.390499052898
seminal, well-defined: 0.0
listed, powerless: -0.600179069305
solemn, truer: 1.64749143756
hope, rebatable: 0.0
incidental, something: 1.1907600346
craze, systemic: 0.212500629925
decent, spotless: 2.17163490945
afresh, south: 0.097719251649
kinda, trusted: -0.018619145692
iil, straight: 0.0
liquid, monitored: 0.881708629666
unwell, weii: 0.0
trusted, uniform: 0.654048856805
a, mediocre: 0.0
becoming, sincerely: 0.417318236476
careful, installed: 0.648983809324
maximum, unfit: 0.221720497894
across-the-board, proud: 0.0
addition, handsome: 0.107623271448
safest, unprepared: 0.81485713384
religious, south-east: 0.0
depressed, n'tunderstand: 0.0
acquired, around: 0.336142768424
current, remarried: -0.340506401101
inadequate, rash: 1.04537856566
grim, superior: 0.507979644923
all-out, moister: 0.0
finicky, squat: 0.863378215668
come, mobile: 0.451391587967
cherry, urgently: -0.310559554522
adjacent, manufactured: 0.892165156002
administered, disputable: 1.10682091501
truth, unwarranted: 1.14540936077
brilliant, elegante: 0.0
glad, retail: 0.173033788443
common, ecologically: 0.116398332689
internal, visual: 1.06604239598
timelier, two-thirds: 0.0
but, romantic: 0.4841581335
abusive, non-partisan: 0.0
blatant, justified: 1.9064969006
hurtin, increasingly: -0.31076908554
celebrated, insufferable: 0.355469044076
happened, socio-economically: 0.0
impressed, overkill: 1.06677564805
astounded, individual: 0.197811554004
unambiguous, unfilled: 0.188591441351
tepid, yellow: 0.727366098015
beloved, western: 0.555465871139
crushed, structured: 0.180734703714
actually, multicultural: 0.123576783687
marked, well-organised: 0.0
cohesive, fatter: 1.03353005002
action-oriented, homicidal: 0.0
dirtier, fairest: 1.42367007657
bad-ass, fixated: 0.0
scarce, yo: -0.432230926097
gracious, trained: 1.19084581185
steep, very: 0.609823285867
cheesy, coordinated: 0.595512155299
persuaded, stated: 1.36080688543
one-sidedly, so-called: 0
eligible, fewer: 1.81668136482
admissible, yo: 1.16196689223
clear-cut, terse: 0.0
rubbish, weary: 0.799486975804
meagre, unpublished: 0.0
immeasurable, panicked: 0.188833292896
apt, politically: 1.26460705848
hateful, imperfect: 1.5763682007
environment-friendly, moderately: 0.0
nonsense, viable: 0.52454501131
destitute, fried: 0.813190092827
disputable, sixteen: 0.876571800148
-just, temporary: 0.0
intelligent, protracted: 0.525634480682
absent, everyone: 0.155802376291
mostly, unfounded: 0.568460185334
breathtaking, industrialized: 0.851424398307
a-okay, spontaneous: 0.0
darkest, unfeasible: 0.357944583662
princess, warned: 0.069520280543
indefensible, successful: 0.237159324763
in, oriental: 0.413142447419
inefficient, livid: 1.80080092932
recheck, well-organized: 0.0
constant, variable: 1.52128914842
disruptive, mistreated: 1.77392676878
generic, liquid: 1.16954029136
life-threatening, obtainable: 0.0
effectiveness, ever-changing: 0.0
cabbage, junior: 0.206263703652
manifest, pleasing: 0.870865968944
hope, huge: 0.827562352804
high-availability, sustainable: 0.0
loud, vegas: 0.627093332784
accuracy, unaltered: 1.15568588102
perplexed, relative: 0.549510020837
constant, stricter: 0.971048552592
all-encompassing, unlawful: 0.0
life-long, lunatic: 0.0
hiv, southeast: 0.667957036004
additionally, simpler: 0.152384620677
blow, major: 0.962968976269
early, traumatic: 0.65107482525
impossible, public: 0.50255195667
frazzled, inclusive: -0.176720051677
etc, northern: -0.325858405272
customized, discernible: 0.100665015548
all-important, flourishing: 0.0
laborious, misleading: 0.809088462587
dreadful, grievous: 3.3360187497
fuzzy, self-employed: 0.0
for, obstinate: -0.008431017662
opposed, recently: 0.216440599447
irregular, shut: -0.129004506851
stupid-looking, west: 0.0
greedy, unitary: 1.13249778104
skeletal, well-deserved: 0.0
ail, remarried: -0.321848959249
improbable, odious: 2.66941384467
inter-connected, soothing: 0.0
illogical, meaner: 0.904050329745
contained, fortunate: -0.218636150315
high-cost, iovely: 0
misguided, shameful: 3.25045094775
optimal, treble: 0.924317468573
delicious, fraudulent: 0.508157956937
legible, selective: 1.56179842562
disturbing, thought-provoking: 0.0
promptly, self-sufficiency: 0.0
cross-border, disrespect: 0.0
3rd, middle: 1.29016821824
nearest, surely: 0.596069693224
finer, profound: 1.32439841887
self-governing, substantive: 0.0
!, called: 0.0
emerging, nothingg: 0.0
arming, gaunt: 0.476456658665
inter-dependent, protracted: 0.0
sizable, smokin: 1.09045358196
co-operate, prominent: 0.0
recent, underprivileged: -0.231759981677
emblematic, rationalized: 1.06340686958
fluent, qualified: 2.95911272194
delightful, mixed: 1.12616769561
donkey, propitious: 1.05506787549
horrific, maximal: 0.056765058127
fantastic, raison: -0.016624408803
built, tabling: -0.008817180508
imperfect, polluting: 0.707011953247
cowardly, praiseworthy: 2.46318547122
contestable, unsafe: 1.17494244814
adjacent, disappeared: 0.261789849465
persuasive, seminal: 1.57707716997
assured, sufficient: 1.6555747251
glowing, tardy: 1.25923259256
prolonged, written: -0.065676480481
arming, shallow: 0.187741852921
frightful, jolly: 2.89821040724
foremost, patient: 0.59058702323
cher, microscopic: -0.622610463822
pathway, puzzling: 0.641075654357
first, pro: 0.587289024027
heartfelt, simply: 0.707281304078
callous, palatable: 1.51814135696
preferable, weakest: 1.24133214793
further, slim: 0.692812273278
adamant, dependable: 0.915919828847
contemplated, engagement: 0.322715503238
legitimate, switching: 0.770426522797
accomplished, multi-layered: 0.0
democratic, remarried: 0.900655214133
dependent, screwy: 1.85432177186
minimal, wealthiest: -0.303601076115
merry, rather: 1.08555148254
fancy, progress: 0.101497618738
far-ranging, pricey: 0.0
predominant, wonderful: 0.641355726119
good-iooking, happy: 0.0
overflowing, stiff: 0.581828837281
diligent, pray: 1.16895350831
persuasive, sixth: -0.309530301923
fifty, inconsiderable: 1.27670124874
ignored, stupid-looking: 0.0
adequate, impenetrable: 1.49038958604
equal, opening: 0.240523927411
beneficial, impossible: 1.79571748392
individual, innumerable: 1.53405386195
fragile, overall: 0.976226962795
sacrilegious, undignified: 4.33936572053
n'tunderstand, non-compensatory: 0
attentive, ethical: 1.82077409017
long-standing, wreckable: 0
boy, re-routed: 0.0
above-board, strict: 0.0
armed, horny: 0.715912691188
related, symmetrical: 0.181879362905
grouchy, lousy: 3.48686868687
finite, treated: 0.155120438519
contemplated, every: -0.115851830159
grand, self-aware: 0.0
practicable, stranger: 0.118813460188
understandable, written: 0.75834850336
marvellous, tonight: 0.0
intended, straight: 0.057764417905
exciting, productive: 2.61124811604
seropositive, specific: 1.17615963102
ah, rescinded: -0.016289007075
damp, refreshing: 1.50128247929
clueless, multicultural: 1.20950495024
naturalistic, substantiated: 1.77645648636
hardto, streamlined: 0.30258618247
hlv-positive, unfortunately: 0.0
self-sustaining, untraceable: 0.0
irritable, net: 0.10944458325
non-competitive, omnibus: 0.0
trained, well-reputed: 0.0
miscellaneous, secured: 0.839819496027
created, technology-neutral: 0.0
brighter, ten: 0.761975207659
debate, worrisome: 0.735860141421
self-conscious, shy: 0.0
all-round, heartbroken: 0.0
executory, franco: 1.3513256205
hurtin, milder: 1.09510046221
generalized, inhumane: 0.940481049286
deader, luck: 2.20157326529
cooler, demented: 0.725835058837
hunger, settled: 0.084300293572
sized, value: 0.945894781209
all-round, rational: 0.0
shared, ugly: 0.085728400161
impolite, insolent: 5.04637237415
drunken, infected: 1.23321061472
inaudible, non: 0.630106328502
distinct, lackluster: 0.768511631015
aforesaid, sick: 0.08825756033
deliberate, flourishing: 0.011703002784
adaptive, harmless: 0.421300020708
belle, opportune: 0.431150706625
acknowledging, painful: 1.28530264155
guaranteed, indigent: 0.617829618009
built, excited: 0.786149185708
launching, polite: -0.343266683598
initial, large-scale: 0.0
consolidated, mid-: 0.0
explosive, open-minded: 0.0
ludicrous, vast: 1.28930248338
assertive, listed: -0.339096004205
admiral, dumb: 0.68116058881
inconsequential, optional: 1.44431228951
complicated, rarest: 0.841020894027
arguable, rigorous: 1.11227330021
counterproductive, founded: 0.276655387897
although, mortal: 0.462631363787
alarmed, intact: 0.066620567698
daunting, franco: -0.798832123077
coordinated, fit: 0.553726809518
carsick, wish: 0.841228869284
2nd, premier: 0.438406790471
scandalous, simillar: 0.454722931753
puny, wished: 0.139905053363
commitment, morbid: -0.694458677891
current, improbable: 0.517411874741
crazy, negligeable: 0.0
asinine, legally: 1.30561736073
astute, breathtaking: 1.89610645245
confrontational, dickish: 2.23046239326
called, middle: 0.268001766358
calming, recognizes: 0.229979359335
brightest, prescribed: -0.090686770408
bleak, perfectly: 0.596534684252
long-winded, unsustainable: 0.0
optimistic, polished: 1.49136880704
dependable, elite: 1.04037122197
cheapest, preceding: -0.198160987029
dim, minus: 1.33243997165
life-threatening, met: 0.0
illiterate, thirteen: 0.746436790586
non-transparent, true: 0.0
comforting, raison: 0.484148156702
marvelous, single: 0.458222968461
doable, interactive: 0.703222248616
continual, misguided: 1.46436560565
flattered, progress: 0.404275238666
grass-roots, sustained: 0.0
commended, open-ended: 0.0
bizarre, boring: 2.41818768071
horrible, opposite: 1.68285357045
fluid, tolerable: 1.21174236201
flexibility, in-house: 0.0
finer, motherfucker: 0.474491349752
absent, nicer: 0.44142457863
goal, upset: 0.739955045959
awaken, scandalous: 0.567243467673
degraded, mieux: 0.767265826768
gravest, reality: 0.972219839359
southeastern, understandable: 0.071070822784
attractive, henry: 0.179809702612
harder, truly: 0.728963810256
efficacious, purty: 0.457042049753
groundless, outgoing: 0.239969157686
about, unharmed: 0.11472000855
all-round, deeper: 0.0
ill, poor: 2.63959806578
extra, truthful: -0.209813776197
prevalent, unwholesome: 2.13314807902
flaccid, obvious: 1.71141943031
earliest, perfectly: 0.413476458335
dull, sufficiently: 0.628775836836
mentioned, these: 1.19024851878
greatest, stipulated: 0.211836876528
in, pure: 0.333929282163
open-minded, thinner: 0.0
apparent, oral: 0.587854674119
brainless, called: 0.704188264341
momentary, stand-alone: 0.0
uncompetitive, well-respected: 0.0
crippled, elite: 0.746057316761
heterogeneous, weii: 0.0
corresponding, responsibility: 0.841475190097
defunct, rare: 0.097594931543
constituted, inconspicuous: 0.283343235937
fruitful, starved: 0.174465108357
minus, untapped: -0.142292592612
faster, scared: 1.11566222318
guilty, worthless: 2.17063442552
fourteen, worrying: 0.387591750619
bright, gender-neutral: 0.0
empty, subtler: 0.66725245382
daft, lonesome: 1.54786439656
issued, junior: -0.113052482866
stupide, use: 0.0
evening, noted: 0.136139328563
childish, disconcerting: 2.39393062846
liquid, senseless: 0.071248643208
3rd, gutsy: 0.452136142223
fewer, wealthy: 0.672512149242
overdue, poisonous: 0.592742522481
choosy, negative: 1.18079771191
destitute, yummy: 0.46290037754
exhaustive, testy: 0.923632367894
developed, nearly: 0.12342602555
intimidating, optimal: 0.823048153326
home, stunning: 0.880687149044
extirpated, helpful: -0.379179907631
orderly, sudden: 1.52439588858
ironic, scattered: 0.478308146946
rarely, resident: 0.393646686496
greater, on: 0.331455820627
improper, remediated: 1.33626327823
administered, justified: 1.79155338285
innovative, launched: 1.88203023856
raison, specified: 0.461024457959
green, tabled: 0.358069718098
subsequent, unsolved: 0.754053906299
cold, fruitless: 1.07115845052
technology-neutral, unequivocal: 0.0
inclusive, pricey: 1.01633556915
shiny, somewhere: 0.73899624325
exclusive, fraudulent: -0.064501858507
booming, meritorious: -0.676697964239
no, reasonnable: 0.0
intermediate, rich: 0.242949315873
considerably, enthusiastic: 0.591419422157
acquired, reciprocal: 0.939115729152
imrtant, representativeness: 0.0
busy, influential: 1.42700395659
apace, unitary: 0.757321845844
dedicated, underlying: 0.23904902038
forever, frustrating: 1.47101751058
consultation, enhancing: 0.923035584484
agreed-upon, nigh: 0.0
indecent, last: 0.427066823415
structured, uncomplicated: 2.10018761929
multi-dimensional, perplexing: 0.0
part, scarce: 0.362901824474
etcetera, lunatic: 1.39642665386
alternate, contained: 0.003957007281
groovy, non-discriminatory: 0.0
advertised, reimbursable: 1.53975009311
meaner, yourself: 0.898890873884
rewarding, unresolved: 0.41298738002
unanswered, vice-president: 0.0
entertaining, pro-choice: 0.0
acceded, darkest: 0.172093082525
iate, impaired: 0.0
ah, already: -0.0480491729
near, off: 1.22621652905
eleven, overdue: 0.083369105396
fifty, injurious: 0.415186480426
celebrities, pushy: 1.78247862217
crushed, finite: 0.135721961555
aforementioned, sacrosanct: 0.552900293614
overall, preliminary: 1.32905640333
absent, export-ready: 0.0
persistent, prevalent: 2.61033810987
notable, odious: 1.7282216547
indispensable, shipshape: 1.87535666077
accelerating, coordinated: 0.923376576462
later, original: 1.32641078229
orderable, understand: 0.649057279821
abundant, okey: 0.445121383734
chosen, unsuitable: 1.32702140237
rotten, thirds: 0.8576304624
faint, french: 0.359734606586
helpful, hiv-infected: 0.0
battered, long-winded: 0.0
attentive, easy: 1.37665556806
droll, increased: -0.478805445351
masterful, palatable: 1.7489302404
accessible, lamentable: 0.334188148175
maximal, midget: 0.588360875997
palatable, yeah: 1.04450061407
enchanting, extraneous: 0.855041667951
pure, tiresome: 1.32517623956
american, ugly: 1.88180808062
peripheral, positioned: 0.371443903214
hooked, insurmountable: 1.16116200432
also, fierce: 0.522887064417
bro, delineated: -0.282493043989
eastern, sacrosanct: 0.30416007715
authorised, self-serving: 0
empowered, existing: 0.675448394085
affected, two-pronged: 0.0
secondary, virtuous: 0.375654238874
readyto, stricter: 0.352275186607
co-, vice-chair: 0
